Ar+ 0        18         1    127118.1070(1s)
    6    4 2.43+06 4.90-07 1.32-03 1.51-01 7.45-01 1.69+00 2.94+00 3.86+00 4.94+00 6.89+00 9.02+00 1.17+01 1.59+01 1.92+01 2.25+01-4.62+00
    6    5 4.78+04 1.43-07 3.88-04 4.55-02 2.31-01 5.55-01 1.11+00 1.59+00 1.90+00 1.71+00 1.35+00 1.06+00 8.78-01 8.65-01 9.10-01-1.61-01
    7    1 1.00-30 3.66-10 1.03-06 1.32-04 7.56-04 2.19-03 5.99-03 1.14-02 1.95-02 3.19-02 3.47-02 2.93-02 1.78-02 1.05-02 5.71-03 0.00+00
    7    2 5.54+07 1.52-06 4.20-03 5.22-01 2.88+00 7.86+00 1.99+01 3.66+01 6.32+01 1.16+02 1.70+02 2.39+02 3.51+02 4.42+02 5.31+02-1.21+02
    7    3 1.65-08 3.07-07 8.32-04 9.76-02 4.95-01 1.19+00 2.35+00 3.34+00 3.87+00 3.19+00 2.18+00 1.32+00 6.07-01 3.26-01 1.75-01 1.58-02
    7    4 7.00-09 1.57-09 4.26-06 5.01-04 2.55-03 6.15-03 1.23-02 1.76-02 2.02-02 1.73-02 1.37-02 1.12-02 9.57-03 9.11-03 8.91-03 8.60-03
    7    5 2.47-10 2.96-07 8.01-04 9.39-02 4.76-01 1.14+00 2.24+00 3.17+00 3.65+00 2.98+00 2.03+00 1.21+00 5.49-01 2.88-01 1.48-01 9.34-04
    7    6 8.08-04 1.40-06 3.77-03 4.36-01 2.17+00 5.01+00 9.14+00 1.23+01 1.49+01 1.67+01 1.72+01 1.74+01 1.73+01 1.74+01 1.74+01 1.77+01
    8    1 7.37+03 2.33-10 6.52-07 8.39-05 4.83-04 1.40-03 3.86-03 7.36-03 1.28-02 2.15-02 2.49-02 2.39-02 2.07-02 1.97-02 2.00-02 2.46-02
    8    2 2.00+07 1.12-06 3.04-03 3.61-01 1.86+00 4.57+00 9.63+00 1.53+01 2.32+01 3.66+01 4.88+01 6.41+01 8.95+01 1.11+02 1.32+02-2.96+01
    8    3 3.08+07 1.44-06 3.90-03 4.62-01 2.37+00 5.83+00 1.22+01 1.97+01 3.13+01 5.46+01 7.80+01 1.08+02 1.55+02 1.94+02 2.32+02-5.19+01
    8    4 1.00-30 2.86-07 7.66-04 8.71-02 4.20-01 9.13-01 1.41+00 1.53+00 1.39+00 9.20-01 5.71-01 3.23-01 1.41-01 7.27-02 3.70-02 0.00+00
    8    5 1.54+06 7.39-07 1.99-03 2.31-01 1.15+00 2.65+00 4.85+00 6.56+00 8.04+00 9.42+00 1.07+01 1.28+01 1.64+01 1.95+01 2.27+01-4.61+00
    8    6 1.06-03 9.38-07 2.53-03 2.92-01 1.45+00 3.35+00 6.10+00 8.14+00 9.55+00 9.95+00 9.65+00 9.22+00 8.77+00 8.60+00 8.52+00 8.53+00
    8    7 2.36-04 1.60-06 4.30-03 5.00-01 2.50+00 5.82+00 1.09+01 1.48+01 1.75+01 1.73+01 1.55+01 1.37+01 1.21+01 1.15+01 1.11+01 1.09+01
    9    1 1.71-03 1.41-10 3.96-07 5.09-05 2.94-04 8.52-04 2.35-03 4.47-03 7.71-03 1.27-02 1.39-02 1.17-02 7.11-03 4.19-03 2.28-03 0.00+00
    9    2 5.93+06 3.76-07 1.02-03 1.20-01 6.09-01 1.46+00 2.93+00 4.37+00 5.90+00 7.70+00 9.16+00 1.12+01 1.49+01 1.82+01 2.15+01-4.85+00
    9    3 3.31+07 5.14-07 1.41-03 1.73-01 9.38-01 2.50+00 6.07+00 1.08+01 1.84+01 3.28+01 4.66+01 6.39+01 9.17+01 1.14+02 1.37+02-3.06+01
    9    4 1.38+07 3.19-07 8.71-04 1.05-01 5.53-01 1.41+00 3.21+00 5.48+00 9.00+00 1.57+01 2.22+01 3.02+01 4.31+01 5.35+01 6.39+01-1.42+01
    9    5 1.15+06 3.57-07 9.63-04 1.12-01 5.60-01 1.31+00 2.46+00 3.41+00 4.17+00 4.59+00 4.84+00 5.41+00 6.70+00 7.91+00 9.18+00-1.87+00
    9    6 1.88-03 6.36-07 1.71-03 1.97-01 9.70-01 2.20+00 3.83+00 4.87+00 5.41+00 5.21+00 4.80+00 4.41+00 4.08+00 3.95+00 3.90+00 3.90+00
    9    7 1.52-06 7.70-07 2.07-03 2.40-01 1.19+00 2.73+00 4.90+00 6.43+00 7.27+00 6.78+00 5.82+00 4.87+00 3.98+00 3.59+00 3.38+00 3.15+00
    9    8 1.46-03 1.01-06 2.71-03 3.13-01 1.55+00 3.55+00 6.34+00 8.32+00 9.68+00 1.03+01 1.02+01 9.77+00 8.94+00 8.47+00 8.18+00 7.89+00
   10    1 2.53+04 1.21-10 3.41-07 4.45-05 2.61-04 7.76-04 2.21-03 4.32-03 7.89-03 1.55-02 2.21-02 2.88-02 3.86-02 4.76-02 5.70-02 8.34-02
   10    2 2.84+07 1.30-06 3.53-03 4.19-01 2.16+00 5.32+00 1.12+01 1.78+01 2.67+01 4.17+01 5.56+01 7.30+01 1.03+02 1.28+02 1.53+02-3.52+01
   10    3 5.17+06 5.20-07 1.41-03 1.65-01 8.32-01 1.98+00 3.87+00 5.68+00 7.74+00 1.06+01 1.31+01 1.64+01 2.22+01 2.72+01 3.23+01-7.25+00
   10    4 1.00-30 2.86-07 7.65-04 8.67-02 4.16-01 8.98-01 1.35+00 1.42+00 1.23+00 7.88-01 4.81-01 2.70-01 1.17-01 6.02-02 3.05-02 0.00+00
   10    5 1.65+07 1.24-06 3.38-03 4.01-01 2.07+00 5.09+00 1.08+01 1.74+01 2.74+01 4.66+01 6.60+01 9.03+01 1.28+02 1.57+02 1.87+02-3.97+01
   10    6 1.68-03 1.36-06 3.65-03 4.17-01 2.03+00 4.51+00 7.43+00 8.72+00 8.52+00 6.21+00 4.24+00 2.70+00 1.42+00 8.88-01 5.95-01 2.74-01
   10    7 1.13-03 3.19-06 8.59-03 9.88-01 4.86+00 1.10+01 1.91+01 2.41+01 2.63+01 2.50+01 2.31+01 2.15+01 1.99+01 1.91+01 1.87+01 1.82+01
   10    8 5.76-04 2.12-06 5.70-03 6.56-01 3.23+00 7.33+00 1.28+01 1.62+01 1.81+01 1.75+01 1.64+01 1.55+01 1.49+01 1.48+01 1.47+01 1.47+01
   10    9 1.74-04 1.00-06 2.71-03 3.13-01 1.56+00 3.60+00 6.57+00 8.75+00 1.00+01 9.76+00 8.99+00 8.35+00 7.87+00 7.70+00 7.61+00 7.54+00
   11    1 6.49-03 9.37-11 2.63-07 3.42-05 1.99-04 5.88-04 1.65-03 3.18-03 5.58-03 9.53-03 1.06-02 8.99-03 5.38-03 3.21-03 1.81-03 0.00+00
   11    2 4.29+06 3.68-07 9.92-04 1.15-01 5.73-01 1.33+00 2.46+00 3.37+00 4.19+00 4.98+00 5.61+00 6.59+00 8.64+00 1.06+01 1.26+01-2.88+00
   11    3 1.01+06 2.87-07 7.73-04 8.97-02 4.47-01 1.04+00 1.92+00 2.59+00 2.99+00 2.83+00 2.53+00 2.40+00 2.63+00 3.02+00 3.48+00-7.64-01
   11    4 2.31+07 1.78-07 4.99-04 6.44-02 3.73-01 1.09+00 3.03+00 5.88+00 1.05+01 1.95+01 2.82+01 3.90+01 5.63+01 7.04+01 8.44+01-1.92+01
   11    5 2.17+07 7.75-07 2.11-03 2.53-01 1.32+00 3.33+00 7.37+00 1.23+01 1.95+01 3.29+01 4.61+01 6.25+01 8.80+01 1.08+02 1.28+02-2.76+01
   11    6 2.24-03 5.69-07 1.53-03 1.75-01 8.53-01 1.90+00 3.15+00 3.73+00 3.70+00 2.88+00 2.16+00 1.56+00 1.01+00 7.71-01 6.37-01 4.92-01
   11    7 1.15-04 7.53-07 2.03-03 2.33-01 1.15+00 2.61+00 4.57+00 5.81+00 6.34+00 5.70+00 4.85+00 4.13+00 3.52+00 3.27+00 3.13+00 2.96+00
   11    8 9.49-03 1.02-06 2.75-03 3.17-01 1.56+00 3.55+00 6.22+00 7.89+00 8.51+00 7.59+00 6.46+00 5.31+00 4.12+00 3.55+00 3.21+00 2.78+00
   11    9 2.84-03 7.54-07 2.03-03 2.35-01 1.17+00 2.71+00 4.98+00 6.68+00 7.83+00 8.18+00 8.05+00 7.74+00 7.31+00 7.09+00 6.96+00 6.83+00
   11   10 1.22-04 8.79-07 2.37-03 2.75-01 1.37+00 3.16+00 5.78+00 7.77+00 9.23+00 1.00+01 1.03+01 1.05+01 1.07+01 1.08+01 1.09+01 1.10+01
   12    1 1.52+04 1.39-10 3.91-07 5.09-05 2.98-04 8.80-04 2.48-03 4.82-03 8.63-03 1.59-02 2.06-02 2.33-02 2.66-02 3.05-02 3.50-02 4.92-02
   12    2 1.39+07 1.19-06 3.19-03 3.67-01 1.81+00 4.09+00 7.11+00 9.38+00 1.23+01 1.81+01 2.38+01 3.10+01 4.34+01 5.41+01 6.49+01-1.51+01
   12    3 2.08+07 7.07-07 1.93-03 2.30-01 1.20+00 3.01+00 6.60+00 1.09+01 1.70+01 2.80+01 3.83+01 5.11+01 7.28+01 9.11+01 1.10+02-2.53+01
   12    4 1.00-30 2.12-07 5.73-04 6.70-02 3.38-01 8.05-01 1.57+00 2.20+00 2.53+00 2.07+00 1.41+00 8.49-01 3.86-01 2.03-01 1.04-01 0.00+00
   12    5 2.02+07 1.32-06 3.59-03 4.27-01 2.21+00 5.46+00 1.16+01 1.88+01 2.91+01 4.82+01 6.72+01 9.12+01 1.29+02 1.59+02 1.89+02-4.10+01
   12    6 4.49-03 1.10-06 2.94-03 3.36-01 1.64+00 3.64+00 5.96+00 6.98+00 6.85+00 5.16+00 3.71+00 2.53+00 1.50+00 1.06+00 8.16-01 5.46-01
   12    7 1.70-02 1.16-06 3.13-03 3.60-01 1.77+00 4.01+00 6.95+00 8.81+00 9.98+00 1.10+01 1.17+01 1.19+01 1.17+01 1.15+01 1.13+01 1.10+01
   12    8 1.69-04 1.59-06 4.27-03 4.90-01 2.40+00 5.41+00 9.24+00 1.14+01 1.21+01 1.09+01 9.74+00 8.90+00 8.27+00 8.03+00 7.90+00 7.74+00
   12    9 1.14-03 1.26-06 3.39-03 3.90-01 1.91+00 4.30+00 7.35+00 9.05+00 9.43+00 7.83+00 6.28+00 5.07+00 4.10+00 3.71+00 3.51+00 3.32+00
   12   10 2.34-03 1.13-06 3.05-03 3.53-01 1.75+00 4.04+00 7.33+00 9.68+00 1.10+01 1.08+01 9.93+00 8.85+00 7.56+00 6.94+00 6.59+00 6.26+00
   12   11 2.22-05 9.20-07 2.48-03 2.87-01 1.43+00 3.31+00 6.09+00 8.19+00 9.53+00 9.27+00 8.28+00 7.34+00 6.56+00 6.25+00 6.09+00 5.92+00
   13    1 1.00-30 2.64-11 7.43-08 9.70-06 5.69-05 1.69-04 4.80-04 9.30-04 1.65-03 2.87-03 3.24-03 2.78-03 1.73-03 1.13-03 7.84-04 4.88-04
   13    2 1.00-30 1.26-07 3.39-04 3.90-02 1.92-01 4.33-01 7.45-01 9.24-01 9.51-01 7.07-01 4.62-01 2.70-01 1.20-01 6.26-02 3.20-02 0.00+00
   13    3 6.37+07 3.05-07 8.32-04 9.94-02 5.19-01 1.30+00 2.87+00 4.84+00 8.12+00 1.49+01 2.14+01 2.95+01 4.28+01 5.39+01 6.49+01-1.50+01
   13    4 1.00-30 1.33-07 3.58-04 4.09-02 1.99-01 4.43-01 7.29-01 8.58-01 8.43-01 6.02-01 3.86-01 2.23-01 9.84-02 5.11-02 2.61-02 0.00+00
   13    5 1.29+06 1.45-07 3.92-04 4.55-02 2.27-01 5.25-01 9.68-01 1.30+00 1.52+00 1.52+00 1.46+00 1.52+00 1.78+00 2.07+00 2.39+00-5.05-01
   13    6 2.92-02 3.24-07 8.69-04 9.92-02 4.82-01 1.06+00 1.72+00 1.98+00 1.90+00 1.36+00 9.24-01 5.73-01 2.73-01 1.47-01 7.74-02 0.00+00
   13    7 1.00-30 3.05-07 8.19-04 9.38-02 4.58-01 1.02+00 1.71+00 2.04+00 2.01+00 1.44+00 9.70-01 6.01-01 2.90-01 1.59-01 8.46-02 0.00+00
   13    8 1.34-03 2.18-07 5.91-04 6.96-02 3.56-01 8.62-01 1.76+00 2.67+00 3.74+00 5.24+00 6.30+00 7.12+00 7.80+00 8.09+00 8.25+00 8.41+00
   13    9 6.59-03 2.15-07 5.76-04 6.61-02 3.24-01 7.26-01 1.23+00 1.48+00 1.49+00 1.17+00 8.66-01 5.88-01 3.07-01 1.74-01 9.53-02 0.00+00
   13   10 1.54-06 2.06-07 5.55-04 6.39-02 3.15-01 7.14-01 1.24+00 1.55+00 1.60+00 1.22+00 8.76-01 6.17-01 4.26-01 3.58-01 3.27-01 3.07-01
   13   11 3.72-04 2.99-07 8.04-04 9.27-02 4.58-01 1.05+00 1.85+00 2.35+00 2.46+00 1.99+00 1.51+00 1.05+00 5.65-01 3.20-01 1.70-01 0.00+00
   13   12 4.36-09 5.31-07 1.43-03 1.67-01 8.34-01 1.95+00 3.67+00 5.05+00 6.03+00 6.27+00 6.08+00 5.86+00 5.66+00 5.59+00 5.57+00 5.59+00
   14    1 1.65-02 8.26-11 2.33-07 3.03-05 1.78-04 5.27-04 1.49-03 2.89-03 5.13-03 8.99-03 1.01-02 8.64-03 5.17-03 3.02-03 1.64-03 0.00+00
   14    2 1.28+07 4.40-07 1.19-03 1.37-01 6.80-01 1.57+00 2.84+00 3.97+00 5.64+00 8.97+00 1.21+01 1.60+01 2.25+01 2.82+01 3.39+01-7.93+00
   14    3 7.67+06 5.50-07 1.48-03 1.71-01 8.48-01 1.95+00 3.50+00 4.72+00 6.00+00 7.78+00 9.39+00 1.16+01 1.57+01 1.94+01 2.31+01-5.32+00
   14    4 1.72+07 4.25-07 1.15-03 1.36-01 7.00-01 1.71+00 3.57+00 5.65+00 8.71+00 1.44+01 2.00+01 2.69+01 3.82+01 4.77+01 5.71+01-1.31+01
