         200     = number of Te values
Te [keV]
  1.28e-35  1.30e-35  1.31e-35  1.32e-35  1.33e-35  1.35e-35  1.36e-35  1.37e-35
  1.38e-35  1.39e-35  1.40e-35  1.42e-35  1.43e-35  1.44e-35  1.45e-35  1.46e-35
  1.47e-35  1.48e-35  1.48e-35  1.49e-35  1.50e-35  1.51e-35  1.52e-35  1.52e-35
  1.53e-35  1.54e-35  1.54e-35  1.55e-35  1.55e-35  1.56e-35  1.57e-35  1.57e-35
B_ Lz[W m^3]
  6.50e-40  8.13e-40  9.89e-40  1.19e-39  1.44e-39  1.73e-39  2.09e-39  2.51e-39
  3.02e-39  3.63e-39  4.30e-39  5.01e-39  5.85e-39  6.83e-39  7.96e-39  9.28e-39
  1.08e-38  1.26e-38  1.46e-38  1.66e-38  1.89e-38  2.15e-38  2.45e-38  2.78e-38
  3.17e-38  3.60e-38  4.09e-38  4.57e-38  5.09e-38  5.68e-38  6.32e-38  7.05e-38
  7.85e-38  8.75e-38  9.75e-38  1.08e-37  1.18e-37  1.29e-37  1.42e-37  1.55e-37
  1.70e-37  1.86e-37  2.04e-37  2.23e-37  2.42e-37  2.62e-37  2.84e-37  3.08e-37
  3.34e-37  3.61e-37  3.92e-37  4.24e-37  4.55e-37  4.88e-37  5.23e-37  5.60e-37
  6.01e-37  6.44e-37  6.90e-37  7.40e-37  7.87e-37  8.35e-37  8.86e-37  9.40e-37
  9.97e-37  1.06e-36  1.12e-36  1.19e-36  1.26e-36  1.33e-36  1.40e-36  1.48e-36
  1.56e-36  1.65e-36  1.74e-36  1.84e-36  1.94e-36  2.03e-36  2.12e-36  2.21e-36
  2.31e-36  2.42e-36  2.53e-36  2.64e-36  2.76e-36  2.88e-36  3.01e-36  3.14e-36
  3.28e-36  3.43e-36  3.58e-36  3.74e-36  3.91e-36  4.07e-36  4.22e-36  4.37e-36
  4.53e-36  4.70e-36  4.87e-36  5.05e-36  5.23e-36  5.42e-36  5.60e-36  5.79e-36
  5.99e-36  6.19e-36  6.40e-36  6.62e-36  6.85e-36  7.08e-36  7.29e-36  7.50e-36
  7.72e-36  7.95e-36  8.19e-36  8.43e-36  8.68e-36  8.93e-36  9.15e-36  9.37e-36
  9.58e-36  9.80e-36  1.00e-35  1.03e-35  1.05e-35  1.07e-35  1.10e-35  1.12e-35
  1.15e-35  1.17e-35  1.20e-35  1.23e-35  1.25e-35  1.28e-35  1.31e-35  1.33e-35
  1.36e-35  1.39e-35  1.41e-35  1.44e-35  1.47e-35  1.49e-35  1.52e-35  1.55e-35
  1.57e-35  1.60e-35  1.62e-35  1.65e-35  1.68e-35  1.70e-35  1.73e-35  1.75e-35
  1.78e-35  1.80e-35  1.82e-35  1.85e-35  1.87e-35  1.90e-35  1.92e-35  1.95e-35
  1.97e-35  1.99e-35  2.01e-35  2.03e-35  2.05e-35  2.07e-35  2.09e-35  2.12e-35
  2.13e-35  2.15e-35  2.17e-35  2.19e-35  2.20e-35  2.22e-35  2.24e-35  2.26e-35
  2.28e-35  2.29e-35  2.30e-35  2.32e-35  2.33e-35  2.35e-35  2.36e-35  2.38e-35
  2.39e-35  2.40e-35  2.41e-35  2.42e-35  2.43e-35  2.44e-35  2.45e-35  2.46e-35
  2.48e-35  2.48e-35  2.49e-35  2.50e-35  2.50e-35  2.51e-35  2.52e-35  2.53e-35
C_ Lz[W m^3]
  2.95e-39  3.76e-39  4.67e-39  5.75e-39  7.04e-39  8.60e-39  1.04e-38  1.26e-38
  1.52e-38  1.83e-38  2.16e-38  2.52e-38  2.92e-38  3.38e-38  3.91e-38  4.50e-38
  5.16e-38  5.91e-38  6.72e-38  7.53e-38  8.43e-38  9.43e-38  1.05e-37  1.18e-37
  1.31e-37  1.46e-37  1.63e-37  1.79e-37  1.96e-37  2.15e-37  2.35e-37  2.58e-37
  2.82e-37  3.08e-37  3.37e-37  3.66e-37  3.95e-37  4.26e-37  4.60e-37  4.97e-37
  5.36e-37  5.78e-37  6.24e-37  6.71e-37  7.17e-37  7.67e-37  8.20e-37  8.77e-37
  9.38e-37  1.00e-36  1.07e-36  1.15e-36  1.22e-36  1.29e-36  1.37e-36  1.45e-36
  1.53e-36  1.63e-36  1.72e-36  1.83e-36  1.92e-36  2.02e-36  2.12e-36  2.23e-36
  2.34e-36  2.46e-36  2.59e-36  2.72e-36  2.85e-36  2.99e-36  3.13e-36  3.27e-36
  3.43e-36  3.59e-36  3.76e-36  3.94e-36  4.12e-36  4.27e-36  4.43e-36  4.60e-36
  4.77e-36  4.95e-36  5.13e-36  5.33e-36  5.53e-36  5.74e-36  5.96e-36  6.20e-36
  6.44e-36  6.69e-36  6.95e-36  7.22e-36  7.50e-36  7.76e-36  8.00e-36  8.25e-36
  8.51e-36  8.78e-36  9.05e-36  9.34e-36  9.63e-36  9.93e-36  1.02e-35  1.05e-35
  1.08e-35  1.12e-35  1.15e-35  1.18e-35  1.22e-35  1.26e-35  1.29e-35  1.32e-35
  1.36e-35  1.39e-35  1.43e-35  1.46e-35  1.50e-35  1.54e-35  1.57e-35  1.60e-35
  1.64e-35  1.67e-35  1.70e-35  1.73e-35  1.77e-35  1.80e-35  1.83e-35  1.87e-35
  1.91e-35  1.94e-35  1.98e-35  2.02e-35  2.06e-35  2.10e-35  2.14e-35  2.18e-35
  2.21e-35  2.25e-35  2.29e-35  2.33e-35  2.37e-35  2.40e-35  2.44e-35  2.48e-35
  2.51e-35  2.55e-35  2.58e-35  2.62e-35  2.66e-35  2.69e-35  2.73e-35  2.77e-35
  2.80e-35  2.83e-35  2.86e-35  2.89e-35  2.93e-35  2.96e-35  2.99e-35  3.02e-35
  3.05e-35  3.08e-35  3.11e-35  3.13e-35  3.16e-35  3.19e-35  3.22e-35  3.25e-35
  3.27e-35  3.29e-35  3.32e-35  3.34e-35  3.36e-35  3.39e-35  3.41e-35  3.43e-35
  3.45e-35  3.47e-35  3.49e-35  3.50e-35  3.52e-35  3.54e-35  3.56e-35  3.58e-35
  3.59e-35  3.60e-35  3.62e-35  3.63e-35  3.64e-35  3.65e-35  3.67e-35  3.68e-35
  3.69e-35  3.70e-35  3.71e-35  3.71e-35  3.72e-35  3.73e-35  3.73e-35  3.74e-35
N_ Lz[W m^3]
