SEQ='BE'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  76039261.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   257223.7 

   LS RESOLVED TERM INDEXING            BWNR=  82908802.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   141     2    2P1 6H1             (1)5( 5.0)  6440729.0 
   142     2    2P1 6H1             (3)6(19.0)  6440729.0 
   143     2    2P1 6H1             (1)6( 6.0)  6440729.0 
   144     2    2P1 6F1             (3)2( 7.0)  6441486.4 
   145     2    2P1 6F1             (1)4( 4.0)  6441999.7 
   146     2    2P1 6F1             (1)2( 2.0)  6442375.8 
   147     2    2P1 6D1             (1)1( 1.0)  6443207.4 
   148     2    2P1 6D1             (1)3( 3.0)  6443420.3 
   149     1    2S1 8S1             (3)0( 1.0)  6474147.4 
   150     1    2S1 8S1             (1)0( 0.0)  6475835.2 
   151     1    2S1 8P1             (3)1( 4.0)  6479016.6 
   152     1    2S1 8P1             (1)1( 1.0)  6479658.7 
   153     1    2S1 8D1             (3)2( 7.0)  6481795.0 
   154     1    2S1 8D1             (1)2( 2.0)  6483148.7 
   155     1    2S1 8F1             (3)3(10.0)  6483322.2 
   156     1    2S1 8G1             (3)4(13.0)  6483600.7 
   157     1    2S1 8G1             (1)4( 4.0)  6483600.7 
   158     1    2S1 8H1             (3)5(16.0)  6483670.9 
   159     1    2S1 8H1             (1)5( 5.0)  6483670.9 
   160     1    2S1 8I1             (3)6(19.0)  6483702.2 
   161     1    2S1 8I1             (1)6( 6.0)  6483702.2 
   162     1    2S1 8J1             (3)7(22.0)  6483718.2 
   163     1    2S1 8J1             (1)7( 7.0)  6483718.2 
   164     1    2S1 8F1             (1)3( 3.0)  6483793.6 
   165     2    2P1 7S1             (3)1( 4.0)  6609675.3 
   166     2    2P1 7S1             (1)1( 1.0)  6610850.1 
   167     2    2P1 7P1             (1)1( 1.0)  6614665.3 
   168     2    2P1 7P1             (3)2( 7.0)  6615422.4 
   169     2    2P1 7P1             (3)0( 1.0)  6616558.1 
   170     2    2P1 7P1             (3)1( 4.0)  6617231.8 
   171     2    2P1 7P1             (1)2( 2.0)  6619033.7 
   172     2    2P1 7D1             (1)2( 2.0)  6619292.1 
   173     2    2P1 7D1             (3)3(10.0)  6619439.6 
   174     2    2P1 7D1             (3)2( 7.0)  6621052.5 
   175     2    2P1 7D1             (3)1( 4.0)  6621477.6 
   176     2    2P1 7F1             (1)3( 3.0)  6621602.6 
   177     2    2P1 7P1             (1)0( 0.0)  6621736.5 
   178     2    2P1 7F1             (3)3(10.0)  6621824.0 
   179     2    2P1 7F1             (3)4(13.0)  6622496.0 
   180     2    2P1 7G1             (3)3(10.0)  6622652.4 
   181     2    2P1 7G1             (1)3( 3.0)  6622652.4 
   182     2    2P1 7G1             (3)4(13.0)  6622652.4 
   183     2    2P1 7G1             (1)4( 4.0)  6622652.4 
   184     2    2P1 7G1             (3)5(16.0)  6622652.4 
   185     2    2P1 7G1             (1)5( 5.0)  6622652.4 
   186     2    2P1 7H1             (3)4(13.0)  6622757.1 
   187     2    2P1 7H1             (1)4( 4.0)  6622757.1 
   188     2    2P1 7H1             (3)5(16.0)  6622757.1 
   189     2    2P1 7H1             (1)5( 5.0)  6622757.1 
   190     2    2P1 7H1             (3)6(19.0)  6622757.1 
   191     2    2P1 7H1             (1)6( 6.0)  6622757.1 
   192     2    2P1 7I1             (3)5(16.0)  6622803.8 
   193     2    2P1 7I1             (1)5( 5.0)  6622803.8 
   194     2    2P1 7I1             (3)6(19.0)  6622803.8 
   195     2    2P1 7I1             (1)6( 6.0)  6622803.8 
   196     2    2P1 7I1             (3)7(22.0)  6622803.8 
   197     2    2P1 7I1             (1)7( 7.0)  6622803.8 
   198     2    2P1 7F1             (3)2( 7.0)  6623196.0 
   199     2    2P1 7F1             (1)4( 4.0)  6623560.3 
   200     2    2P1 7F1             (1)2( 2.0)  6623780.6 
   201     2    2P1 7D1             (1)1( 1.0)  6624232.3 
