SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   320       5.00E-13  3.52E-13  2.21E-13  1.53E-13  1.05E-13  6.12E-14  3.83E-14  2.23E-14  9.36E-15  4.32E-15
             1.83E-15  5.30E-16  1.97E-16  7.19E-17  1.85E-17  6.59E-18  2.34E-18  5.92E-19  2.09E-19
   321       6.11E-13  4.30E-13  2.70E-13  1.88E-13  1.29E-13  7.49E-14  4.69E-14  2.72E-14  1.14E-14  5.28E-15
             2.23E-15  6.47E-16  2.41E-16  8.78E-17  2.26E-17  8.05E-18  2.85E-18  7.24E-19  2.56E-19
   322       7.22E-13  5.08E-13  3.19E-13  2.22E-13  1.52E-13  8.85E-14  5.54E-14  3.21E-14  1.35E-14  6.25E-15
             2.64E-15  7.65E-16  2.85E-16  1.04E-16  2.67E-17  9.51E-18  3.37E-18  8.55E-19  3.03E-19
   323       3.63E-13  2.56E-13  1.61E-13  1.13E-13  7.85E-14  4.74E-14  3.11E-14  1.94E-14  9.23E-15  4.72E-15
             2.19E-15  7.00E-16  2.74E-16  1.03E-16  2.72E-17  9.76E-18  3.48E-18  8.84E-19  3.13E-19
   324       2.19E-13  1.54E-13  9.59E-14  6.61E-14  4.45E-14  2.47E-14  1.46E-14  7.89E-15  2.98E-15  1.28E-15
             5.08E-16  1.40E-16  5.09E-17  1.83E-17  4.67E-18  1.66E-18  5.87E-19  1.49E-19  5.25E-20
   325       2.82E-13  1.98E-13  1.23E-13  8.50E-14  5.72E-14  3.18E-14  1.88E-14  1.01E-14  3.83E-15  1.64E-15
             6.53E-16  1.79E-16  6.54E-17  2.35E-17  6.00E-18  2.13E-18  7.54E-19  1.91E-19  6.75E-20
   326       3.44E-13  2.42E-13  1.51E-13  1.04E-13  6.99E-14  3.89E-14  2.30E-14  1.24E-14  4.68E-15  2.00E-15
             7.98E-16  2.19E-16  8.00E-17  2.87E-17  7.34E-18  2.60E-18  9.22E-19  2.33E-19  8.26E-20
   327       4.07E-13  2.86E-13  1.78E-13  1.23E-13  8.27E-14  4.59E-14  2.72E-14  1.47E-14  5.53E-15  2.37E-15
             9.43E-16  2.59E-16  9.45E-17  3.39E-17  8.67E-18  3.08E-18  1.09E-18  2.76E-19  9.76E-20
   328       4.69E-13  3.30E-13  2.05E-13  1.42E-13  9.54E-14  5.30E-14  3.14E-14  1.69E-14  6.38E-15  2.73E-15
             1.09E-15  2.99E-16  1.09E-16  3.92E-17  1.00E-17  3.55E-18  1.26E-18  3.18E-19  1.13E-19
   329       8.49E-14  5.96E-14  3.68E-14  2.50E-14  1.64E-14  8.66E-15  4.83E-15  2.43E-15  8.36E-16  3.39E-16
             1.30E-16  3.46E-17  1.25E-17  4.45E-18  1.13E-18  4.01E-19  1.42E-19  3.59E-20  1.27E-20
   330       1.04E-13  7.28E-14  4.49E-14  3.06E-14  2.01E-14  1.06E-14  5.90E-15  2.97E-15  1.02E-15  4.14E-16
             1.59E-16  4.23E-17  1.52E-17  5.44E-18  1.38E-18  4.90E-19  1.73E-19  4.39E-20  1.55E-20
   331       1.23E-13  8.60E-14  5.31E-14  3.61E-14  2.38E-14  1.25E-14  6.97E-15  3.51E-15  1.21E-15  4.89E-16
             1.87E-16  5.00E-17  1.80E-17  6.43E-18  1.64E-18  5.79E-19  2.05E-19  5.19E-20  1.84E-20
   332       1.42E-13  9.93E-14  6.13E-14  4.17E-14  2.74E-14  1.44E-14  8.04E-15  4.04E-15  1.39E-15  5.65E-16
             2.16E-16  5.77E-17  2.08E-17  7.42E-18  1.89E-18  6.69E-19  2.37E-19  5.99E-20  2.12E-20
   333       1.60E-13  1.12E-13  6.94E-14  4.72E-14  3.11E-14  1.64E-14  9.12E-15  4.58E-15  1.58E-15  6.40E-16
             2.45E-16  6.54E-17  2.35E-17  8.40E-18  2.14E-18  7.58E-19  2.68E-19  6.79E-20  2.40E-20
   334       2.16E-13  1.53E-13  9.60E-14  6.73E-14  4.68E-14  2.83E-14  1.86E-14  1.16E-14  5.52E-15  2.82E-15
             1.31E-15  4.19E-16  1.64E-16  6.17E-17  1.63E-17  5.84E-18  2.08E-18  5.29E-19  1.87E-19
   337       5.71E-17  4.02E-17  2.52E-17  1.76E-17  1.21E-17  7.12E-18  4.59E-18  2.84E-18  1.38E-18  7.45E-19
             3.74E-19  1.34E-19  5.72E-20  2.29E-20  6.41E-21  2.36E-21  8.56E-22  2.20E-22  7.82E-23
   339       3.57E-16  2.51E-16  1.58E-16  1.10E-16  7.55E-17  4.46E-17  2.88E-17  1.78E-17  8.68E-18  4.69E-18
             2.36E-18  8.47E-19  3.60E-19  1.45E-19  4.05E-20  1.49E-20  5.40E-21  1.39E-21  4.93E-22
   340       1.07E-17  7.52E-18  4.72E-18  3.29E-18  2.26E-18  1.33E-18  8.63E-19  5.34E-19  2.61E-19  1.41E-19
             7.09E-20  2.55E-20  1.09E-20  4.36E-21  1.22E-21  4.50E-22  1.63E-22  4.18E-23  1.49E-23
   343       1.75E-18  1.23E-18  7.71E-19  5.34E-19  3.64E-19  2.09E-19  1.31E-19  7.63E-20  3.33E-20  1.61E-20
             7.15E-21  2.20E-21  8.46E-22  3.15E-22  8.24E-23  2.95E-23  1.05E-23  2.66E-24  9.43E-25
   344       8.37E-18  5.90E-18  3.68E-18  2.55E-18  1.74E-18  1.00E-18  6.24E-19  3.65E-19  1.59E-19  7.70E-20
             3.42E-20  1.05E-20  4.05E-21  1.51E-21  3.94E-22  1.41E-22  5.02E-23  1.28E-23  4.51E-24
   374       2.34E-18  1.66E-18  1.05E-18  7.52E-19  5.41E-19  3.58E-19  2.67E-19  2.02E-19  1.37E-19  9.87E-20
             6.65E-20  3.46E-20  1.90E-20  9.48E-21  3.33E-21  1.39E-21  5.50E-22  1.52E-22  5.59E-23
   375       1.94E-13  1.37E-13  8.69E-14  6.14E-14  4.34E-14  2.74E-14  1.93E-14  1.36E-14  8.43E-15  5.82E-15
             3.98E-15  2.34E-15  1.51E-15  9.26E-16  4.43E-16  2.33E-16  1.15E-16  4.09E-17  1.75E-17
   376       1.67E-17  1.18E-17  7.52E-18  5.35E-18  3.83E-18  2.49E-18  1.80E-18  1.29E-18  7.77E-19  4.85E-19
             2.74E-19  1.10E-19  4.92E-20  2.04E-20  5.87E-21  2.19E-21  7.96E-22  2.05E-22  7.31E-23
   377       3.46E-13  2.45E-13  1.55E-13  1.09E-13  7.72E-14  4.86E-14  3.41E-14  2.37E-14  1.43E-14  9.41E-15
             5.90E-15  2.88E-15  1.53E-15  7.47E-16  2.58E-16  1.07E-16  4.20E-17  1.16E-17  4.26E-18
   378       2.46E-13  1.74E-13  1.10E-13  7.78E-14  5.49E-14  3.46E-14  2.43E-14  1.69E-14  1.02E-14  6.71E-15
             4.21E-15  2.05E-15  1.09E-15  5.33E-16  1.84E-16  7.62E-17  3.00E-17  8.28E-18  3.04E-18
   379       1.47E-13  1.04E-13  6.55E-14  4.63E-14  3.27E-14  2.06E-14  1.45E-14  1.01E-14  6.09E-15  4.01E-15
             2.52E-15  1.23E-15  6.54E-16  3.20E-16  1.10E-16  4.57E-17  1.80E-17  4.97E-18  1.82E-18
   381       3.54E-17  2.51E-17  1.59E-17  1.13E-17  7.98E-18  5.04E-18  3.50E-18  2.33E-18  1.21E-18  6.55E-19
             3.18E-19  1.05E-19  4.19E-20  1.59E-20  4.22E-21  1.52E-21  5.42E-22  1.38E-22  4.89E-23
   385       5.28E-13  3.73E-13  2.35E-13  1.66E-13  1.16E-13  7.19E-14  4.90E-14  3.25E-14  1.75E-14  1.01E-14
             5.39E-15  2.04E-15  8.93E-16  3.65E-16  1.03E-16  3.83E-17  1.39E-17  3.58E-18  1.27E-18
   386       4.10E-13  2.90E-13  1.83E-13  1.29E-13  9.04E-14  5.58E-14  3.81E-14  2.52E-14  1.36E-14  7.87E-15
             4.19E-15  1.59E-15  6.94E-16  2.83E-16  8.04E-17  2.98E-17  1.08E-17  2.78E-18  9.91E-19
   387       2.92E-13  2.06E-13  1.30E-13  9.15E-14  6.42E-14  3.97E-14  2.71E-14  1.80E-14  9.69E-15  5.61E-15
             2.99E-15  1.13E-15  4.95E-16  2.02E-16  5.74E-17  2.13E-17  7.72E-18  1.99E-18  7.07E-19
   388       1.74E-13  1.23E-13  7.74E-14  5.45E-14  3.83E-14  2.37E-14  1.62E-14  1.07E-14  5.79E-15  3.35E-15
             1.79E-15  6.78E-16  2.97E-16  1.21E-16  3.44E-17  1.27E-17  4.62E-18  1.19E-18  4.24E-19
   389       5.76E-14  4.07E-14  2.57E-14  1.81E-14  1.27E-14  7.86E-15  5.37E-15  3.56E-15  1.93E-15  1.12E-15
             5.95E-16  2.26E-16  9.88E-17  4.04E-17  1.14E-17  4.24E-18  1.54E-18  3.97E-19  1.41E-19
   390       4.88E-13  3.45E-13  2.17E-13  1.52E-13  1.06E-13  6.36E-14  4.17E-14  2.59E-14  1.23E-14  6.27E-15
             2.91E-15  9.27E-16  3.63E-16  1.36E-16  3.59E-17  1.29E-17  4.59E-18  1.17E-18  4.13E-19
   391       3.79E-13  2.68E-13  1.68E-13  1.18E-13  8.20E-14  4.94E-14  3.24E-14  2.02E-14  9.55E-15  4.87E-15
             2.26E-15  7.20E-16  2.82E-16  1.06E-16  2.79E-17  1.00E-17  3.57E-18  9.07E-19  3.21E-19
   392       5.93E-13  4.19E-13  2.63E-13  1.85E-13  1.28E-13  7.73E-14  5.07E-14  3.16E-14  1.50E-14  7.64E-15
             3.54E-15  1.13E-15  4.42E-16  1.66E-16  4.38E-17  1.57E-17  5.60E-18  1.42E-18  5.04E-19
   393       2.69E-13  1.90E-13  1.20E-13  8.39E-14  5.83E-14  3.51E-14  2.30E-14  1.43E-14  6.80E-15  3.47E-15
             1.61E-15  5.13E-16  2.01E-16  7.55E-17  1.99E-17  7.14E-18  2.54E-18  6.47E-19  2.29E-19
   394       2.28E-13  1.60E-13  1.00E-13  6.99E-14  4.80E-14  2.79E-14  1.74E-14  1.01E-14  4.25E-15  1.96E-15
             8.29E-16  2.40E-16  8.94E-17  3.25E-17  8.38E-18  2.98E-18  1.06E-18  2.68E-19  9.48E-20
   395       3.19E-13  2.25E-13  1.41E-13  9.79E-14  6.71E-14  3.90E-14  2.44E-14  1.42E-14  5.95E-15  2.75E-15
             1.16E-15  3.36E-16  1.25E-16  4.55E-17  1.17E-17  4.17E-18  1.48E-18  3.75E-19  1.33E-19
   396       4.10E-13  2.89E-13  1.81E-13  1.26E-13  8.63E-14  5.02E-14  3.14E-14  1.82E-14  7.64E-15  3.53E-15
             1.49E-15  4.32E-16  1.61E-16  5.86E-17  1.51E-17  5.37E-18  1.90E-18  4.82E-19  1.71E-19
   397       5.01E-13  3.53E-13  2.21E-13  1.54E-13  1.05E-13  6.13E-14  3.84E-14  2.22E-14  9.34E-15  4.31E-15
             1.82E-15  5.28E-16  1.97E-16  7.16E-17  1.84E-17  6.56E-18  2.33E-18  5.90E-19  2.09E-19
   398       5.92E-13  4.17E-13  2.61E-13  1.82E-13  1.25E-13  7.25E-14  4.53E-14  2.63E-14  1.10E-14  5.10E-15
             2.15E-15  6.24E-16  2.32E-16  8.46E-17  2.18E-17  7.75E-18  2.75E-18  6.97E-19  2.46E-19
   399       2.22E-13  1.56E-13  9.73E-14  6.70E-14  4.51E-14  2.51E-14  1.48E-14  8.00E-15  3.01E-15  1.29E-15
             5.14E-16  1.41E-16  5.15E-17  1.85E-17  4.73E-18  1.68E-18  5.94E-19  1.50E-19  5.32E-20
   400       2.86E-13  2.01E-13  1.25E-13  8.62E-14  5.80E-14  3.22E-14  1.91E-14  1.03E-14  3.88E-15  1.66E-15
             6.61E-16  1.82E-16  6.62E-17  2.38E-17  6.08E-18  2.16E-18  7.63E-19  1.93E-19  6.84E-20
   401       3.49E-13  2.46E-13  1.53E-13  1.05E-13  7.09E-14  3.94E-14  2.33E-14  1.26E-14  4.74E-15  2.03E-15
             8.08E-16  2.22E-16  8.09E-17  2.91E-17  7.43E-18  2.63E-18  9.33E-19  2.36E-19  8.35E-20
   402       4.13E-13  2.90E-13  1.81E-13  1.24E-13  8.38E-14  4.65E-14  2.75E-14  1.48E-14  5.60E-15  2.40E-15
             9.54E-16  2.62E-16  9.56E-17  3.44E-17  8.78E-18  3.11E-18  1.10E-18  2.79E-19  9.87E-20
   403       4.76E-13  3.35E-13  2.08E-13  1.44E-13  9.67E-14  5.37E-14  3.18E-14  1.71E-14  6.46E-15  2.77E-15
             1.10E-15  3.03E-16  1.10E-16  3.96E-17  1.01E-17  3.59E-18  1.27E-18  3.22E-19  1.14E-19
   404       1.42E-13  9.92E-14  6.13E-14  4.17E-14  2.74E-14  1.44E-14  8.04E-15  4.04E-15  1.39E-15  5.64E-16
             2.16E-16  5.76E-17  2.08E-17  7.41E-18  1.89E-18  6.68E-19  2.36E-19  5.98E-20  2.12E-20
   405       1.73E-13  1.21E-13  7.49E-14  5.09E-14  3.35E-14  1.76E-14  9.82E-15  4.94E-15  1.70E-15  6.90E-16
             2.64E-16  7.04E-17  2.54E-17  9.06E-18  2.30E-18  8.16E-19  2.89E-19  7.31E-20  2.59E-20
   406       2.04E-13  1.43E-13  8.85E-14  6.02E-14  3.96E-14  2.08E-14  1.16E-14  5.84E-15  2.01E-15  8.15E-16
             3.12E-16  8.32E-17  3.00E-17  1.07E-17  2.72E-18  9.65E-19  3.41E-19  8.64E-20  3.06E-20
   407       2.36E-13  1.65E-13  1.02E-13  6.94E-14  4.57E-14  2.40E-14  1.34E-14  6.73E-15  2.32E-15  9.40E-16
             3.60E-16  9.60E-17  3.46E-17  1.23E-17  3.14E-18  1.11E-18  3.94E-19  9.97E-20  3.53E-20
   408       2.67E-13  1.87E-13  1.16E-13  7.87E-14  5.18E-14  2.72E-14  1.52E-14  7.63E-15  2.63E-15  1.07E-15
             4.08E-16  1.09E-16  3.92E-17  1.40E-17  3.56E-18  1.26E-18  4.46E-19  1.13E-19  4.00E-20
   409       4.54E-14  3.17E-14  1.94E-14  1.30E-14  8.29E-15  4.11E-15  2.16E-15  1.02E-15  3.27E-16  1.27E-16
             4.76E-17  1.25E-17  4.46E-18  1.59E-18  4.03E-19  1.43E-19  5.05E-20  1.28E-20  4.52E-21
   410       5.36E-14  3.75E-14  2.29E-14  1.53E-14  9.79E-15  4.86E-15  2.55E-15  1.20E-15  3.86E-16  1.51E-16
             5.63E-17  1.47E-17  5.28E-18  1.88E-18  4.77E-19  1.69E-19  5.97E-20  1.51E-20  5.34E-21
   411       6.19E-14  4.32E-14  2.64E-14  1.77E-14  1.13E-14  5.60E-15  2.94E-15  1.39E-15  4.46E-16  1.74E-16
             6.49E-17  1.70E-17  6.09E-18  2.17E-18  5.50E-19  1.95E-19  6.89E-20  1.74E-20  6.16E-21
   412       7.01E-14  4.90E-14  2.99E-14  2.00E-14  1.28E-14  6.35E-15  3.34E-15  1.58E-15  5.05E-16  1.97E-16
             7.36E-17  1.93E-17  6.90E-18  2.45E-18  6.23E-19  2.21E-19  7.80E-20  1.98E-20  6.98E-21
   413       7.84E-14  5.48E-14  3.34E-14  2.24E-14  1.43E-14  7.10E-15  3.73E-15  1.76E-15  5.64E-16  2.20E-16
             8.22E-17  2.15E-17  7.71E-18  2.74E-18  6.96E-19  2.47E-19  8.72E-20  2.21E-20  7.81E-21
   414       1.61E-13  1.13E-13  7.14E-14  5.01E-14  3.48E-14  2.10E-14  1.38E-14  8.57E-15  4.07E-15  2.08E-15
             9.64E-16  3.07E-16  1.20E-16  4.52E-17  1.19E-17  4.28E-18  1.52E-18  3.87E-19  1.37E-19
   432       5.83E-19  4.14E-19  2.64E-19  1.90E-19  1.39E-19  9.49E-20  7.32E-20  5.73E-20  4.06E-20  2.96E-20
             2.02E-20  1.06E-20  5.80E-21  2.90E-21  1.02E-21  4.25E-22  1.68E-22  4.66E-23  1.71E-23
   433       3.99E-18  2.83E-18  1.81E-18  1.30E-18  9.43E-19  6.33E-19  4.74E-19  3.51E-19  2.19E-19  1.39E-19
             7.95E-20  3.21E-20  1.44E-20  6.01E-21  1.73E-21  6.44E-22  2.35E-22  6.05E-23  2.16E-23
   434       8.97E-18  6.36E-18  4.05E-18  2.89E-18  2.08E-18  1.36E-18  9.75E-19  6.71E-19  3.61E-19  1.98E-19
             9.72E-20  3.24E-20  1.30E-20  4.93E-21  1.31E-21  4.71E-22  1.68E-22  4.28E-23  1.52E-23


 -----------------------------------------
 PRTF= 1  TRMPRT= (3P)  SPNPRT= 3  NSYS= 1
                                                                                              -----------------
                                                                                              SYS= 1  SPNSYS= 2
   IREP
   ----
     3       3.47E-12  2.45E-12  1.55E-12  1.09E-12  7.70E-13  4.81E-13  3.34E-13  2.28E-13  1.32E-13  8.33E-14
             4.97E-14  2.27E-14  1.15E-14  5.43E-15  1.81E-15  7.38E-16  2.87E-16  7.85E-17  2.87E-17
     4       2.83E-13  2.00E-13  1.26E-13  8.90E-14  6.26E-14  3.90E-14  2.70E-14  1.83E-14  1.04E-14  6.48E-15
             3.80E-15  1.69E-15  8.47E-16  3.94E-16  1.30E-16  5.27E-17  2.04E-17  5.57E-18  2.03E-18
     5       3.59E-14  2.54E-14  1.60E-14  1.13E-14  7.92E-15  4.90E-15  3.36E-15  2.25E-15  1.25E-15  7.61E-16
             4.36E-16  1.89E-16  9.31E-17  4.28E-17  1.39E-17  5.60E-18  2.16E-18  5.88E-19  2.14E-19
     6       7.32E-15  5.17E-15  3.26E-15  2.29E-15  1.60E-15  9.82E-16  6.64E-16  4.37E-16  2.37E-16  1.41E-16
             7.90E-17  3.35E-17  1.62E-17  7.39E-18  2.38E-18  9.54E-19  3.68E-19  9.96E-20  3.63E-20
     7       2.05E-15  1.45E-15  9.09E-16  6.37E-16  4.43E-16  2.68E-16  1.78E-16  1.15E-16  6.03E-17  3.51E-17
             1.93E-17  8.03E-18  3.85E-18  1.74E-18  5.56E-19  2.22E-19  8.53E-20  2.31E-20  8.40E-21
     8       7.17E-16  5.05E-16  3.17E-16  2.21E-16  1.52E-16  9.06E-17  5.91E-17  3.72E-17  1.89E-17  1.08E-17
             5.82E-18  2.38E-18  1.13E-18  5.06E-19  1.61E-19  6.41E-20  2.46E-20  6.64E-21  2.42E-21
     9       2.96E-16  2.08E-16  1.30E-16  9.03E-17  6.16E-17  3.59E-17  2.29E-17  1.40E-17  6.91E-18  3.85E-18
             2.05E-18  8.23E-19  3.87E-19  1.73E-19  5.47E-20  2.17E-20  8.31E-21  2.24E-21  8.15E-22
    10       1.39E-16  9.75E-17  6.06E-17  4.18E-17  2.82E-17  1.60E-17  9.98E-18  5.96E-18  2.84E-18  1.55E-18
             8.10E-19  3.21E-19  1.50E-19  6.64E-20  2.09E-20  8.29E-21  3.17E-21  8.54E-22  3.10E-22
    11       7.20E-17  5.05E-17  3.12E-17  2.13E-17  1.42E-17  7.85E-18  4.77E-18  2.78E-18  1.28E-18  6.84E-19
             3.53E-19  1.38E-19  6.38E-20  2.81E-20  8.83E-21  3.49E-21  1.33E-21  3.59E-22  1.30E-22
    12       4.05E-17  2.83E-17  1.74E-17  1.18E-17  7.73E-18  4.16E-18  2.46E-18  1.40E-18  6.23E-19  3.27E-19
             1.66E-19  6.38E-20  2.94E-20  1.29E-20  4.04E-21  1.59E-21  6.08E-22  1.63E-22  5.93E-23
    13       2.44E-17  1.70E-17  1.04E-17  6.94E-18  4.48E-18  2.34E-18  1.35E-18  7.47E-19  3.24E-19  1.66E-19
             8.33E-20  3.16E-20  1.45E-20  6.33E-21  1.97E-21  7.76E-22  2.96E-22  7.95E-23  2.88E-23
    14       1.55E-17  1.08E-17  6.52E-18  4.32E-18  2.74E-18  1.39E-18  7.84E-19  4.22E-19  1.77E-19  8.96E-20
             4.42E-20  1.66E-20  7.53E-21  3.28E-21  1.02E-21  4.00E-22  1.52E-22  4.08E-23  1.48E-23
    15       1.07E-17  7.40E-18  4.42E-18  2.88E-18  1.80E-18  8.80E-19  4.81E-19  2.52E-19  1.02E-19  5.04E-20
             2.44E-20  9.00E-21  4.06E-21  1.75E-21  5.40E-22  2.12E-22  8.05E-23  2.16E-23  7.83E-24
    16       7.47E-18  5.16E-18  3.06E-18  1.97E-18  1.21E-18  5.71E-19  3.03E-19  1.54E-19  6.06E-20  2.94E-20
             1.41E-20  5.11E-21  2.29E-21  9.87E-22  3.04E-22  1.19E-22  4.52E-23  1.21E-23  4.39E-24
    17       3.96E-18  2.70E-18  1.56E-18  9.80E-19  5.79E-19  2.60E-19  1.32E-19  6.46E-20  2.42E-20  1.14E-20
             5.29E-21  1.88E-21  8.31E-22  3.55E-22  1.08E-22  4.23E-23  1.60E-23  4.29E-24  1.55E-24
    18       2.36E-18  1.59E-18  8.96E-19  5.45E-19  3.10E-19  1.32E-19  6.46E-20  3.03E-20  1.08E-20  4.93E-21
             2.24E-21  7.76E-22  3.39E-22  1.43E-22  4.34E-23  1.69E-23  6.38E-24  1.70E-24  6.17E-25
    19       1.52E-18  1.01E-18  5.55E-19  3.28E-19  1.80E-19  7.27E-20  3.43E-20  1.55E-20  5.31E-21  2.35E-21
             1.04E-21  3.53E-22  1.52E-22  6.37E-23  1.91E-23  7.42E-24  2.80E-24  7.45E-25  2.69E-25
    20       8.31E-19  5.47E-19  2.91E-19  1.66E-19  8.72E-20  3.32E-20  1.49E-20  6.47E-21  2.10E-21  8.95E-22
             3.84E-22  1.25E-22  5.29E-23  2.18E-23  6.48E-24  2.49E-24  9.36E-25  2.49E-25  8.99E-26
    21       4.49E-19  2.87E-19  1.44E-19  7.80E-20  3.88E-20  1.38E-20  5.89E-21  2.44E-21  7.46E-22  3.05E-22
             1.26E-22  3.92E-23  1.61E-23  6.52E-24  1.90E-24  7.25E-25  2.71E-25  7.16E-26  2.58E-26
    22       2.12E-19  1.31E-19  6.15E-20  3.12E-20  1.45E-20  4.75E-21  1.93E-21  7.60E-22  2.18E-22  8.50E-23
             3.34E-23  9.81E-24  3.88E-24  1.52E-24  4.31E-25  1.62E-25  5.99E-26  1.57E-26  5.65E-27
    23       1.41E-19  8.44E-20  3.78E-20  1.85E-20  8.33E-21  2.62E-21  1.04E-21  3.99E-22  1.11E-22  4.24E-23
             1.63E-23  4.64E-24  1.80E-24  6.92E-25  1.92E-25  7.17E-26  2.63E-26  6.88E-27  2.47E-27
    24       8.46E-20  4.86E-20  2.04E-20  9.51E-21  4.10E-21  1.23E-21  4.73E-22  1.78E-22  4.81E-23  1.79E-23
             6.67E-24  1.83E-24  6.91E-25  2.60E-25  7.05E-26  2.60E-26  9.45E-27  2.45E-27  8.76E-28
    25       6.13E-20  3.44E-20  1.39E-20  6.29E-21  2.65E-21  7.75E-22  2.94E-22  1.09E-22  2.91E-23  1.07E-23
             3.94E-24  1.06E-24  3.96E-25  1.47E-25  3.93E-26  1.44E-26  5.20E-27  1.34E-27  4.79E-28
    26       4.02E-20  2.18E-20  8.38E-21  3.67E-21  1.50E-21  4.28E-22  1.60E-22  5.86E-23  1.54E-23  5.58E-24
             2.03E-24  5.37E-25  1.97E-25  7.21E-26  1.90E-26  6.88E-27  2.48E-27  6.36E-28  2.26E-28
    27       2.81E-20  1.48E-20  5.46E-21  2.33E-21  9.33E-22  2.60E-22  9.60E-23  3.49E-23  9.08E-24  3.27E-24
             1.18E-24  3.08E-25  1.12E-25  4.04E-26  1.05E-26  3.79E-27  1.36E-27  3.47E-28  1.23E-28
    28       1.66E-20  8.40E-21  2.95E-21  1.22E-21  4.76E-22  1.30E-22  4.74E-23  1.71E-23  4.40E-24  1.58E-24
             5.64E-25  1.45E-25  5.22E-26  1.87E-26  4.82E-27  1.72E-27  6.14E-28  1.57E-28  5.55E-29
    29       9.72E-21  4.70E-21  1.57E-21  6.29E-22  2.41E-22  6.44E-23  2.33E-23  8.36E-24  2.14E-24  7.62E-25
             2.71E-25  6.94E-26  2.47E-26  8.82E-27  2.25E-27  8.02E-28  2.85E-28  7.24E-29  2.56E-29


 -----------------------------------------
 PRTF= 2  TRMPRT= (1D)  SPNPRT= 1  NSYS= 1
                                                                                              -----------------
                                                                                              SYS= 1  SPNSYS= 2
   IREP
   ----
     2       3.58E-11  2.53E-11  1.60E-11  1.13E-11  7.97E-12  5.02E-12  3.52E-12  2.45E-12  1.48E-12  9.76E-13
             6.15E-13  3.02E-13  1.61E-13  7.91E-14  2.74E-14  1.14E-14  4.51E-15  1.25E-15  4.63E-16
     3       2.64E-11  1.86E-11  1.18E-11  8.30E-12  5.85E-12  3.66E-12  2.55E-12  1.75E-12  1.02E-12  6.54E-13
             4.00E-13  1.93E-13  1.05E-13  5.40E-14  2.09E-14  9.67E-15  4.29E-15  1.38E-15  5.63E-16
     4       1.99E-11  1.41E-11  8.87E-12  6.25E-12  4.39E-12  2.72E-12  1.86E-12  1.25E-12  6.95E-13  4.23E-13
             2.45E-13  1.09E-13  5.62E-14  2.77E-14  1.02E-14  4.55E-15  1.97E-15  6.19E-16  2.49E-16
     5       1.55E-11  1.09E-11  6.88E-12  4.83E-12  3.38E-12  2.07E-12  1.39E-12  9.08E-13  4.82E-13  2.81E-13
             1.55E-13  6.58E-14  3.27E-14  1.56E-14  5.56E-15  2.45E-15  1.05E-15  3.25E-16  1.30E-16
     6       1.27E-11  8.95E-12  5.63E-12  3.94E-12  2.74E-12  1.65E-12  1.09E-12  6.94E-13  3.52E-13  1.98E-13
             1.05E-13  4.28E-14  2.07E-14  9.69E-15  3.38E-15  1.47E-15  6.24E-16  1.92E-16  7.62E-17
     7       1.08E-11  7.61E-12  4.78E-12  3.33E-12  2.30E-12  1.37E-12  8.87E-13  5.49E-13  2.68E-13  1.46E-13
             7.54E-14  2.96E-14  1.40E-14  6.46E-15  2.22E-15  9.58E-16  4.03E-16  1.23E-16  4.87E-17
     8       9.41E-12  6.63E-12  4.15E-12  2.89E-12  1.98E-12  1.16E-12  7.36E-13  4.45E-13  2.09E-13  1.11E-13
             5.61E-14  2.14E-14  1.00E-14  4.54E-15  1.54E-15  6.59E-16  2.75E-16  8.37E-17  3.30E-17
     9       8.35E-12  5.88E-12  3.67E-12  2.54E-12  1.73E-12  9.94E-13  6.22E-13  3.68E-13  1.68E-13  8.69E-14
             4.30E-14  1.61E-14  7.39E-15  3.32E-15  1.11E-15  4.74E-16  1.97E-16  5.97E-17  2.35E-17
    10       7.51E-12  5.28E-12  3.29E-12  2.27E-12  1.53E-12  8.65E-13  5.32E-13  3.08E-13  1.37E-13  6.95E-14
             3.38E-14  1.24E-14  5.64E-15  2.51E-15  8.33E-16  3.53E-16  1.46E-16  4.41E-17  1.73E-17
    11       6.83E-12  4.80E-12  2.98E-12  2.04E-12  1.37E-12  7.60E-13  4.59E-13  2.61E-13  1.13E-13  5.65E-14
             2.71E-14  9.78E-15  4.40E-15  1.94E-15  6.41E-16  2.70E-16  1.12E-16  3.35E-17  1.31E-17
    12       6.26E-12  4.39E-12  2.71E-12  1.85E-12  1.23E-12  6.73E-13  4.00E-13  2.24E-13  9.48E-14  4.67E-14
             2.21E-14  7.87E-15  3.51E-15  1.54E-15  5.04E-16  2.12E-16  8.72E-17  2.61E-17  1.02E-17
    13       5.78E-12  4.05E-12  2.49E-12  1.69E-12  1.11E-12  6.00E-13  3.52E-13  1.94E-13  8.04E-14  3.91E-14
             1.83E-14  6.43E-15  2.85E-15  1.24E-15  4.04E-16  1.69E-16  6.95E-17  2.08E-17  8.12E-18
    14       5.36E-12  3.75E-12  2.30E-12  1.55E-12  1.02E-12  5.38E-13  3.11E-13  1.69E-13  6.88E-14  3.31E-14
