SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   125     1    2S2 2P2 5D1         (4)3(13.5)  4334234.0 
   126     1    2S2 2P2 5D1         (4)2( 9.5)  4336445.0 
   127     1    2S2 2P2 5D1         (2)1( 2.5)  4337285.4 
   128     1    2S2 2P2 5D1         (4)1( 5.5)  4339628.7 
   129     1    2S2 2P2 5D1         (2)3( 6.5)  4342626.3 
   130     1    2S2 2P2 5D1         (2)2( 4.5)  4347697.2 
   131     1    2S2 2P2 5F1         (4)2( 9.5)  4350521.0 
   132     1    2S2 2P2 5F1         (2)2( 4.5)  4350611.0 
   133     1    2S2 2P2 5F1         (4)4(17.5)  4350688.5 
   134     1    2S2 2P2 5F1         (2)4( 8.5)  4351748.1 
   135     1    2S2 2P2 5G1         (4)3(13.5)  4352077.2 
   136     1    2S2 2P2 5G1         (2)3( 6.5)  4352077.2 
   137     1    2S2 2P2 5G1         (4)4(17.5)  4352077.2 
   138     1    2S2 2P2 5G1         (2)4( 8.5)  4352077.2 
   139     1    2S2 2P2 5G1         (4)5(21.5)  4352077.2 
   140     1    2S2 2P2 5G1         (2)5(10.5)  4352077.2 
   141     1    2S2 2P2 5F1         (4)3(13.5)  4352792.4 
   142     2    2S2 2P2 5S1         (2)2( 4.5)  4353008.7 
   143     1    2S2 2P2 5F1         (2)3( 6.5)  4354233.8 
   144     5    2S1 2P3 4D1         (4)2( 9.5)  4358391.1 
   145     6    2S1 2P3 4P1         (4)1( 5.5)  4376814.5 
   146     2    2S2 2P2 5P1         (2)3( 6.5)  4378015.4 
   147     2    2S2 2P2 5P1         (2)2( 4.5)  4380244.0 
   148     2    2S2 2P2 5P1         (2)1( 2.5)  4383257.4 
   149     5    2S1 2P3 4F1         (4)3(13.5)  4385683.7 
   150     2    2S2 2P2 5D1         (2)4( 8.5)  4405369.7 
   151     2    2S2 2P2 5D1         (2)3( 6.5)  4405979.7 
   152     2    2S2 2P2 5D1         (2)2( 4.5)  4407708.4 
   153     2    2S2 2P2 5D1         (2)1( 2.5)  4410597.8 
   154     2    2S2 2P2 5D1         (2)0( 0.5)  4412066.1 
   155     2    2S2 2P2 5F1         (2)4( 8.5)  4418221.8 
   156     2    2S2 2P2 5F1         (2)3( 6.5)  4418691.4 
   157     2    2S2 2P2 5G1         (2)2( 4.5)  4420226.1 
   158     2    2S2 2P2 5G1         (2)3( 6.5)  4420226.1 
   159     2    2S2 2P2 5G1         (2)4( 8.5)  4420226.1 
   160     2    2S2 2P2 5G1         (2)5(10.5)  4420226.1 
   161     2    2S2 2P2 5G1         (2)6(12.5)  4420226.1 
   162     2    2S2 2P2 5F1         (2)2( 4.5)  4420654.7 
   163     2    2S2 2P2 5F1         (2)5(10.5)  4420658.9 
   164     3    2S2 2P2 5S1         (2)0( 0.5)  4420861.5 
   165     2    2S2 2P2 5F1         (2)1( 2.5)  4422603.6 
   166     6    2S1 2P3 4D1         (4)2( 9.5)  4429320.9 
   167     3    2S2 2P2 5P1         (2)1( 2.5)  4447403.1 
   168     6    2S1 2P3 4F1         (4)3(13.5)  4454390.2 
   169     8    2S1 2P3 4S1         (4)0( 1.5)  4464068.6 
