SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108033272.5   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    17922.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 111432848.8   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   129     2    2S2 2P5 6P1         (3)1( 1.0)  3144438.0 
   130     1    2S2 2P5 6D1         (3)3( 4.0)  3144634.2 
   131     2    2S2 2P5 6P1         (1)2( 2.0)  3144699.9 
   132     1    2S2 2P5 6D1         (3)1( 2.0)  3144866.9 
   133     1    2S2 2P5 6D1         (3)3( 3.0)  3145062.0 
   134     1    2S2 2P5 6D1         (1)2( 2.0)  3145642.8 
   135     1    2S2 2P5 6D1         (3)2( 3.0)  3145910.8 
   136     1    2S2 2P5 6D1         (1)1( 1.0)  3148508.0 
   137     2    2S2 2P5 6P1         (1)0( 0.0)  3148853.1 
   138     1    2S2 2P5 6F1         (3)2( 1.0)  3151629.1 
   139     1    2S2 2P5 6F1         (3)2( 2.0)  3151777.3 
   140     1    2S2 2P5 6F1         (3)4( 5.0)  3151909.1 
   141     1    2S2 2P5 6G1         (1)*( 2.0)  3151932.5 
   142     1    2S2 2P5 6G1         (1)*( 3.0)  3151932.5 
   143     1    2S2 2P5 6G1         (1)*( 4.0)  3151932.5 
   144     1    2S2 2P5 6G1         (1)*( 5.0)  3151932.5 
   145     1    2S2 2P5 6G1         (1)*( 3.0)  3151932.5 
   146     1    2S2 2P5 6G1         (1)*( 4.0)  3151932.5 
   147     1    2S2 2P5 6G1         (1)*( 5.0)  3151932.5 
   148     1    2S2 2P5 6G1         (1)*( 6.0)  3151932.5 
   149     1    2S2 2P5 6F1         (1)4( 4.0)  3151943.7 
   150     1    2S2 2P5 6F1         (3)3( 3.0)  3152182.6 
   151     1    2S2 2P5 6H1         (1)*( 3.0)  3152288.6 
   152     1    2S2 2P5 6H1         (1)*( 4.0)  3152288.6 
   153     1    2S2 2P5 6H1         (1)*( 5.0)  3152288.6 
   154     1    2S2 2P5 6H1         (1)*( 6.0)  3152288.6 
   155     1    2S2 2P5 6H1         (1)*( 4.0)  3152288.6 
   156     1    2S2 2P5 6H1         (1)*( 5.0)  3152288.6 
   157     1    2S2 2P5 6H1         (1)*( 6.0)  3152288.6 
   158     1    2S2 2P5 6H1         (1)*( 7.0)  3152288.6 
   159     1    2S2 2P5 6F1         (3)3( 2.0)  3152322.6 
   160     1    2S2 2P5 6F1         (1)3( 3.0)  3152421.2 
   161     1    2S2 2P5 6F1         (3)3( 4.0)  3152460.0 
   162     2    2S2 2P5 6D1         (3)3( 2.0)  3162817.3 
   163     2    2S2 2P5 6D1         (3)2( 2.0)  3162931.3 
   164     2    2S2 2P5 6D1         (1)3( 3.0)  3163241.6 
   165     2    2S2 2P5 6D1         (3)2( 1.0)  3165309.7 
   166     2    2S2 2P5 6G1         (1)*( 3.0)  3169854.8 
   167     2    2S2 2P5 6G1         (1)*( 4.0)  3169854.8 
   168     2    2S2 2P5 6G1         (1)*( 4.0)  3169854.8 
   169     2    2S2 2P5 6G1         (1)*( 5.0)  3169854.8 
   170     2    2S2 2P5 6F1         (3)4( 3.0)  3169990.8 
   171     2    2S2 2P5 6F1         (3)2( 3.0)  3170025.1 
   172     2    2S2 2P5 6F1         (3)4( 4.0)  3170054.6 
   173     2    2S2 2P5 6F1         (1)2( 2.0)  3170134.1 
   174     2    2S2 2P5 6H1         (1)*( 4.0)  3170210.8 
   175     2    2S2 2P5 6H1         (1)*( 5.0)  3170210.8 
   176     2    2S2 2P5 6H1         (1)*( 5.0)  3170210.8 
   177     2    2S2 2P5 6H1         (1)*( 6.0)  3170210.8 
   178     1    2S2 2P5 7S1         (3)1( 2.0)  3192780.6 
   179     1    2S2 2P5 7S1         (1)1( 1.0)  3193249.8 
   180     1    2S2 2P5 7P1         (3)0( 1.0)  3201224.2 
   181     1    2S2 2P5 7P1         (3)2( 3.0)  3201811.1 
   182     1    2S2 2P5 7P1         (3)2( 2.0)  3201918.1 
   183     1    2S2 2P5 7P1         (1)1( 1.0)  3202271.9 
   184     1    2S2 2P5 7P1         (3)1( 2.0)  3202467.0 
   185     1    2S2 2P5 7P1         (1)0( 0.0)  3205568.7 
   186     2    2S2 2P5 7S1         (3)1( 0.0)  3210702.8 
   187     2    2S2 2P5 7S1         (3)1( 1.0)  3210947.0 
   188     1    2S2 2P5 7D1         (3)1( 0.0)  3212569.2 
   189     1    2S2 2P5 7D1         (3)1( 1.0)  3212850.4 
   190     1    2S2 2P5 7D1         (3)3( 4.0)  3213092.8 
   191     1    2S2 2P5 7D1         (3)1( 2.0)  3213251.8 
   192     1    2S2 2P5 7D1         (3)3( 3.0)  3213363.2 
   193     1    2S2 2P5 7D1         (1)2( 2.0)  3213719.8 
   194     1    2S2 2P5 7D1         (3)2( 3.0)  3213884.3 
   195     1    2S2 2P5 7D1         (1)1( 1.0)  3215576.6 
   196     1    2S2 2P5 7F1         (3)2( 1.0)  3217489.1 
   197     1    2S2 2P5 7F1         (3)2( 2.0)  3217587.0 
   198     1    2S2 2P5 7F1         (3)4( 5.0)  3217664.5 
   199     1    2S2 2P5 7F1         (1)4( 4.0)  3217689.1 
   200     1    2S2 2P5 7G1         (1)*( 2.0)  3217711.2 
   201     1    2S2 2P5 7G1         (1)*( 3.0)  3217711.2 
   202     1    2S2 2P5 7G1         (1)*( 4.0)  3217711.2 
   203     1    2S2 2P5 7G1         (1)*( 5.0)  3217711.2 
   204     1    2S2 2P5 7G1         (1)*( 3.0)  3217711.2 
   205     1    2S2 2P5 7G1         (1)*( 4.0)  3217711.2 
   206     1    2S2 2P5 7G1         (1)*( 5.0)  3217711.2 
   207     1    2S2 2P5 7G1         (1)*( 6.0)  3217711.2 
   208     1    2S2 2P5 7F1         (3)3( 3.0)  3217838.8 
   209     1    2S2 2P5 7F1         (3)3( 2.0)  3217934.4 
   210     1    2S2 2P5 7H1         (1)*( 3.0)  3217935.3 
   211     1    2S2 2P5 7H1         (1)*( 4.0)  3217935.3 
   212     1    2S2 2P5 7H1         (1)*( 5.0)  3217935.3 
   213     1    2S2 2P5 7H1         (1)*( 6.0)  3217935.3 
   214     1    2S2 2P5 7H1         (1)*( 4.0)  3217935.3 
   215     1    2S2 2P5 7H1         (1)*( 5.0)  3217935.3 
   216     1    2S2 2P5 7H1         (1)*( 6.0)  3217935.3 
   217     1    2S2 2P5 7H1         (1)*( 7.0)  3217935.3 
   218     1    2S2 2P5 7F1         (1)3( 3.0)  3217986.3 
   219     1    2S2 2P5 7F1         (3)3( 4.0)  3218011.4 
   220     1    2S2 2P5 7I1         (1)*( 4.0)  3218035.3 
   221     1    2S2 2P5 7I1         (1)*( 5.0)  3218035.3 
   222     1    2S2 2P5 7I1         (1)*( 6.0)  3218035.3 
   223     1    2S2 2P5 7I1         (1)*( 7.0)  3218035.3 
   224     1    2S2 2P5 7I1         (1)*( 5.0)  3218035.3 
   225     1    2S2 2P5 7I1         (1)*( 6.0)  3218035.3 
   226     1    2S2 2P5 7I1         (1)*( 7.0)  3218035.3 
   227     1    2S2 2P5 7I1         (1)*( 8.0)  3218035.3 
   228     2    2S2 2P5 7P1         (3)2( 1.0)  3219652.2 
   229     2    2S2 2P5 7P1         (3)1( 1.0)  3219878.2 
   230     2    2S2 2P5 7P1         (1)2( 2.0)  3220053.6 
   231     2    2S2 2P5 7P1         (3)1( 0.0)  3222293.0 
   232     2    2S2 2P5 7D1         (3)3( 2.0)  3231170.3 
   233     2    2S2 2P5 7D1         (3)2( 2.0)  3231231.3 
   234     2    2S2 2P5 7D1         (1)3( 3.0)  3231436.1 
   235     2    2S2 2P5 7D1         (3)2( 1.0)  3232646.9 
   236     2    2S2 2P5 7G1         (1)*( 3.0)  3235633.4 
   237     2    2S2 2P5 7G1         (1)*( 4.0)  3235633.4 
   238     2    2S2 2P5 7G1         (1)*( 4.0)  3235633.4 
   239     2    2S2 2P5 7G1         (1)*( 5.0)  3235633.4 
   240     2    2S2 2P5 7F1         (3)4( 3.0)  3235685.1 
   241     2    2S2 2P5 7F1         (3)2( 3.0)  3235705.0 
   242     2    2S2 2P5 7F1         (3)4( 4.0)  3235727.3 
   243     2    2S2 2P5 7F1         (1)2( 2.0)  3235781.1 
   244     2    2S2 2P5 7H1         (1)*( 4.0)  3235857.5 
   245     2    2S2 2P5 7H1         (1)*( 5.0)  3235857.5 
   246     2    2S2 2P5 7H1         (1)*( 5.0)  3235857.5 
   247     2    2S2 2P5 7H1         (1)*( 6.0)  3235857.5 
   248     2    2S2 2P5 7I1         (1)*( 5.0)  3235957.5 
   249     2    2S2 2P5 7I1         (1)*( 6.0)  3235957.5 
   250     2    2S2 2P5 7I1         (1)*( 6.0)  3235957.5 
   251     2    2S2 2P5 7I1         (1)*( 7.0)  3235957.5 
   252     1    2S2 2P5 8S1         (3)1( 2.0)  3243923.3 
   253     1    2S2 2P5 8S1         (1)1( 1.0)  3244228.9 
   254     1    2S2 2P5 8P1         (3)0( 1.0)  3249479.3 
   255     1    2S2 2P5 8P1         (3)2( 3.0)  3249855.8 
   256     1    2S2 2P5 8P1         (3)2( 2.0)  3249925.8 
   257     1    2S2 2P5 8P1         (1)1( 1.0)  3250157.0 
   258     1    2S2 2P5 8P1         (3)1( 2.0)  3250284.3 
   259     1    2S2 2P5 8P1         (1)0( 0.0)  3252386.0 
   260     1    2S2 2P5 8D1         (3)1( 0.0)  3256931.9 
   261     1    2S2 2P5 8D1         (3)1( 1.0)  3257122.6 
   262     1    2S2 2P5 8D1         (3)3( 4.0)  3257278.5 
   263     1    2S2 2P5 8D1         (3)1( 2.0)  3257389.1 
   264     1    2S2 2P5 8D1         (3)3( 3.0)  3257459.6 
