SEQ='B '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83257501.5   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   131     4    2S1 2P1 4F1         (4)4( 4.5)  4981614.7 
   132     4    2S1 2P1 4F1         (4)4( 3.5)  4981935.1 
   133     4    2S1 2P1 4D1         (2)3( 3.5)  4982637.1 
   134     4    2S1 2P1 4F1         (4)2( 2.5)  4983257.6 
   135     4    2S1 2P1 4F1         (4)2( 3.5)  4983525.7 
   136     4    2S1 2P1 4F1         (4)4( 5.5)  4984062.5 
   137     4    2S1 2P1 4D1         (2)1( 0.5)  4985301.7 
   138     4    2S1 2P1 4F1         (4)2( 1.5)  4985481.9 
   139     4    2S1 2P1 4F1         (2)2( 2.5)  4986262.7 
   140     4    2S1 2P1 4F1         (4)2( 0.5)  4986811.1 
   141     4    2S1 2P1 4F1         (2)4( 4.5)  4987101.6 
   142     4    2S1 2P1 4F1         (2)2( 1.5)  4989214.9 
   143     5    2S1 2P1 4S1         (2)1( 0.5)  5089085.4 
   144     5    2S1 2P1 4S1         (2)1( 1.5)  5089570.7 
   145     5    2S1 2P1 4P1         (2)2( 1.5)  5133205.2 
   146     5    2S1 2P1 4P1         (2)2( 2.5)  5134654.7 
   147     5    2S1 2P1 4P1         (2)1( 0.5)  5135553.0 
   148     5    2S1 2P1 4P1         (2)1( 1.5)  5137722.9 
   149     5    2S1 2P1 4P1         (2)0( 0.5)  5143241.5 
   150     1    2S2 5S1             (2)0( 0.5)  5159898.7 
   151     5    2S1 2P1 4D1         (2)2( 1.5)  5172262.5 
   152     5    2S1 2P1 4D1         (2)3( 2.5)  5172605.3 
   153     5    2S1 2P1 4D1         (2)3( 3.5)  5172621.5 
   154     5    2S1 2P1 4D1         (2)2( 2.5)  5173234.5 
   155     5    2S1 2P1 4D1         (2)1( 0.5)  5180594.7 
   156     5    2S1 2P1 4D1         (2)1( 1.5)  5181314.9 
   157     1    2S2 5P1             (2)1( 0.5)  5183197.5 
   158     1    2S2 5P1             (2)1( 1.5)  5184441.9 
   159     5    2S1 2P1 4F1         (2)3( 2.5)  5187882.7 
   160     5    2S1 2P1 4F1         (2)3( 3.5)  5188218.7 
   161     5    2S1 2P1 4F1         (2)4( 3.5)  5193637.2 
   162     5    2S1 2P1 4F1         (2)4( 4.5)  5193916.2 
   163     5    2S1 2P1 4F1         (2)2( 1.5)  5196314.3 
   164     5    2S1 2P1 4F1         (2)2( 2.5)  5196625.4 
   165     1    2S2 5D1             (2)2( 1.5)  5202931.6 
   166     1    2S2 5D1             (2)2( 2.5)  5203309.5 
   167     1    2S2 5F1             (2)3( 2.5)  5212952.5 
   168     1    2S2 5F1             (2)3( 3.5)  5213126.7 
