SEQ='B '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  82908802.3   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   229492.2 
     3          2S1 2P1             (1)1( 1.0)   445183.5*
     4          2P2                 (3)1( 4.0)   589717.3*
     5          2P2                 (1)2( 2.0)   662055.2*
     6          2P2                 (1)0( 0.0)   815843.3*

   LS RESOLVED TERM INDEXING            BWNR=  88960077.3   NTRM= 278
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   110     1    2S2 6G1             (2)4( 8.5)  5453356.5 
   111     1    2S2 6H1             (2)5(10.5)  5453579.0 
   112     6    2P2 4P1             (2)1( 2.5)  5468703.9 
   113     6    2P2 4D1             (2)2( 4.5)  5505523.7 
   114     3    2S1 2P1 5S1         (2)1( 2.5)  5585554.4 
   115     1    2S2 7S1             (2)0( 0.5)  5593584.2 
   116     1    2S2 7P1             (2)1( 2.5)  5601758.8 
   117     3    2S1 2P1 5P1         (2)2( 4.5)  5606980.8 
   118     3    2S1 2P1 5P1         (2)1( 2.5)  5608028.0 
   119     1    2S2 7D1             (2)2( 4.5)  5608255.5 
   120     3    2S1 2P1 5P1         (2)0( 0.5)  5611157.5 
   121     1    2S2 7F1             (2)3( 6.5)  5611643.5 
   122     1    2S2 7G1             (2)4( 8.5)  5612036.2 
   123     1    2S2 7H1             (2)5(10.5)  5612176.3 
   124     1    2S2 7I1             (2)6(12.5)  5612238.8 
   125     3    2S1 2P1 5D1         (2)2( 4.5)  5625193.0 
   126     3    2S1 2P1 5D1         (2)3( 6.5)  5625211.5 
   127     3    2S1 2P1 5D1         (2)1( 2.5)  5629251.8 
   128     3    2S1 2P1 5F1         (2)3( 6.5)  5632680.9 
   129     3    2S1 2P1 5F1         (2)4( 8.5)  5635334.8 
   130     2    2S1 2P1 6S1         (4)1( 5.5)  5652962.7 
   131     2    2S1 2P1 6S1         (2)1( 2.5)  5657324.9 
   132     2    2S1 2P1 6P1         (4)2( 9.5)  5664889.2 
   133     2    2S1 2P1 6P1         (2)1( 2.5)  5665856.2 
   134     2    2S1 2P1 6P1         (4)0( 1.5)  5666578.3 
   135     2    2S1 2P1 6P1         (4)1( 5.5)  5667815.5 
   136     2    2S1 2P1 6P1         (2)2( 4.5)  5670209.1 
   137     2    2S1 2P1 6P1         (2)0( 0.5)  5673659.7 
   138     2    2S1 2P1 6D1         (4)3(13.5)  5674328.5 
   139     2    2S1 2P1 6D1         (4)2( 9.5)  5676813.8 
   140     2    2S1 2P1 6D1         (2)2( 4.5)  5677181.0 
   141     2    2S1 2P1 6D1         (4)1( 5.5)  5677418.6 
   142     2    2S1 2P1 6F1         (4)3(13.5)  5681124.6 
   143     2    2S1 2P1 6F1         (2)3( 6.5)  5681558.0 
   144     2    2S1 2P1 6F1         (4)4(17.5)  5682176.0 
   145     2    2S1 2P1 6D1         (2)3( 6.5)  5682308.7 
   146     2    2S1 2P1 6G1         (4)3(13.5)  5682848.7 
   147     2    2S1 2P1 6G1         (2)3( 6.5)  5682848.7 
   148     2    2S1 2P1 6G1         (4)4(17.5)  5682848.7 
   149     2    2S1 2P1 6G1         (2)4( 8.5)  5682848.7 
   150     2    2S1 2P1 6G1         (4)5(21.5)  5682848.7 
   151     2    2S1 2P1 6G1         (2)5(10.5)  5682848.7 
   152     2    2S1 2P1 6D1         (2)1( 2.5)  5682929.4 
   153     2    2S1 2P1 6H1         (4)4(17.5)  5683071.1 
   154     2    2S1 2P1 6H1         (2)4( 8.5)  5683071.1 
   155     2    2S1 2P1 6H1         (4)5(21.5)  5683071.1 
   156     2    2S1 2P1 6H1         (2)5(10.5)  5683071.1 
   157     2    2S1 2P1 6H1         (4)6(25.5)  5683071.1 
   158     2    2S1 2P1 6H1         (2)6(12.5)  5683071.1 
   159     2    2S1 2P1 6F1         (4)2( 9.5)  5683132.0 
   160     2    2S1 2P1 6F1         (2)4( 8.5)  5683827.3 
   161     2    2S1 2P1 6F1         (2)2( 4.5)  5684327.4 
   162     1    2S2 8S1             (2)0( 0.5)  5702728.8 
   163     1    2S2 8P1             (2)1( 2.5)  5708163.1 
   164     1    2S2 8D1             (2)2( 4.5)  5712479.7 
   165     1    2S2 8F1             (2)3( 6.5)  5714729.7 
   166     1    2S2 8G1             (2)4( 8.5)  5715010.5 
   167     1    2S2 8H1             (2)5(10.5)  5715104.3 
   168     1    2S2 8I1             (2)6(12.5)  5715146.2 
   169     1    2S2 8J1             (2)7(14.5)  5715167.6 
   170     4    2P2 5P1             (2)1( 2.5)  5761875.4 
   171     4    2P2 5D1             (2)2( 4.5)  5782832.1 
   172     2    2S1 2P1 7S1         (4)1( 5.5)  5822893.9 
   173     2    2S1 2P1 7S1         (2)1( 2.5)  5825543.3 
   174     2    2S1 2P1 7P1         (4)2( 9.5)  5830350.3 
   175     2    2S1 2P1 7P1         (2)1( 2.5)  5830941.1 
   176     2    2S1 2P1 7P1         (4)0( 1.5)  5831387.9 
   177     2    2S1 2P1 7P1         (4)1( 5.5)  5832110.6 
   178     2    2S1 2P1 7P1         (2)2( 4.5)  5833593.9 
   179     2    2S1 2P1 7P1         (2)0( 0.5)  5835719.5 
   180     2    2S1 2P1 7D1         (4)3(13.5)  5836221.4 
   181     2    2S1 2P1 7D1         (4)2( 9.5)  5837740.8 
   182     2    2S1 2P1 7D1         (2)2( 4.5)  5837965.3 
   183     2    2S1 2P1 7D1         (4)1( 5.5)  5838112.6 
   184     2    2S1 2P1 7F1         (4)3(13.5)  5840421.7 
   185     2    2S1 2P1 7F1         (2)3( 6.5)  5840706.3 
   186     2    2S1 2P1 7F1         (4)4(17.5)  5841043.3 
   187     2    2S1 2P1 7D1         (2)3( 6.5)  5841107.2 
   188     2    2S1 2P1 7D1         (2)1( 2.5)  5841487.8 
   189     2    2S1 2P1 7G1         (4)3(13.5)  5841528.4 
   190     2    2S1 2P1 7G1         (2)3( 6.5)  5841528.4 
   191     2    2S1 2P1 7G1         (4)4(17.5)  5841528.4 
   192     2    2S1 2P1 7G1         (2)4( 8.5)  5841528.4 
   193     2    2S1 2P1 7G1         (4)5(21.5)  5841528.4 
   194     2    2S1 2P1 7G1         (2)5(10.5)  5841528.4 
   195     2    2S1 2P1 7F1         (4)2( 9.5)  5841647.7 
   196     2    2S1 2P1 7H1         (4)4(17.5)  5841668.4 
   197     2    2S1 2P1 7H1         (2)4( 8.5)  5841668.4 
   198     2    2S1 2P1 7H1         (4)5(21.5)  5841668.4 
   199     2    2S1 2P1 7H1         (2)5(10.5)  5841668.4 
   200     2    2S1 2P1 7H1         (4)6(25.5)  5841668.4 
   201     2    2S1 2P1 7H1         (2)6(12.5)  5841668.4 
   202     2    2S1 2P1 7I1         (4)5(21.5)  5841731.0 
   203     2    2S1 2P1 7I1         (2)5(10.5)  5841731.0 
   204     2    2S1 2P1 7I1         (4)6(25.5)  5841731.0 
   205     2    2S1 2P1 7I1         (2)6(12.5)  5841731.0 
   206     2    2S1 2P1 7I1         (4)7(29.5)  5841731.0 
   207     2    2S1 2P1 7I1         (2)7(14.5)  5841731.0 
   208     2    2S1 2P1 7F1         (2)4( 8.5)  5842129.9 
   209     2    2S1 2P1 7F1         (2)2( 4.5)  5842434.6 
   210     3    2S1 2P1 6S1         (2)1( 2.5)  5870113.9 
   211     3    2S1 2P1 6P1         (2)2( 4.5)  5882374.3 
   212     3    2S1 2P1 6P1         (2)1( 2.5)  5882889.0 
   213     3    2S1 2P1 6P1         (2)0( 0.5)  5884680.9 
   214     3    2S1 2P1 6D1         (2)2( 4.5)  5892667.8 
