SEQ='O '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  99453731.9   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   190     8    2P5 3D1             (3)2( 7.0)  3961111.0 
   191     1    2S2 2P3 6F1         (5)3(17.0)  3961867.0 
   192     1    2S2 2P3 6G1         (5)4(22.0)  3962277.7 
   193     1    2S2 2P3 6G1         (3)4(13.0)  3962277.7 
   194     1    2S2 2P3 6F1         (3)3(10.0)  3962486.3 
   195     1    2S2 2P3 6H1         (5)5(27.0)  3962616.9 
   196     1    2S2 2P3 6H1         (3)5(16.0)  3962616.9 
   197     8    2P5 3D1             (1)1( 1.0)  4016113.7 
   198     2    2S2 2P3 6S1         (3)2( 7.0)  4021048.9 
   199     2    2S2 2P3 6S1         (1)2( 2.0)  4022498.2 
   200     1    2S2 2P3 7S1         (5)0( 2.0)  4034880.4 
   201     2    2S2 2P3 6P1         (3)2( 7.0)  4035209.2 
   202     2    2S2 2P3 6P1         (1)1( 1.0)  4035435.7 
   203     2    2S2 2P3 6P1         (3)3(10.0)  4035694.3 
   204     2    2S2 2P3 6P1         (1)3( 3.0)  4036313.3 
   205     1    2S2 2P3 7S1         (3)0( 1.0)  4036634.0 
   206     2    2S2 2P3 6P1         (3)1( 4.0)  4038942.2 
   207     2    2S2 2P3 6P1         (1)2( 2.0)  4042769.8 
   208     1    2S2 2P3 7P1         (5)1( 7.0)  4044004.9 
   209     1    2S2 2P3 7P1         (3)1( 4.0)  4046595.3 
   210     2    2S2 2P3 6D1         (1)0( 0.0)  4051731.3 
   211     2    2S2 2P3 6D1         (3)3(10.0)  4051937.1 
   212     2    2S2 2P3 6D1         (3)4(13.0)  4052480.3 
   213     2    2S2 2P3 6D1         (1)4( 4.0)  4052979.7 
   214     2    2S2 2P3 6D1         (3)2( 7.0)  4053427.8 
   215     2    2S2 2P3 6D1         (1)1( 1.0)  4053998.1 
   216     1    2S2 2P3 7D1         (5)2(12.0)  4054262.8 
   217     2    2S2 2P3 6D1         (3)1( 4.0)  4055095.7 
   218     2    2S2 2P3 6D1         (3)0( 1.0)  4056227.8 
   219     2    2S2 2P3 6D1         (1)2( 2.0)  4057182.2 
   220     1    2S2 2P3 7D1         (3)2( 7.0)  4057315.1 
   221     2    2S2 2P3 6D1         (1)3( 3.0)  4058429.2 
   222     1    2S2 2P3 7F1         (5)3(17.0)  4060081.2 
   223     1    2S2 2P3 7G1         (5)4(22.0)  4060392.4 
   224     1    2S2 2P3 7G1         (3)4(13.0)  4060392.4 
   225     1    2S2 2P3 7F1         (3)3(10.0)  4060495.9 
   226     1    2S2 2P3 7H1         (5)5(27.0)  4060605.9 
   227     1    2S2 2P3 7H1         (3)5(16.0)  4060605.9 
   228     1    2S2 2P3 7I1         (5)6(32.0)  4060701.2 
   229     1    2S2 2P3 7I1         (3)6(19.0)  4060701.2 
