SEQ='AL'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 113193148.8   NPRNTI= 2   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
   143  9999    3P1 3D2             (2)3( 6.5)   700453.2 
   144     2    3S1 3P1 6S1         (2)1( 2.5)   701162.2 
   145     3    3S1 3P1 5P1         (2)2( 4.5)   701186.4 
   146     3    3S1 3P1 5P1         (2)1( 2.5)   701586.2 
   147     3    3S1 3P1 5P1         (2)0( 0.5)   703824.2 
   148     6    3P2 4P1             (2)1( 2.5)   707285.3 
   149     2    3S1 3P1 6P1         (4)2( 9.5)   709534.0 
   150     2    3S1 3P1 6P1         (2)1( 2.5)   709688.4 
   151     2    3S1 3P1 6P1         (4)1( 5.5)   710469.9 
   152     2    3S1 3P1 6P1         (4)0( 1.5)   711071.6 
   153     4    3P2 4D1             (2)3( 6.5)   711594.4 
   154     2    3S1 3P1 6P1         (2)2( 4.5)   712397.6 
   155  9999    3P1 3D2             (2)2( 4.5)   712752.3 
   156  9999    3P1 3D2             (2)1( 2.5)   712802.8 
   157     4    3P2 4D1             (2)2( 4.5)   713701.5 
   158     2    3S1 3P1 6P1         (2)0( 0.5)   714949.3 
   159     4    3P2 4D1             (2)4( 8.5)   715806.7 
   160     7    3S1 3D1 4P1         (2)2( 4.5)   716063.9 
   161     4    3P2 4D1             (2)1( 2.5)   717344.8 
   162     5    3P2 4D1             (2)1( 2.5)   722529.2 
   163     4    3P2 4D1             (2)0( 0.5)   723025.2 
   164     8    3S1 3D1 4S1         (2)2( 4.5)   724281.7 
   165     5    3P2 4D1             (2)3( 6.5)   725409.2 
   166     2    3S1 3P1 6D1         (4)2( 9.5)   725524.5 
   167     2    3S1 3P1 6D1         (2)2( 4.5)   725693.4 
   168     7    3S1 3D1 4P1         (2)3( 6.5)   725763.1 
   169     2    3S1 3P1 6D1         (4)3(13.5)   726255.5 
   170     2    3S1 3P1 6D1         (4)1( 5.5)   727186.8 
   171     2    3S1 3P1 6D1         (2)3( 6.5)   727615.4 
   172  9999    3P1 3D2             (2)3( 6.5)   727990.9 
   173     2    3S1 3P1 6D1         (2)1( 2.5)   728422.2 
   174     7    3S1 3D1 4P1         (2)1( 2.5)   729284.5 
   175     3    3S1 3P1 5D1         (2)2( 4.5)   729711.2 
   176     3    3S1 3P1 5D1         (2)3( 6.5)   730937.4 
   177     5    3P2 4D1             (2)2( 4.5)   731212.3 
   178     2    3S1 3P1 6F1         (4)3(13.5)   732173.6 
   179     3    3S1 3P1 5D1         (2)1( 2.5)   732203.9 
   180     2    3S1 3P1 6F1         (2)3( 6.5)   732485.1 
   181     2    3S1 3P1 6F1         (4)4(17.5)   732601.7 
   182  9999    3P1 3D2             (2)4( 8.5)   733048.4 
   183     2    3S1 3P1 6F1         (4)2( 9.5)   733762.9*
   184     2    3S1 3P1 6G1         (4)3(13.5)   734484.5*
   185     2    3S1 3P1 6G1         (2)3( 6.5)   734484.5*
   186     2    3S1 3P1 6G1         (4)4(17.5)   734484.5*
   187     2    3S1 3P1 6G1         (2)4( 8.5)   734484.5*
   188     2    3S1 3P1 6G1         (4)5(21.5)   734484.5*
   189     2    3S1 3P1 6G1         (2)5(10.5)   734484.5*
   190     2    3S1 3P1 6H1         (4)4(17.5)   734767.9*
   191     2    3S1 3P1 6H1         (2)4( 8.5)   734767.9*
   192     2    3S1 3P1 6H1         (4)5(21.5)   734767.9*
   193     2    3S1 3P1 6H1         (2)5(10.5)   734767.9*
   194     2    3S1 3P1 6H1         (4)6(25.5)   734767.9*
   195     2    3S1 3P1 6H1         (2)6(12.5)   734767.9*
   196     2    3S1 3P1 6F1         (2)4( 8.5)   735147.9*
   197     2    3S1 3P1 6F1         (2)2( 4.5)   735581.4*
   198     3    3S1 3P1 5F1         (2)3( 6.5)   741805.0*
   199     2    3S1 3P1 7S1         (4)1( 5.5)   742140.4*
   200     3    3S1 3P1 5F1         (2)4( 8.5)   743045.1*
   201     2    3S1 3P1 7S1         (2)1( 2.5)   743528.0*
   202     3    3S1 3P1 5F1         (2)2( 4.5)   744386.8*
   203     2    3S1 3P1 7P1         (4)2( 9.5)   748635.2*
   204     2    3S1 3P1 7P1         (2)1( 2.5)   748709.8*
   205     2    3S1 3P1 7P1         (4)1( 5.5)   749129.4*
   206     2    3S1 3P1 7P1         (4)0( 1.5)   749532.0*
   207     2    3S1 3P1 7P1         (2)2( 4.5)   750252.9*
   208     2    3S1 3P1 7P1         (2)0( 0.5)   751735.4*
   209     2    3S1 3P1 7D1         (4)2( 9.5)   758254.9*
   210     2    3S1 3P1 7D1         (2)2( 4.5)   758358.0*
   211     3    3S1 3P1 6S1         (2)1( 2.5)   758567.5*
   212     2    3S1 3P1 7D1         (4)3(13.5)   758711.8*
   213     2    3S1 3P1 7D1         (4)1( 5.5)   759258.9*
   214     2    3S1 3P1 7D1         (2)3( 6.5)   759493.8*
   215     2    3S1 3P1 7D1         (2)1( 2.5)   759978.6*
   216     2    3S1 3P1 7F1         (4)3(13.5)   762350.0*
   217     2    3S1 3P1 7F1         (2)3( 6.5)   762551.5*
   218     2    3S1 3P1 7F1         (4)4(17.5)   762597.5*
   219     2    3S1 3P1 7F1         (4)2( 9.5)   763297.5*
   220     2    3S1 3P1 7G1         (4)3(13.5)   763815.0*
   221     2    3S1 3P1 7G1         (2)3( 6.5)   763815.0*
   222     2    3S1 3P1 7G1         (4)4(17.5)   763815.0*
   223     2    3S1 3P1 7G1         (2)4( 8.5)   763815.0*
   224     2    3S1 3P1 7G1         (4)5(21.5)   763815.0*
   225     2    3S1 3P1 7G1         (2)5(10.5)   763815.0*
   226     2    3S1 3P1 7H1         (4)4(17.5)   763993.4*
   227     2    3S1 3P1 7H1         (2)4( 8.5)   763993.4*
   228     2    3S1 3P1 7H1         (4)5(21.5)   763993.4*
   229     2    3S1 3P1 7H1         (2)5(10.5)   763993.4*
   230     2    3S1 3P1 7H1         (4)6(25.5)   763993.4*
   231     2    3S1 3P1 7H1         (2)6(12.5)   763993.4*
   232     2    3S1 3P1 7I1         (4)5(21.5)   764072.9*
   233     2    3S1 3P1 7I1         (2)5(10.5)   764072.9*
   234     2    3S1 3P1 7I1         (4)6(25.5)   764072.9*
   235     2    3S1 3P1 7I1         (2)6(12.5)   764072.9*
   236     2    3S1 3P1 7I1         (4)7(29.5)   764072.9*
   237     2    3S1 3P1 7I1         (2)7(14.5)   764072.9*
   238     2    3S1 3P1 7F1         (2)4( 8.5)   764160.0*
   239     2    3S1 3P1 7F1         (2)2( 4.5)   764418.7*
   240     2    3S1 3P1 8S1         (4)1( 5.5)   768714.8*
   241     3    3S1 3P1 6P1         (2)2( 4.5)   769499.8*
   242     2    3S1 3P1 8S1         (2)1( 2.5)   769571.4*
   243     3    3S1 3P1 6P1         (2)1( 2.5)   769588.7*
   244     3    3S1 3P1 6P1         (2)0( 0.5)   770826.2*
   245     2    3S1 3P1 8P1         (4)2( 9.5)   772901.4*
   246     2    3S1 3P1 8P1         (2)1( 2.5)   772943.9*
   247     2    3S1 3P1 8P1         (4)1( 5.5)   773198.4*
   248     2    3S1 3P1 8P1         (4)0( 1.5)   773469.8*
   249     2    3S1 3P1 8P1         (2)2( 4.5)   773910.8*
   250     2    3S1 3P1 8P1         (2)0( 0.5)   774849.2*
   251     2    3S1 3P1 8D1         (4)2( 9.5)   779145.8*
   252     2    3S1 3P1 8D1         (2)2( 4.5)   779213.3*
   253     2    3S1 3P1 8D1         (4)3(13.5)   779447.9*
   254     2    3S1 3P1 8D1         (4)1( 5.5)   779798.2*
   255     2    3S1 3P1 8D1         (2)3( 6.5)   779943.0*
   256     2    3S1 3P1 8D1         (2)1( 2.5)   780257.4*
   257     2    3S1 3P1 8F1         (4)3(13.5)   781848.0*
   258     2    3S1 3P1 8F1         (2)3( 6.5)   781984.4*
