SEQ='MG'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 112194636.0   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   138954.8 
     3          3D1                 (2)2( 4.5)   333008.1*

   LS RESOLVED TERM INDEXING            BWNR= 113193148.8   NTRM= 243
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    15       1.17E-14  8.27E-15  5.25E-15  3.73E-15  2.67E-15  1.75E-15  1.31E-15  1.03E-15  8.30E-16  7.67E-16
             7.19E-16  5.96E-16  4.48E-16  2.93E-16  1.36E-16  6.62E-17  2.94E-17  9.00E-18  3.47E-18
    16       1.49E-13  1.05E-13  6.66E-14  4.72E-14  3.35E-14  2.14E-14  1.53E-14  1.11E-14  7.44E-15  5.60E-15
             4.27E-15  2.99E-15  2.24E-15  1.62E-15  9.64E-16  5.93E-16  3.35E-16  1.38E-16  6.49E-17
    17       1.68E-12  1.19E-12  7.55E-13  5.35E-13  3.80E-13  2.43E-13  1.76E-13  1.28E-13  8.74E-14  6.62E-14
             4.95E-14  3.14E-14  2.03E-14  1.19E-14  5.00E-15  2.33E-15  1.01E-15  3.01E-16  1.15E-16
    18       5.36E-13  3.79E-13  2.40E-13  1.70E-13  1.21E-13  7.76E-14  5.61E-14  4.11E-14  2.81E-14  2.14E-14
             1.61E-14  1.03E-14  6.67E-15  3.91E-15  1.65E-15  7.73E-16  3.34E-16  1.00E-16  3.82E-17
    19       4.59E-12  3.24E-12  2.05E-12  1.44E-12  1.02E-12  6.33E-13  4.37E-13  2.96E-13  1.67E-13  1.01E-13
             5.68E-14  2.33E-14  1.08E-14  4.68E-15  1.41E-15  5.38E-16  1.99E-16  5.22E-17  1.87E-17
    20       1.49E-12  1.05E-12  6.64E-13  4.68E-13  3.29E-13  2.05E-13  1.42E-13  9.63E-14  5.44E-14  3.30E-14
