SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113591722.5   NPRNTI= 4   NPRNTF=24
   ---------------------
   INDP         CODE                 S L   WI        WNP
   116     3    3S1 3P1 4D1         (2)2( 2.5)   569145.1 
   117     5    3S1 3P1 4P1         (2)1( 1.5)   569420.4 
   118     3    3S1 3P1 4D1         (4)3( 1.5)   569727.7 
   119     3    3S1 3P1 4D1         (4)3( 2.5)   570123.2 
   120     4    3S1 3P1 4D1         (4)3( 3.5)   570583.2 
   121     4    3S1 3P1 4D1         (4)3( 4.5)   571157.9 
   122  9999    3S1 3D2             (2)4( 3.5)   572254.7 
   123  9999    3S1 3D2             (2)4( 4.5)   572271.2 
   124  9999    3S1 3D2             (2)2( 2.5)   573092.0 
   125  9999    3S1 3D2             (2)2( 1.5)   573165.1 
   126     5    3S1 3P1 4P1         (2)0( 0.5)   573343.1 
   127     4    3S1 3P1 4D1         (4)1( 2.5)   574591.7 
   128     4    3S1 3P1 4D1         (4)1( 1.5)   575147.2 
   129     1    3S2 5F1             (2)3( 2.5)   575198.0 
   130     1    3S2 5F1             (2)3( 3.5)   575206.4 
   131     4    3S1 3P1 4D1         (4)1( 0.5)   575483.8 
   132     1    3S2 5G1             (1)*( 3.5)   576848.8 
   133     1    3S2 5G1             (1)*( 4.5)   576848.8 
   134     4    3S1 3P1 4D1         (2)3( 2.5)   577507.2 
   135     4    3S1 3P1 4D1         (2)3( 3.5)   578756.6 
   136     4    3S1 3P1 4D1         (2)1( 1.5)   581190.4 
   137     4    3S1 3P1 4D1         (2)1( 0.5)   581978.2 
   138     1    3S2 6S1             (2)0( 0.5)   590090.8 
   139     2    3S1 3P1 4F1         (4)3( 2.5)   593264.1 
   140     3    3S1 3P1 4F1         (4)3( 1.5)   593299.8 
   141     2    3S1 3P1 4F1         (4)3( 3.5)   593346.4 
   142     3    3S1 3P1 4F1         (4)3( 4.5)   593652.5 
   143     3    3S1 3P1 4F1         (2)3( 2.5)   593960.7 
   144     3    3S1 3P1 4F1         (2)3( 3.5)   594323.1 
   145     3    3S1 3P1 4F1         (4)4( 2.5)   595533.4 
   146     3    3S1 3P1 4F1         (4)4( 3.5)   595952.1 
   147     4    3S1 3P1 4F1         (4)4( 4.5)   596463.9 
   148     4    3S1 3P1 4F1         (4)4( 5.5)   597049.1 
   149     4    3S1 3P1 4F1         (4)2( 3.5)   600412.6 
   150     4    3S1 3P1 4F1         (4)2( 2.5)   600966.9 
   151     4    3S1 3P1 4F1         (4)2( 1.5)   601368.0 
   152     4    3S1 3P1 4F1         (4)2( 0.5)   601606.3 
   153     1    3S2 6P1             (2)1( 0.5)   601614.6 
   154     1    3S2 6P1             (2)1( 1.5)   601782.5 
   155  9999    3S1 3D2             (2)3( 2.5)   604037.5 
   156  9999    3S1 3D2             (2)3( 3.5)   604056.5 
   157     4    3S1 3P1 4F1         (2)4( 3.5)   604197.0 
   158     4    3S1 3P1 4F1         (2)4( 4.5)   605437.9 
   159     4    3S1 3P1 4F1         (2)2( 2.5)   606523.7 
   160     4    3S1 3P1 4F1         (2)2( 1.5)   607389.8 
   161  9999    3S1 3D2             (2)0( 0.5)   611949.7 
   162     6    3P2 4S1             (2)2( 2.5)   613607.7 
   163     6    3P2 4S1             (2)2( 1.5)   613710.3 
   164     7    3P2 4S1             (4)1( 0.5)   616414.0 
   165     8    3P2 4S1             (4)1( 1.5)   617287.8 
   166     1    3S2 6D1             (2)2( 1.5)   617703.0 
   167     1    3S2 6D1             (2)2( 2.5)   617718.5 
   168     9    3P2 4S1             (4)1( 2.5)   618805.8 
   169  9999    3S1 3D2             (2)1( 0.5)   620297.8 
   170  9999    3S1 3D2             (2)1( 1.5)   620505.3 
   171     2    3S1 3P1 5S1         (4)1( 0.5)   623089.9 
   172     3    3S1 3P1 5S1         (4)1( 1.5)   623838.6 
   173     1    3S2 6F1             (2)3( 2.5)   624483.5 
   174     1    3S2 6F1             (2)3( 3.5)   624488.4 
   175     4    3S1 3P1 5S1         (4)1( 2.5)   625237.4 
   176     1    3S2 6G1             (1)*( 3.5)   625559.4 
   177     1    3S2 6G1             (1)*( 4.5)   625559.4 
   178     1    3S2 6H1             (1)*( 4.5)   625842.8 
   179     1    3S2 6H1             (1)*( 5.5)   625842.8 
   180     8    3P2 4S1             (2)1( 0.5)   625959.2 
   181     9    3P2 4S1             (2)1( 1.5)   627659.7 
   182     3    3S1 3P1 5S1         (2)1( 0.5)   628743.8 
   183     5    3S1 3P1 4D1         (2)2( 1.5)   629482.1 
   184     5    3S1 3P1 4D1         (2)2( 2.5)   629556.8 
   185     4    3S1 3P1 5S1         (2)1( 1.5)   630315.4 
   186     5    3S1 3P1 4D1         (2)3( 3.5)   631760.8 
   187     5    3S1 3P1 4D1         (2)3( 2.5)   631774.6 
   188     1    3S2 7S1             (2)0( 0.5)   633402.1 
   189     5    3S1 3P1 4D1         (2)1( 0.5)   634775.2 
   190     5    3S1 3P1 4D1         (2)1( 1.5)   634844.9 
   191  9999    3P1 3D2             (4)4( 2.5)   635794.7 
   192  9999    3P1 3D2             (4)4( 3.5)   636284.7 
   193  9999    3P1 3D2             (4)4( 4.5)   636920.3 
   194  9999    3P1 3D2             (4)4( 5.5)   637707.0 
   195     1    3S2 7P1             (2)1( 0.5)   640265.6 
   196     1    3S2 7P1             (2)1( 1.5)   640366.5 
   197     2    3S1 3P1 5P1         (4)2( 0.5)   643421.1 
   198     2    3S1 3P1 5P1         (4)2( 1.5)   643932.5 
   199     3    3S1 3P1 5P1         (4)2( 2.5)   644709.9 
   200     3    3S1 3P1 5P1         (2)1( 0.5)   645080.8 
   201     3    3S1 3P1 5P1         (2)1( 1.5)   645375.2 
   202     4    3S1 3P1 5P1         (4)2( 3.5)   645891.1 
   203     3    3S1 3P1 5P1         (4)1( 0.5)   646458.2 
   204     3    3S1 3P1 5P1         (4)1( 1.5)   646811.8 
