SEQ='F '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 103785549.2   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    64193.9 
     3          2S2 2P4             (1)0( 0.0)   131593.9 
     4          2S1 2P5             (3)1( 4.0)   516230.0*
     5          2S1 2P5             (1)1( 1.0)   718771.6*
     6          2P6                 (1)0( 0.0)  1225436.6*

   LS RESOLVED TERM INDEXING            BWNR= 107642136.0   NTRM= 340
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   198     1    2S2 2P4 7F1         (2)4( 8.5)  3632327.0 
   199     1    2S2 2P4 7H1         (4)4(17.5)  3632395.6 
   200     1    2S2 2P4 7H1         (2)4( 8.5)  3632395.6 
   201     1    2S2 2P4 7H1         (4)5(21.5)  3632395.6 
   202     1    2S2 2P4 7H1         (2)5(10.5)  3632395.6 
   203     1    2S2 2P4 7H1         (4)6(25.5)  3632395.6 
   204     1    2S2 2P4 7H1         (2)6(12.5)  3632395.6 
   205     1    2S2 2P4 7F1         (4)2( 9.5)  3632422.3 
   206     1    2S2 2P4 7I1         (4)5(21.5)  3632495.1 
   207     1    2S2 2P4 7I1         (2)5(10.5)  3632495.1 
   208     1    2S2 2P4 7I1         (4)6(25.5)  3632495.1 
   209     1    2S2 2P4 7I1         (2)6(12.5)  3632495.1 
   210     1    2S2 2P4 7I1         (4)7(29.5)  3632495.1 
   211     1    2S2 2P4 7I1         (2)7(14.5)  3632495.1 
   212     1    2S2 2P4 7F1         (2)2( 4.5)  3632632.8 
   213     3    2S2 2P4 6S1         (2)0( 0.5)  3642165.5 
   214     3    2S2 2P4 6P1         (2)1( 2.5)  3657330.1 
   215     1    2S2 2P4 8S1         (4)1( 5.5)  3667975.2 
   216     1    2S2 2P4 8S1         (2)1( 2.5)  3668751.8 
   217     2    2S2 2P4 7S1         (2)2( 4.5)  3671304.1 
   218     1    2S2 2P4 8P1         (4)1( 5.5)  3673572.4 
   219     1    2S2 2P4 8P1         (4)2( 9.5)  3674082.1 
   220     1    2S2 2P4 8P1         (2)2( 4.5)  3674584.4 
   221     1    2S2 2P4 8P1         (2)0( 0.5)  3674846.8 
   222     1    2S2 2P4 8P1         (4)0( 1.5)  3674846.8 
   223     3    2S2 2P4 6D1         (2)2( 4.5)  3675260.4 
   224     1    2S2 2P4 8P1         (2)1( 2.5)  3676243.7 
   225     2    2S2 2P4 7P1         (2)3( 6.5)  3680123.6 
   226     1    2S2 2P4 8D1         (4)2( 9.5)  3680708.2 
   227     2    2S2 2P4 7P1         (2)2( 4.5)  3681037.6 
   228     2    2S2 2P4 7P1         (2)1( 2.5)  3681348.8 
   229     1    2S2 2P4 8D1         (4)3(13.5)  3681376.2 
   230     1    2S2 2P4 8D1         (4)1( 5.5)  3681747.3 
   231     1    2S2 2P4 8D1         (2)3( 6.5)  3681906.9 
   232     3    2S2 2P4 6G1         (2)4( 8.5)  3682623.3 
   233     3    2S2 2P4 6F1         (2)3( 6.5)  3682661.6 
   234     1    2S2 2P4 8D1         (2)1( 2.5)  3682925.8 
   235     3    2S2 2P4 6H1         (2)5(10.5)  3682977.6 
   236     1    2S2 2P4 8D1         (2)2( 4.5)  3683223.2 
   237     1    2S2 2P4 8F1         (4)3(13.5)  3684443.6 
   238     1    2S2 2P4 8F1         (2)3( 6.5)  3684710.7 
   239     1    2S2 2P4 8G1         (4)3(13.5)  3684813.7 
   240     1    2S2 2P4 8G1         (2)3( 6.5)  3684813.7 
   241     1    2S2 2P4 8G1         (4)4(17.5)  3684813.7 
   242     1    2S2 2P4 8G1         (2)4( 8.5)  3684813.7 
   243     1    2S2 2P4 8G1         (4)5(21.5)  3684813.7 
   244     1    2S2 2P4 8G1         (2)5(10.5)  3684813.7 
   245     1    2S2 2P4 8F1         (4)4(17.5)  3684827.6 
   246     1    2S2 2P4 8F1         (2)4( 8.5)  3684901.8 
   247     1    2S2 2P4 8F1         (4)2( 9.5)  3684962.0 
   248     1    2S2 2P4 8H1         (4)4(17.5)  3684963.1 
   249     1    2S2 2P4 8H1         (2)4( 8.5)  3684963.1 
   250     1    2S2 2P4 8H1         (4)5(21.5)  3684963.1 
   251     1    2S2 2P4 8H1         (2)5(10.5)  3684963.1 
   252     1    2S2 2P4 8H1         (4)6(25.5)  3684963.1 
   253     1    2S2 2P4 8H1         (2)6(12.5)  3684963.1 
   254     1    2S2 2P4 8I1         (4)5(21.5)  3685029.8 
