SEQ='BE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  76358438.3   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   262317.2 
     3          2P1                 (2)1( 1.5)   286598.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  83257501.5   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   162     3    2P1 5G1             (1)*( 5.0)  6197431.4 
   163     3    2P1 5G1             (1)*( 6.0)  6197431.4 
   164     3    2P1 5F1             (1)4( 4.0)  6198556.3 
   165     3    2P1 5F1             (3)2( 1.0)  6198766.5 
   166     3    2P1 5D1             (1)3( 3.0)  6199228.2 
   167     3    2P1 5D1             (1)1( 1.0)  6199577.8 
   168     3    2P1 5F1             (1)2( 2.0)  6199659.0 
   169     1    2S1 6P1             (3)1( 0.0)  6200478.5 
   170     1    2S1 6P1             (3)1( 1.0)  6200672.1 
   171     1    2S1 6P1             (3)1( 2.0)  6201283.4 
   172     1    2S1 6P1             (1)1( 1.0)  6202672.7 
   173     1    2S1 6D1             (3)2( 1.0)  6207981.1 
   174     1    2S1 6D1             (3)2( 2.0)  6208077.2 
   175     1    2S1 6D1             (3)2( 3.0)  6208232.2 
   176     1    2S1 6D1             (1)2( 2.0)  6211547.0 
   177     1    2S1 6F1             (3)3( 2.0)  6211991.1 
   178     1    2S1 6F1             (3)3( 3.0)  6212040.1 
   179     1    2S1 6F1             (3)3( 4.0)  6212113.6 
   180     1    2S1 6G1             (1)*( 3.0)  6212861.0 
   181     1    2S1 6G1             (1)*( 4.0)  6212861.0 
   182     1    2S1 6G1             (1)*( 4.0)  6212861.0 
   183     1    2S1 6G1             (1)*( 5.0)  6212861.0 
   184     1    2S1 6H1             (1)*( 4.0)  6213027.3 
   185     1    2S1 6H1             (1)*( 5.0)  6213027.3 
   186     1    2S1 6H1             (1)*( 5.0)  6213027.3 
   187     1    2S1 6H1             (1)*( 6.0)  6213027.3 
   188     1    2S1 6F1             (1)3( 3.0)  6213121.0 
   189     1    2S1 7S1             (3)0( 1.0)  6379780.8 
   190     1    2S1 7S1             (1)0( 0.0)  6382361.0 
   191     1    2S1 7P1             (3)1( 0.0)  6387186.2 
   192     1    2S1 7P1             (3)1( 1.0)  6387307.0 
   193     1    2S1 7P1             (3)1( 2.0)  6387691.9 
   194     1    2S1 7P1             (1)1( 1.0)  6388544.5 
   195     1    2S1 7D1             (3)2( 1.0)  6391883.7 
   196     1    2S1 7D1             (3)2( 2.0)  6391944.1 
   197     1    2S1 7D1             (3)2( 3.0)  6392041.7 
   198     1    2S1 7D1             (1)2( 2.0)  6394051.0 
   199     1    2S1 7F1             (3)3( 2.0)  6394355.3 
   200     1    2S1 7F1             (3)3( 3.0)  6394386.3 
   201     1    2S1 7F1             (3)3( 4.0)  6394432.5 
   202     1    2S1 7G1             (1)*( 3.0)  6394950.7 
   203     1    2S1 7G1             (1)*( 4.0)  6394950.7 
   204     1    2S1 7G1             (1)*( 4.0)  6394950.7 
   205     1    2S1 7G1             (1)*( 5.0)  6394950.7 
   206     1    2S1 7H1             (1)*( 4.0)  6395055.4 
   207     1    2S1 7H1             (1)*( 5.0)  6395055.4 
   208     1    2S1 7H1             (1)*( 5.0)  6395055.4 
   209     1    2S1 7H1             (1)*( 6.0)  6395055.4 
   210     1    2S1 7F1             (1)3( 3.0)  6395091.2 
   211     1    2S1 7I1             (1)*( 5.0)  6395102.2 
   212     1    2S1 7I1             (1)*( 6.0)  6395102.2 
   213     1    2S1 7I1             (1)*( 6.0)  6395102.2 
   214     1    2S1 7I1             (1)*( 7.0)  6395102.2 
   215     2    2P1 6S1             (3)1( 0.0)  6452904.5 
   216     2    2P1 6S1             (3)1( 1.0)  6453512.0 
