SEQ='C '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  89332695.2   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   160    11    2P3 3P1             (3)1( 1.0)  4005498.0 
   161    11    2P3 3P1             (3)1( 2.0)  4005851.5 
   162    11    2P3 3P1             (3)1( 0.0)  4007132.7 
   163    10    2S1 2P2 3D1         (1)2( 2.0)  4017249.9 
   164    12    2P3 3P1             (3)2( 1.0)  4067436.2 
   165    14    2P3 3S1             (3)1( 0.0)  4071642.4 
   166    14    2P3 3S1             (3)1( 1.0)  4072921.6 
   167    12    2P3 3P1             (3)2( 2.0)  4073003.2 
   168    12    2P3 3P1             (3)2( 3.0)  4075898.2 
   169    15    2P3 3S1             (3)1( 2.0)  4076024.3 
   170    12    2P3 3P1             (1)1( 1.0)  4078068.4 
   171    13    2P3 3P1             (3)3( 3.0)  4082409.1 
   172    15    2P3 3S1             (1)1( 1.0)  4094346.2 
   173    12    2P3 3P1             (3)1( 0.0)  4139594.6 
   174    11    2P3 3D1             (3)2( 2.0)  4139916.1 
   175    11    2P3 3D1             (3)2( 1.0)  4140920.9 
   176    11    2P3 3D1             (3)2( 3.0)  4141404.5 
   177    13    2P3 3P1             (3)1( 1.0)  4141856.9 
   178    13    2P3 3P1             (3)1( 2.0)  4147422.3 
   179    13    2P3 3P1             (1)2( 2.0)  4165864.2 
   180    14    2P3 3P1             (3)0( 1.0)  4174837.0 
   181    14    2P3 3P1             (3)2( 1.0)  4175801.6 
   182    14    2P3 3P1             (3)2( 2.0)  4180309.6 
   183    15    2P3 3P1             (3)2( 3.0)  4182686.4 
   184    15    2P3 3P1             (1)1( 1.0)  4190108.5 
   185    12    2P3 3D1             (3)3( 2.0)  4196337.4 
   186    12    2P3 3D1             (3)3( 3.0)  4199027.2 
   187    12    2P3 3D1             (3)3( 4.0)  4202311.7 
   188    15    2P3 3P1             (3)1( 2.0)  4214146.1 
   189    15    2P3 3P1             (3)1( 1.0)  4218478.4 
   190    14    2P3 3P1             (3)1( 0.0)  4220149.6 
   191    12    2P3 3D1             (1)1( 1.0)  4223256.7 
   192     1    2S2 2P1 4S1         (3)1( 0.0)  4229383.7 
   193     1    2S2 2P1 4S1         (3)1( 1.0)  4231193.4 
   194    12    2P3 3D1             (3)2( 1.0)  4233485.5 
   195    12    2P3 3D1             (3)2( 2.0)  4234888.9 
   196    13    2P3 3D1             (3)2( 3.0)  4237269.8 
   197    15    2P3 3P1             (1)2( 2.0)  4241271.2 
   198    13    2P3 3D1             (3)1( 2.0)  4242310.4 
   199    13    2P3 3D1             (3)1( 0.0)  4244569.2 
   200    13    2P3 3D1             (3)1( 1.0)  4244610.2 
   201     2    2S2 2P1 4S1         (3)1( 2.0)  4250538.6 
   202    13    2P3 3D1             (1)2( 2.0)  4254028.7 
   203     2    2S2 2P1 4S1         (1)1( 1.0)  4255407.3 
   204     1    2S2 2P1 4P1         (3)2( 1.0)  4274325.0 
   205    13    2P3 3D1             (1)3( 3.0)  4281535.5 
   206     1    2S2 2P1 4P1         (3)2( 2.0)  4282607.9 
   207     1    2S2 2P1 4P1         (3)0( 1.0)  4282672.5 
   208     1    2S2 2P1 4P1         (3)1( 0.0)  4291409.4 
   209     2    2S2 2P1 4P1         (3)2( 3.0)  4298416.1 
   210     2    2S2 2P1 4P1         (1)1( 1.0)  4298589.5 
   211     2    2S2 2P1 4P1         (3)1( 1.0)  4305262.1 
   212     2    2S2 2P1 4P1         (3)1( 2.0)  4306648.8 
   213    14    2P3 3D1             (3)3( 2.0)  4307587.2 
   214    14    2P3 3D1             (3)3( 3.0)  4308591.4 
   215    15    2P3 3D1             (3)3( 4.0)  4308869.4 
   216    15    2P3 3D1             (3)1( 0.0)  4313524.3 
   217    14    2P3 3D1             (3)1( 1.0)  4314849.7 
   218    15    2P3 3P1             (1)0( 0.0)  4315466.1 
   219     2    2S2 2P1 4P1         (1)2( 2.0)  4315922.8 
   220     1    2S2 2P1 4D1         (3)3( 2.0)  4324394.7 
   221     2    2S2 2P1 4P1         (1)0( 0.0)  4329966.9 
   222    15    2P3 3D1             (3)2( 2.0)  4329996.2 
   223     1    2S2 2P1 4D1         (3)3( 3.0)  4330865.2 
   224     1    2S2 2P1 4D1         (3)2( 2.0)  4331922.9 
   225    15    2P3 3D1             (3)2( 3.0)  4333364.5 
   226    15    2P3 3D1             (3)2( 1.0)  4335410.1 
   227     1    2S2 2P1 4D1         (3)2( 1.0)  4336704.5 
   228    15    2P3 3D1             (1)2( 2.0)  4340330.1 
   229     2    2S2 2P1 4D1         (3)3( 4.0)  4345907.4 
   230     2    2S2 2P1 4D1         (1)2( 2.0)  4347775.9 
   231     2    2S2 2P1 4D1         (3)2( 3.0)  4352164.5 
