SEQ='C '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  88960077.4   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   199     1    2S2 2P1 6D1         (3)3(10.0)  4983328.5 
   200     1    2S2 2P1 6D1         (3)2( 7.0)  4985631.8 
   201     1    2S2 2P1 6D1         (3)1( 4.0)  4986100.9 
   202     1    2S2 2P1 6D1         (1)1( 1.0)  4989989.3 
   203     1    2S2 2P1 6D1         (1)3( 3.0)  4990087.8 
   204     1    2S2 2P1 6F1         (1)3( 3.0)  4991006.2 
   205     1    2S2 2P1 6F1         (3)3(10.0)  4991228.8 
   206     1    2S2 2P1 6F1         (3)4(13.0)  4992145.5 
   207     1    2S2 2P1 6G1         (3)3(10.0)  4992662.8 
   208     1    2S2 2P1 6G1         (1)3( 3.0)  4992662.8 
   209     1    2S2 2P1 6G1         (3)4(13.0)  4992662.8 
   210     1    2S2 2P1 6G1         (1)4( 4.0)  4992662.8 
   211     1    2S2 2P1 6G1         (3)5(16.0)  4992662.8 
   212     1    2S2 2P1 6G1         (1)5( 5.0)  4992662.8 
   213     1    2S2 2P1 6F1         (3)2( 7.0)  4992933.7 
   214     1    2S2 2P1 6H1         (3)4(13.0)  4992934.4 
   215     1    2S2 2P1 6H1         (1)4( 4.0)  4992934.4 
   216     1    2S2 2P1 6H1         (3)5(16.0)  4992934.4 
   217     1    2S2 2P1 6H1         (1)5( 5.0)  4992934.4 
   218     1    2S2 2P1 6H1         (3)6(19.0)  4992934.4 
   219     1    2S2 2P1 6H1         (1)6( 6.0)  4992934.4 
   220     1    2S2 2P1 6F1         (1)4( 4.0)  4993217.7 
   221     1    2S2 2P1 6F1         (1)2( 2.0)  4993538.9 
   222     6    2P3 4D1             (3)2( 7.0)  5003135.1 
   223     7    2P3 4P1             (1)1( 1.0)  5042782.0 
   224     7    2P3 4P1             (1)2( 2.0)  5076378.4 
   225     7    2P3 4D1             (3)3(10.0)  5087835.6 
   226     7    2P3 4D1             (1)1( 1.0)  5097309.7 
   227     8    2P3 4S1             (3)1( 4.0)  5098103.7 
   228     8    2P3 4S1             (1)1( 1.0)  5104782.1 
   229     1    2S2 2P1 7S1         (3)1( 4.0)  5107697.3 
   230     1    2S2 2P1 7S1         (1)1( 1.0)  5108727.3 
   231     7    2P3 4D1             (1)2( 2.0)  5111629.5 
   232     3    2S1 2P2 5P1         (3)2( 7.0)  5112729.0 
   233     1    2S2 2P1 7P1         (1)1( 1.0)  5115191.7 
   234     1    2S2 2P1 7P1         (3)2( 7.0)  5115792.3 
   235     3    2S1 2P2 5P1         (3)1( 4.0)  5116177.3 
   236     1    2S2 2P1 7P1         (3)0( 1.0)  5116693.1 
   237     1    2S2 2P1 7P1         (3)1( 4.0)  5117488.3 
   238     7    2P3 4D1             (1)3( 3.0)  5118341.5 
   239     1    2S2 2P1 7P1         (1)2( 2.0)  5118992.2 
   240     1    2S2 2P1 7P1         (1)0( 0.0)  5121356.5 
   241     1    2S2 2P1 7D1         (1)2( 2.0)  5123623.0 
   242     1    2S2 2P1 7D1         (3)3(10.0)  5123700.1 
   243     1    2S2 2P1 7D1         (3)2( 7.0)  5125114.1 
   244     1    2S2 2P1 7D1         (3)1( 4.0)  5125399.6 
   245     1    2S2 2P1 7D1         (1)1( 1.0)  5127796.5 
   246     1    2S2 2P1 7D1         (1)3( 3.0)  5127853.3 
   247     1    2S2 2P1 7F1         (1)3( 3.0)  5128464.4 
   248     1    2S2 2P1 7F1         (3)3(10.0)  5128611.6 
   249     1    2S2 2P1 7F1         (3)4(13.0)  5129155.7 
   250     1    2S2 2P1 7G1         (3)3(10.0)  5129544.5 
   251     1    2S2 2P1 7G1         (1)3( 3.0)  5129544.5 
   252     1    2S2 2P1 7G1         (3)4(13.0)  5129544.5 
   253     1    2S2 2P1 7G1         (1)4( 4.0)  5129544.5 
   254     1    2S2 2P1 7G1         (3)5(16.0)  5129544.5 
   255     1    2S2 2P1 7G1         (1)5( 5.0)  5129544.5 
   256     1    2S2 2P1 7F1         (3)2( 7.0)  5129655.0 
   257     1    2S2 2P1 7H1         (3)4(13.0)  5129715.5 
   258     1    2S2 2P1 7H1         (1)4( 4.0)  5129715.5 
   259     1    2S2 2P1 7H1         (3)5(16.0)  5129715.5 
   260     1    2S2 2P1 7H1         (1)5( 5.0)  5129715.5 
   261     1    2S2 2P1 7H1         (3)6(19.0)  5129715.5 
   262     1    2S2 2P1 7H1         (1)6( 6.0)  5129715.5 
   263     1    2S2 2P1 7I1         (3)5(16.0)  5129791.9 
   264     1    2S2 2P1 7I1         (1)5( 5.0)  5129791.9 
   265     1    2S2 2P1 7I1         (3)6(19.0)  5129791.9 
   266     1    2S2 2P1 7I1         (1)6( 6.0)  5129791.9 
   267     1    2S2 2P1 7I1         (3)7(22.0)  5129791.9 
   268     1    2S2 2P1 7I1         (1)7( 7.0)  5129791.9 
   269     1    2S2 2P1 7F1         (1)4( 4.0)  5129865.3 
   270     1    2S2 2P1 7F1         (1)2( 2.0)  5130056.3 
   271     3    2S1 2P2 5D1         (3)3(10.0)  5133533.7 
   272     3    2S1 2P2 5D1         (3)2( 7.0)  5135914.2 
   273     3    2S1 2P2 5D1         (3)1( 4.0)  5139034.8 
   274     8    2P3 4P1             (1)1( 1.0)  5142956.4 
   275     3    2S1 2P2 5F1         (3)4(13.0)  5145116.6 
   276     3    2S1 2P2 5F1         (3)2( 7.0)  5148057.6 
   277     2    2S1 2P2 6S1         (5)1( 7.0)  5163033.0 
   278     2    2S1 2P2 6S1         (3)1( 4.0)  5167802.6 
   279     2    2S1 2P2 6P1         (5)2(12.0)  5176230.3 
   280     2    2S1 2P2 6P1         (3)0( 1.0)  5176233.4 
   281     2    2S1 2P2 6P1         (5)1( 7.0)  5177253.3 
   282     2    2S1 2P2 6P1         (5)0( 2.0)  5180483.8 
   283     2    2S1 2P2 6P1         (3)2( 7.0)  5181125.7 
   284     2    2S1 2P2 6P1         (3)1( 4.0)  5183117.9 
   285     8    2P3 4P1             (1)0( 0.0)  5184158.0 
   286     2    2S1 2P2 6D1         (5)3(17.0)  5188231.9 
   287     2    2S1 2P2 6D1         (5)2(12.0)  5189633.4 
   288     2    2S1 2P2 6D1         (5)1( 7.0)  5191569.1 
   289     8    2P3 4D1             (1)2( 2.0)  5192307.0 
   290     2    2S1 2P2 6D1         (3)1( 4.0)  5192310.8 
   291     2    2S1 2P2 6D1         (3)3(10.0)  5195126.9 
   292     2    2S1 2P2 6F1         (5)2(12.0)  5197070.5 
   293     2    2S1 2P2 6F1         (5)4(22.0)  5197088.9 
   294     2    2S1 2P2 6F1         (3)2( 7.0)  5197584.2 
   295     2    2S1 2P2 6D1         (3)2( 7.0)  5197848.6 
   296     2    2S1 2P2 6F1         (3)4(13.0)  5198329.2 
   297     2    2S1 2P2 6G1         (5)3(17.0)  5198385.8 
   298     2    2S1 2P2 6G1         (3)3(10.0)  5198385.8 
   299     2    2S1 2P2 6G1         (5)4(22.0)  5198385.8 
   300     2    2S1 2P2 6G1         (3)4(13.0)  5198385.8 
