SEQ='N '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94851161.9   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   129     8    2S1 2P3 3D1         (4)2( 2.5)  3578203.5 
   130     8    2S1 2P3 3D1         (4)2( 3.5)  3579312.3 
   131    15    2S1 2P3 3S1         (2)1( 1.5)  3580449.8 
   132     7    2S1 2P3 3D1         (2)0( 0.5)  3584081.4 
   133     9    2S1 2P3 3D1         (2)4( 3.5)  3588042.4 
   134     8    2S1 2P3 3D1         (4)1( 2.5)  3590275.7 
   135     8    2S1 2P3 3D1         (4)1( 1.5)  3592834.9 
   136     8    2S1 2P3 3D1         (4)1( 0.5)  3593765.7 
   137     8    2S1 2P3 3D1         (2)1( 1.5)  3598801.7 
   138     9    2S1 2P3 3D1         (2)1( 0.5)  3602432.8 
   139     9    2S1 2P3 3D1         (4)0( 1.5)  3605185.5 
   140     9    2S1 2P3 3D1         (2)2( 2.5)  3610086.9 
   141     9    2S1 2P3 3D1         (2)2( 1.5)  3618611.4 
   142    13    2S1 2P3 3P1         (2)1( 1.5)  3621207.5 
   143    13    2S1 2P3 3P1         (2)1( 0.5)  3621572.7 
   144    13    2S1 2P3 3P1         (2)3( 2.5)  3627627.8 
   145    14    2S1 2P3 3P1         (4)1( 0.5)  3628345.8 
   146     9    2S1 2P3 3D1         (2)3( 3.5)  3628925.9 
   147    13    2S1 2P3 3P1         (4)1( 2.5)  3628963.1 
   148    13    2S1 2P3 3P1         (4)1( 1.5)  3629051.5 
   149     9    2S1 2P3 3D1         (2)3( 2.5)  3629829.9 
   150    12    2S1 2P3 3D1         (4)3( 4.5)  3634388.2 
   151    11    2S1 2P3 3D1         (4)3( 3.5)  3635403.2 
   152    10    2S1 2P3 3D1         (4)3( 1.5)  3635882.4 
   153    10    2S1 2P3 3D1         (4)3( 2.5)  3635882.8 
   154    11    2S1 2P3 3D1         (4)1( 0.5)  3637834.1 
   155    11    2S1 2P3 3D1         (4)1( 1.5)  3639813.3 
   156    11    2S1 2P3 3D1         (4)1( 2.5)  3641917.3 
   157    12    2S1 2P3 3D1         (4)2( 0.5)  3653963.1 
   158    11    2S1 2P3 3D1         (4)2( 1.5)  3654009.8 
   159    11    2S1 2P3 3D1         (4)2( 2.5)  3654332.1 
   160    12    2S1 2P3 3D1         (4)2( 3.5)  3654384.4 
   161    14    2S1 2P3 3P1         (2)2( 2.5)  3660517.7 
   162    12    2S1 2P3 3D1         (2)2( 1.5)  3668381.3 
   163    12    2S1 2P3 3D1         (2)2( 2.5)  3678902.6 
   164    12    2S1 2P3 3D1         (2)3( 3.5)  3681290.6 
   165    14    2S1 2P3 3P1         (2)1( 0.5)  3692217.7 
   166    14    2S1 2P3 3P1         (2)1( 1.5)  3697420.3 
   167    12    2S1 2P3 3D1         (2)1( 0.5)  3708010.0 
   168    15    2S1 2P3 3P1         (2)2( 2.5)  3709144.5 
   169    12    2S1 2P3 3D1         (2)1( 1.5)  3713686.6 
   170    15    2S1 2P3 3P1         (2)0( 0.5)  3737407.2 
   171    13    2S1 2P3 3D1         (2)2( 1.5)  3779455.2 
   172    13    2S1 2P3 3D1         (4)2( 2.5)  3779913.5 
   173    13    2S1 2P3 3D1         (4)2( 3.5)  3781498.0 
   174    13    2S1 2P3 3D1         (4)2( 0.5)  3781789.5 
   175    13    2S1 2P3 3D1         (4)2( 1.5)  3783633.3 
   176    13    2S1 2P3 3D1         (2)2( 2.5)  3785329.4 
   177    14    2S1 2P3 3D1         (2)3( 3.5)  3797421.7 
   178    16    2P4 3S1             (4)1( 2.5)  3839636.7 
   179     1    2S2 2P2 4S1         (4)1( 0.5)  3847289.0 
   180    16    2P4 3S1             (4)1( 1.5)  3850222.1 
   181     2    2S2 2P2 4S1         (4)1( 1.5)  3855675.3 
   182    17    2P4 3S1             (4)1( 0.5)  3857210.3 
   183     2    2S2 2P2 4S1         (2)1( 0.5)  3862419.2 
   184     3    2S2 2P2 4S1         (4)1( 2.5)  3866821.1 
   185    17    2P4 3S1             (2)1( 1.5)  3871542.6 
   186     3    2S2 2P2 4S1         (2)1( 1.5)  3875107.9 
   187    18    2P4 3S1             (2)1( 0.5)  3884271.0 
   188     1    2S2 2P2 4P1         (4)2( 0.5)  3896541.5 
   189     1    2S2 2P2 4P1         (4)2( 1.5)  3900846.4 
   190     2    2S2 2P2 4P1         (2)0( 0.5)  3903319.8 
   191     2    2S2 2P2 4P1         (4)2( 2.5)  3907998.2 
   192     2    2S2 2P2 4P1         (4)1( 1.5)  3911076.2 
   193     2    2S2 2P2 4P1         (4)1( 0.5)  3911699.6 
   194     3    2S2 2P2 4P1         (4)2( 3.5)  3918216.2 
   195     2    2S2 2P2 4P1         (2)2( 1.5)  3918828.3 
   196     3    2S2 2P2 4P1         (4)1( 2.5)  3919204.1 
   197    19    2P4 3S1             (2)2( 2.5)  3926102.7 
   198    19    2P4 3S1             (2)2( 1.5)  3926538.9 
   199     3    2S2 2P2 4P1         (4)0( 1.5)  3930377.2 
   200     3    2S2 2P2 4P1         (2)2( 2.5)  3931756.8 
   201     3    2S2 2P2 4P1         (2)1( 0.5)  3933286.5 
   202     4    2S2 2P2 4S1         (2)2( 2.5)  3934121.3 
   203     4    2S2 2P2 4S1         (2)2( 1.5)  3934305.3 
   204     3    2S2 2P2 4P1         (2)1( 1.5)  3935088.4 
   205     1    2S2 2P2 4D1         (4)3( 1.5)  3954821.8 
   206     1    2S2 2P2 4D1         (4)3( 2.5)  3957658.9 
   207    16    2P4 3P1             (4)2( 3.5)  3962895.8 
   208     2    2S2 2P2 4D1         (4)3( 3.5)  3964150.0 
   209     2    2S2 2P2 4D1         (4)2( 1.5)  3965467.2 
   210     2    2S2 2P2 4D1         (4)2( 0.5)  3966226.7 
   211    16    2P4 3P1             (4)2( 2.5)  3967877.5 
   212     2    2S2 2P2 4D1         (4)2( 2.5)  3968160.0 
   213     2    2S2 2P2 4D1         (2)1( 1.5)  3971752.0 
   214     3    2S2 2P2 4D1         (4)3( 4.5)  3973634.9 
   215    16    2P4 3P1             (4)2( 1.5)  3973968.2 
   216     3    2S2 2P2 4D1         (4)2( 3.5)  3976148.2 
   217    17    2P4 3P1             (4)2( 0.5)  3976319.0 
   218     2    2S2 2P2 4D1         (2)3( 2.5)  3976350.0 
   219     3    2S2 2P2 4D1         (4)1( 2.5)  3980507.1 
   220     3    2S2 2P2 4D1         (2)1( 0.5)  3980901.6 
   221     3    2S2 2P2 4D1         (4)1( 1.5)  3982791.2 
   222    17    2P4 3P1             (2)2( 2.5)  3983236.4 
   223    17    2P4 3P1             (2)1( 0.5)  3983494.6 
   224     3    2S2 2P2 4D1         (4)1( 0.5)  3984053.1 
   225     4    2S2 2P2 4P1         (2)3( 2.5)  3985277.7 
   226     4    2S2 2P2 4P1         (2)3( 3.5)  3986622.0 
   227     1    2S2 2P2 4F1         (4)4( 2.5)  3987073.9 
   228     1    2S2 2P2 4F1         (4)4( 3.5)  3987617.8 
   229     3    2S2 2P2 4D1         (2)3( 3.5)  3989423.8 
   230    17    2P4 3P1             (2)2( 1.5)  3990707.8 
   231     4    2S2 2P2 4P1         (2)2( 2.5)  3992330.0 
   232     4    2S2 2P2 4P1         (2)2( 1.5)  3992521.8 
   233     3    2S2 2P2 4D1         (2)2( 1.5)  3994685.5 
   234     2    2S2 2P2 4F1         (2)2( 2.5)  3994859.5 
   235    17    2P4 3P1             (4)0( 1.5)  3995075.6 
