MO+41        42        42     192696740.0
    1 11                (2)0( 0.5)             0.0
    2 12                (2)0( 0.5)     148309100.0
    3 13                (2)1( 0.5)     148318340.0
    4 13                (2)1( 1.5)     149489480.0
    5 14                (2)0( 0.5)     176141700.0
    6 15                (2)1( 0.5)     176143640.0
    7 15                (2)1( 1.5)     176492030.0
    8 16                (2)2( 1.5)     176495300.0
    9 16                (2)2( 2.5)     176604800.0
   10 17                (2)0( 0.5)     185835200.0
   11 18                (2)1( 0.5)     185835910.0
   12 18                (2)1( 1.5)     185982745.0
   13 19                (2)2( 1.5)     185984120.0
   14 19                (2)2( 2.5)     186030420.0
  11   7 1.30+10 3.14-03 3.16-03 3.18-03 3.23-03 3.38-03 3.60-03 3.91-03 4.40-03 4.73-03 5.00-03 5.26-03 5.39-03 5.49-03 5.50-03
  12   7 7.05+09 3.66-02 3.66-02 3.68-02 3.72-02 3.85-02 4.03-02 4.28-02 4.66-02 4.92-02 5.13-02 5.32-02 5.42-02 5.49-02 5.50-02
  13   7 3.53+12 4.70-03 4.74-03 4.81-03 4.99-03 5.62-03 6.73-03 8.76-03 1.32-02 1.79-02 2.36-02 3.21-02 3.91-02 4.64-02 4.74-02
  14   7 2.15+13 4.20-02 4.24-02 4.30-02 4.46-02 5.02-02 6.02-02 7.84-02 1.18-01 1.61-01 2.12-01 2.88-01 3.51-01 4.17-01 4.26-01
   9   8 1.42+04 1.87-03 2.99-03 4.32-03 5.88-03 7.78-03 8.89-03 9.73-03 1.06-02 1.12-02 1.17-02 1.23-02 1.28-02 1.33-02 1.34-02
  10   8 2.56+09 9.28-04 9.30-04 9.34-04 9.42-04 9.69-04 1.01-03 1.07-03 1.16-03 1.22-03 1.27-03 1.32-03 1.34-03 1.35-03 1.35-03
  11   8 1.28+12 2.89-03 2.89-03 2.89-03 2.91-03 2.95-03 3.05-03 3.28-03 3.89-03 4.61-03 5.54-03 7.02-03 8.27-03 9.60-03 9.78-03
  12   8 1.34+11 5.77-04 5.77-04 5.78-04 5.80-04 5.89-04 6.08-04 6.53-04 7.71-04 9.13-04 1.10-03 1.39-03 1.64-03 1.91-03 1.95-03
  13   8 4.72+09 3.34-02 3.34-02 3.36-02 3.39-02 3.48-02 3.60-02 3.78-02 4.04-02 4.22-02 4.37-02 4.50-02 4.56-02 4.61-02 4.62-02
  14   8 1.38+09 1.25-03 1.26-03 1.26-03 1.28-03 1.33-03 1.40-03 1.50-03 1.64-03 1.75-03 1.83-03 1.90-03 1.94-03 1.97-03 1.98-03
  10   9 3.63+09 1.40-03 1.40-03 1.41-03 1.42-03 1.46-03 1.52-03 1.61-03 1.74-03 1.83-03 1.91-03 1.98-03 2.01-03 2.04-03 2.04-03
  12   9 1.17+12 5.20-03 5.20-03 5.21-03 5.23-03 5.31-03 5.49-03 5.90-03 6.98-03 8.27-03 9.95-03 1.26-02 1.49-02 1.72-02 1.76-02
  13   9 1.91+09 1.26-03 1.27-03 1.27-03 1.29-03 1.34-03 1.41-03 1.51-03 1.65-03 1.75-03 1.83-03 1.91-03 1.95-03 1.98-03 1.98-03
  14   9 5.22+09 5.08-02 5.09-02 5.11-02 5.16-02 5.29-02 5.49-02 5.76-02 6.15-02 6.43-02 6.65-02 6.84-02 6.94-02 7.02-02 7.03-02
