SEQ='AL'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 143750963.6   NPRNTI= 2   NPRNTF=14
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
   114     2    3S1 3P1 5P1         (2)0( 0.5)   994200.8 
   115     6    3P2 4P1             (2)1( 2.5)  1006827.7 
   116     1    3S2 7S1             (2)0( 0.5)  1012284.9 
   117     2    3S1 3P1 5D1         (4)2( 9.5)  1020377.9 
   118     2    3S1 3P1 5D1         (2)2( 4.5)  1020743.8 
   119     4    3P2 4D1             (2)3( 6.5)  1021822.5 
   120     1    3S2 7P1             (2)1( 2.5)  1021929.0 
   121     2    3S1 3P1 5D1         (4)3(13.5)  1022475.6 
   122     7    3S1 3D1 4P1         (2)2( 4.5)  1023749.7 
   123     4    3P2 4D1             (2)2( 4.5)  1024558.2 
   124     2    3S1 3P1 5D1         (4)1( 5.5)  1024781.2 
   125     2    3S1 3P1 5D1         (2)3( 6.5)  1025506.6 
   126     8    3S1 3D1 4S1         (2)2( 4.5)  1025689.4 
   127     3    3S1 3P1 5S1         (2)1( 2.5)  1025741.9 
   128     2    3S1 3P1 5D1         (2)1( 2.5)  1027590.6 
   129     4    3P2 4D1             (2)1( 2.5)  1027925.3 
   130     4    3P2 4D1             (2)4( 8.5)  1028291.5 
   131     1    3S2 7D1             (2)2( 4.5)  1035129.2 
   132     5    3P2 4D1             (2)1( 2.5)  1035340.2 
   133     7    3S1 3D1 4P1         (2)3( 6.5)  1035894.0 
   134     5    3P2 4D1             (2)3( 6.5)  1036676.7 
   135     4    3P2 4D1             (2)0( 0.5)  1037641.6 
   136     2    3S1 3P1 5F1         (4)3(13.5)  1038801.7 
   137     2    3S1 3P1 5F1         (2)3( 6.5)  1039659.2 
   138     2    3S1 3P1 5F1         (4)4(17.5)  1039874.2 
   139     7    3S1 3D1 4P1         (2)1( 2.5)  1040299.8 
   140     1    3S2 7F1             (2)3( 6.5)  1041604.7 
   141     2    3S1 3P1 5F1         (4)2( 9.5)  1042967.5 
   142     1    3S2 7G1             (2)4( 8.5)  1043075.1 
   143     1    3S2 7H1             (2)5(10.5)  1043343.4 
   144     1    3S2 7I1             (2)6(12.5)  1043463.1 
   145     5    3P2 4D1             (2)2( 4.5)  1044658.5 
   146     2    3S1 3P1 5G1         (4)3(13.5)  1045537.6 
   147     2    3S1 3P1 5G1         (2)3( 6.5)  1045537.6 
   148     2    3S1 3P1 5G1         (4)4(17.5)  1045537.6 
   149     2    3S1 3P1 5G1         (2)4( 8.5)  1045537.6 
   150     2    3S1 3P1 5G1         (4)5(21.5)  1045537.6 
   151     2    3S1 3P1 5G1         (2)5(10.5)  1045537.6 
   152     2    3S1 3P1 5F1         (2)4( 8.5)  1046718.6 
   153     2    3S1 3P1 5F1         (2)2( 4.5)  1047872.6 
   154     3    3S1 3P1 5P1         (2)2( 4.5)  1053919.0 
   155     3    3S1 3P1 5P1         (2)1( 2.5)  1054256.2 
   156     1    3S2 8S1             (2)0( 0.5)  1056694.6 
   157     3    3S1 3P1 5P1         (2)0( 0.5)  1057500.3 
   158     4    3P2 4F1             (2)4( 8.5)  1059474.9 
   159     1    3S2 8P1             (2)1( 2.5)  1062945.3 
   160     4    3P2 4F1             (2)3( 6.5)  1062960.1 
   161     4    3P2 4F1             (2)2( 4.5)  1067028.9 
   162     4    3P2 4F1             (2)5(10.5)  1068135.7 
   163     1    3S2 8D1             (2)2( 4.5)  1071566.5 
   164     5    3P2 4F1             (2)2( 4.5)  1074823.2 
   165     1    3S2 8F1             (2)3( 6.5)  1075843.3 
   166     1    3S2 8G1             (2)4( 8.5)  1076851.0 
   167     1    3S2 8H1             (2)5(10.5)  1077030.7 
   168     1    3S2 8I1             (2)6(12.5)  1077110.8 
   169     1    3S2 8J1             (2)7(14.5)  1077151.7 
   170     4    3P2 4F1             (2)1( 2.5)  1079305.6 
   171     5    3P2 4F1             (2)4( 8.5)  1079706.2 
   172     2    3S1 3P1 6S1         (4)1( 5.5)  1080757.8 
   173     2    3S1 3P1 6S1         (2)1( 2.5)  1083939.8 
   174     8    3S1 3D1 4P1         (2)2( 4.5)  1084477.9 
   175     8    3S1 3D1 4P1         (2)3( 6.5)  1086632.3 
   176     5    3P2 4F1             (2)3( 6.5)  1089268.2 
   177     6    3P2 4D1             (2)2( 4.5)  1092045.7 
   178     3    3S1 3P1 5D1         (2)2( 4.5)  1092516.6 
   179     8    3S1 3D1 4P1         (2)1( 2.5)  1092848.9 
   180     3    3S1 3P1 5D1         (2)3( 6.5)  1094443.4 
