SEQ='BE'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94355335.6   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   288366.5 

   LS RESOLVED TERM INDEXING            BWNR= 103074250.9   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   134     2    2P1 6G1             (3)4(13.0)  8125940.0 
   135     2    2P1 6G1             (1)4( 4.0)  8125940.0 
   136     2    2P1 6G1             (3)5(16.0)  8125940.0 
   137     2    2P1 6G1             (1)5( 5.0)  8125940.0 
   138     2    2P1 6H1             (3)4(13.0)  8126131.0 
   139     2    2P1 6H1             (1)4( 4.0)  8126131.0 
   140     2    2P1 6H1             (3)5(16.0)  8126131.0 
   141     2    2P1 6H1             (1)5( 5.0)  8126131.0 
   142     2    2P1 6H1             (3)6(19.0)  8126131.0 
   143     2    2P1 6H1             (1)6( 6.0)  8126131.0 
   144     2    2P1 6F1             (3)2( 7.0)  8126986.6 
   145     2    2P1 6F1             (1)4( 4.0)  8127593.5 
   146     2    2P1 6F1             (1)2( 2.0)  8128019.6 
   147     2    2P1 6D1             (1)1( 1.0)  8128906.9 
   148     2    2P1 6D1             (1)3( 3.0)  8129141.4 
   149     1    2S1 8S1             (3)0( 1.0)  8212431.2 
   150     1    2S1 8S1             (1)0( 0.0)  8214330.2 
   151     1    2S1 8P1             (3)1( 4.0)  8217957.5 
   152     1    2S1 8P1             (1)1( 1.0)  8218689.5 
   153     1    2S1 8D1             (3)2( 7.0)  8221138.3 
   154     1    2S1 8D1             (1)2( 2.0)  8222666.0 
   155     1    2S1 8F1             (3)3(10.0)  8222884.4 
   156     1    2S1 8G1             (3)4(13.0)  8223216.0 
   157     1    2S1 8G1             (1)4( 4.0)  8223216.0 
   158     1    2S1 8H1             (3)5(16.0)  8223296.6 
   159     1    2S1 8H1             (1)5( 5.0)  8223296.6 
   160     1    2S1 8I1             (3)6(19.0)  8223332.6 
   161     1    2S1 8I1             (1)6( 6.0)  8223332.6 
   162     1    2S1 8J1             (3)7(22.0)  8223351.0 
   163     1    2S1 8J1             (1)7( 7.0)  8223351.0 
   164     1    2S1 8F1             (1)3( 3.0)  8223434.9 
   165     2    2P1 7S1             (3)1( 4.0)  8345001.4 
   166     2    2P1 7S1             (1)1( 1.0)  8346328.8 
   167     2    2P1 7P1             (1)1( 1.0)  8350695.0 
   168     2    2P1 7P1             (3)2( 7.0)  8351557.2 
   169     2    2P1 7P1             (3)0( 1.0)  8352850.5 
   170     2    2P1 7P1             (3)1( 4.0)  8353568.2 
   171     2    2P1 7P1             (1)2( 2.0)  8355613.1 
   172     2    2P1 7D1             (1)2( 2.0)  8355964.2 
   173     2    2P1 7D1             (3)3(10.0)  8356136.2 
   174     2    2P1 7D1             (3)2( 7.0)  8357959.6 
   175     2    2P1 7D1             (3)1( 4.0)  8358448.8 
   176     2    2P1 7F1             (1)3( 3.0)  8358597.8 
   177     2    2P1 7P1             (1)0( 0.0)  8358680.6 
   178     2    2P1 7F1             (3)3(10.0)  8358854.5 
   179     2    2P1 7F1             (3)4(13.0)  8359616.2 
   180     2    2P1 7G1             (3)3(10.0)  8359806.8 
   181     2    2P1 7G1             (1)3( 3.0)  8359806.8 
   182     2    2P1 7G1             (3)4(13.0)  8359806.8 
   183     2    2P1 7G1             (1)4( 4.0)  8359806.8 
   184     2    2P1 7G1             (3)5(16.0)  8359806.8 
   185     2    2P1 7G1             (1)5( 5.0)  8359806.8 
   186     2    2P1 7H1             (3)4(13.0)  8359927.1 
   187     2    2P1 7H1             (1)4( 4.0)  8359927.1 
   188     2    2P1 7H1             (3)5(16.0)  8359927.1 
   189     2    2P1 7H1             (1)5( 5.0)  8359927.1 
   190     2    2P1 7H1             (3)6(19.0)  8359927.1 
   191     2    2P1 7H1             (1)6( 6.0)  8359927.1 
   192     2    2P1 7I1             (3)5(16.0)  8359980.8 
   193     2    2P1 7I1             (1)5( 5.0)  8359980.8 
   194     2    2P1 7I1             (3)6(19.0)  8359980.8 
   195     2    2P1 7I1             (1)6( 6.0)  8359980.8 
   196     2    2P1 7I1             (3)7(22.0)  8359980.8 
   197     2    2P1 7I1             (1)7( 7.0)  8359980.8 
   198     2    2P1 7F1             (3)2( 7.0)  8360421.9 
   199     2    2P1 7F1             (1)4( 4.0)  8360850.7 
   200     2    2P1 7F1             (1)2( 2.0)  8361100.2 
   201     2    2P1 7D1             (1)1( 1.0)  8361577.0 
   202     2    2P1 7D1             (1)3( 3.0)  8361710.3 
   203     2    2P1 8S1             (3)1( 4.0)  8501704.5 
   204     2    2P1 8S1             (1)1( 1.0)  8502577.2 
   205     2    2P1 8P1             (1)1( 1.0)  8505527.4 
   206     2    2P1 8P1             (3)2( 7.0)  8506096.1 
   207     2    2P1 8P1             (3)0( 1.0)  8506949.0 
   208     2    2P1 8P1             (3)1( 4.0)  8507404.6 
   209     2    2P1 8P1             (1)2( 2.0)  8508753.9 
   210     2    2P1 8D1             (1)2( 2.0)  8509030.9 
   211     2    2P1 8D1             (3)3(10.0)  8509145.6 
   212     2    2P1 8D1             (3)2( 7.0)  8510340.8 
   213     2    2P1 8D1             (3)1( 4.0)  8510664.9 
   214     2    2P1 8F1             (1)3( 3.0)  8510772.5 
   215     2    2P1 8P1             (1)0( 0.0)  8510777.8 
   216     2    2P1 8F1             (3)3(10.0)  8510948.2 
   217     2    2P1 8F1             (3)4(13.0)  8511436.3 
   218     2    2P1 8G1             (3)3(10.0)  8511582.5 
   219     2    2P1 8G1             (1)3( 3.0)  8511582.5 
   220     2    2P1 8G1             (3)4(13.0)  8511582.5 
   221     2    2P1 8G1             (1)4( 4.0)  8511582.5 
   222     2    2P1 8G1             (3)5(16.0)  8511582.5 
