SEQ='BE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94846886.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   295528.9 
     3          2P1                 (2)1( 1.5)   334397.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 103612964.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   157     3    2P1 5G1             (1)*( 5.0)  7831228.9 
   158     3    2P1 5G1             (1)*( 3.0)  7831228.9 
   159     3    2P1 5G1             (1)*( 4.0)  7831228.9 
   160     3    2P1 5G1             (1)*( 5.0)  7831228.9 
   161     3    2P1 5G1             (1)*( 6.0)  7831228.9 
   162     3    2P1 5F1             (1)4( 4.0)  7832294.4 
   163     3    2P1 5F1             (3)2( 1.0)  7832518.6 
   164     3    2P1 5D1             (1)3( 3.0)  7832568.1 
   165     3    2P1 5D1             (1)1( 1.0)  7833179.1 
   166     3    2P1 5F1             (1)2( 2.0)  7833646.0 
   167     1    2S1 6S1             (3)0( 1.0)  7856362.9 
   168     1    2S1 6S1             (1)0( 0.0)  7861140.9 
   169     1    2S1 6P1             (3)1( 0.0)  7869871.5 
   170     1    2S1 6P1             (3)1( 1.0)  7870148.7 
   171     1    2S1 6P1             (3)1( 2.0)  7871176.8 
   172     1    2S1 6P1             (1)1( 1.0)  7872703.7 
   173     1    2S1 6D1             (3)2( 1.0)  7878852.8 
   174     1    2S1 6D1             (3)2( 2.0)  7879006.5 
   175     1    2S1 6D1             (3)2( 3.0)  7879262.6 
   176     1    2S1 6D1             (1)2( 2.0)  7882964.2 
   177     1    2S1 6F1             (3)3( 2.0)  7883563.9 
   178     1    2S1 6F1             (3)3( 3.0)  7883642.1 
   179     1    2S1 6F1             (3)3( 4.0)  7883764.4 
   180     1    2S1 6G1             (1)*( 3.0)  7884735.3 
   181     1    2S1 6G1             (1)*( 4.0)  7884735.3 
   182     1    2S1 6G1             (1)*( 4.0)  7884735.3 
   183     1    2S1 6G1             (1)*( 5.0)  7884735.3 
   184     1    2S1 6F1             (1)3( 3.0)  7884922.8 
   185     1    2S1 6H1             (1)*( 4.0)  7884926.2 
   186     1    2S1 6H1             (1)*( 5.0)  7884926.2 
   187     1    2S1 6H1             (1)*( 5.0)  7884926.2 
   188     1    2S1 6H1             (1)*( 6.0)  7884926.2 
   189     1    2S1 7S1             (3)0( 1.0)  8100845.0 
   190     1    2S1 7S1             (1)0( 0.0)  8103747.0 
   191     1    2S1 7P1             (3)1( 0.0)  8109271.5 
   192     1    2S1 7P1             (3)1( 1.0)  8109444.1 
   193     1    2S1 7P1             (3)1( 2.0)  8110091.8 
   194     1    2S1 7P1             (1)1( 1.0)  8111028.6 
   195     1    2S1 7D1             (3)2( 1.0)  8114897.6 
   196     1    2S1 7D1             (3)2( 2.0)  8114994.1 
   197     1    2S1 7D1             (3)2( 3.0)  8115155.6 
   198     1    2S1 7D1             (1)2( 2.0)  8117396.0 
   199     1    2S1 7F1             (3)3( 2.0)  8117801.9 
   200     1    2S1 7F1             (3)3( 3.0)  8117851.3 
   201     1    2S1 7F1             (3)3( 4.0)  8117928.2 
   202     1    2S1 7G1             (1)*( 3.0)  8118602.1 
   203     1    2S1 7G1             (1)*( 4.0)  8118602.1 
   204     1    2S1 7G1             (1)*( 4.0)  8118602.1 
   205     1    2S1 7G1             (1)*( 5.0)  8118602.1 
   206     1    2S1 7F1             (1)3( 3.0)  8118684.9 
   207     1    2S1 7H1             (1)*( 4.0)  8118722.3 
   208     1    2S1 7H1             (1)*( 5.0)  8118722.3 
   209     1    2S1 7H1             (1)*( 5.0)  8118722.3 
   210     1    2S1 7H1             (1)*( 6.0)  8118722.3 
   211     1    2S1 7I1             (1)*( 5.0)  8118776.0 
   212     1    2S1 7I1             (1)*( 6.0)  8118776.0 
   213     1    2S1 7I1             (1)*( 6.0)  8118776.0 
   214     1    2S1 7I1             (1)*( 7.0)  8118776.0 
   215     2    2P1 6S1             (3)1( 0.0)  8154148.3 
   216     2    2P1 6S1             (3)1( 1.0)  8154845.0 
   217     2    2P1 6P1             (3)2( 1.0)  8164507.4 
   218     2    2P1 6P1             (3)1( 1.0)  8168128.4 
   219     2    2P1 6P1             (3)2( 2.0)  8168608.8 
   220     2    2P1 6P1             (3)1( 0.0)  8170512.6 
   221     2    2P1 6D1             (3)3( 2.0)  8173567.1 
   222     2    2P1 6D1             (3)1( 2.0)  8176661.7 
   223     2    2P1 6D1             (3)3( 3.0)  8177181.4 
   224     2    2P1 6D1             (3)2( 1.0)  8178372.6 
   225     2    2P1 6F1             (3)4( 3.0)  8179150.6 
   226     2    2P1 6F1             (3)2( 3.0)  8179776.3 
   227     2    2P1 6F1             (3)2( 2.0)  8179963.3 
   228     2    2P1 6F1             (3)4( 4.0)  8180019.5 
   229     2    2P1 6G1             (1)*( 3.0)  8180264.2 
   230     2    2P1 6G1             (1)*( 4.0)  8180264.2 
   231     2    2P1 6G1             (1)*( 4.0)  8180264.2 
   232     2    2P1 6G1             (1)*( 5.0)  8180264.2 
   233     2    2P1 6H1             (1)*( 4.0)  8180455.2 
   234     2    2P1 6H1             (1)*( 5.0)  8180455.2 
