SEQ='C '     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 110872714.2   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   233022.6 
     3          2S1 2P2             (2)2( 4.5)   431713.7*
     4          2S1 2P2             (2)0( 0.5)   550933.6*
     5          2S1 2P2             (2)1( 2.5)   590656.1*
     6          2P3                 (4)0( 1.5)   749903.8*
     7          2P3                 (2)2( 4.5)   869123.7*
     8          2P3                 (2)1( 2.5)   978566.2*

   LS RESOLVED TERM INDEXING            BWNR= 118056189.4   NTRM= 493
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   118     3    2S1 2P2 4P1         (3)2( 7.0)  5988002.8 
   119     3    2S1 2P2 4P1         (3)1( 4.0)  5996080.4 
   120     3    2S1 2P2 4D1         (3)3(10.0)  6036813.9 
   121     3    2S1 2P2 4D1         (3)2( 7.0)  6041903.5 
   122     3    2S1 2P2 4D1         (3)1( 4.0)  6049866.6 
   123     3    2S1 2P2 4F1         (3)4(13.0)  6064151.9 
   124     3    2S1 2P2 4F1         (3)2( 7.0)  6071291.7 
   125     5    2S1 2P2 4S1         (3)1( 4.0)  6089916.5 
   126     4    2S1 2P2 4P1         (3)1( 4.0)  6105863.7 
   127     1    2S2 2P1 5S1         (3)1( 4.0)  6122688.8 
   128     1    2S2 2P1 5S1         (1)1( 1.0)  6126231.8 
   129     5    2S1 2P2 4P1         (3)2( 7.0)  6140687.9 
   130     5    2S1 2P2 4P1         (3)1( 4.0)  6145951.2 
   131     1    2S2 2P1 5P1         (1)1( 1.0)  6147042.9 
   132     1    2S2 2P1 5P1         (3)2( 7.0)  6149100.3 
   133     1    2S2 2P1 5P1         (3)0( 1.0)  6152184.2 
   134     1    2S2 2P1 5P1         (3)1( 4.0)  6154999.1 
   135     5    2S1 2P2 4P1         (3)0( 1.0)  6155765.5 
   136     4    2S1 2P2 4D1         (3)2( 7.0)  6158768.4 
   137     1    2S2 2P1 5P1         (1)2( 2.0)  6160113.2 
   138     1    2S2 2P1 5P1         (1)0( 0.0)  6168153.9 
   139     1    2S2 2P1 5D1         (1)2( 2.0)  6175011.2 
   140     1    2S2 2P1 5D1         (3)3(10.0)  6175292.3 
   141     1    2S2 2P1 5D1         (3)2( 7.0)  6180115.1 
   142     1    2S2 2P1 5D1         (3)1( 4.0)  6181117.6 
   143     4    2S1 2P2 4F1         (3)3(10.0)  6188519.8 
   144     1    2S2 2P1 5D1         (1)1( 1.0)  6189230.0 
   145     1    2S2 2P1 5D1         (1)3( 3.0)  6189451.0 
   146     1    2S2 2P1 5F1         (1)3( 3.0)  6191368.3 
   147     1    2S2 2P1 5F1         (3)3(10.0)  6191798.5 
   148     5    2S1 2P2 4D1         (3)3(10.0)  6193807.7 
   149     1    2S2 2P1 5F1         (3)4(13.0)  6193838.1 
   150     1    2S2 2P1 5G1         (3)3(10.0)  6194691.9 
   151     1    2S2 2P1 5G1         (1)3( 3.0)  6194691.9 
   152     1    2S2 2P1 5G1         (3)4(13.0)  6194691.9 
   153     1    2S2 2P1 5G1         (1)4( 4.0)  6194691.9 
   154     1    2S2 2P1 5G1         (3)5(16.0)  6194691.9 
   155     1    2S2 2P1 5G1         (1)5( 5.0)  6194691.9 
   156     1    2S2 2P1 5F1         (3)2( 7.0)  6195455.1 
   157     1    2S2 2P1 5F1         (1)4( 4.0)  6195906.4 
   158     1    2S2 2P1 5F1         (1)2( 2.0)  6196619.1 
   159     5    2S1 2P2 4D1         (3)2( 7.0)  6200834.7 
   160     5    2S1 2P2 4D1         (3)1( 4.0)  6205303.9 
   161     5    2S1 2P2 4F1         (3)2( 7.0)  6225067.7 
   162     6    2P3 4P1             (3)1( 4.0)  6320094.8 
   163     2    2S1 2P2 5S1         (5)1( 7.0)  6355174.3 
   164     2    2S1 2P2 5S1         (3)1( 4.0)  6365183.8 
   165     6    2P3 4D1             (3)2( 7.0)  6377827.0 
   166     2    2S1 2P2 5P1         (3)0( 1.0)  6382010.2 
   167     2    2S1 2P2 5P1         (5)2(12.0)  6382042.9 
   168     2    2S1 2P2 5P1         (5)1( 7.0)  6384187.5 
   169     2    2S1 2P2 5P1         (5)0( 2.0)  6390943.7 
   170     2    2S1 2P2 5P1         (3)2( 7.0)  6392151.2 
   171     2    2S1 2P2 5P1         (3)1( 4.0)  6396286.8 
   172     2    2S1 2P2 5D1         (5)3(17.0)  6406617.1 
   173     2    2S1 2P2 5D1         (5)2(12.0)  6409568.2 
   174     2    2S1 2P2 5D1         (5)1( 7.0)  6413614.1 
   175     2    2S1 2P2 5D1         (3)1( 4.0)  6415103.5 
   176     2    2S1 2P2 5D1         (3)3(10.0)  6420934.6 
   177     7    2P3 4P1             (1)1( 1.0)  6421047.3 
   178     2    2S1 2P2 5F1         (5)2(12.0)  6425091.4 
   179     2    2S1 2P2 5F1         (5)4(22.0)  6425223.2 
   180     2    2S1 2P2 5F1         (3)2( 7.0)  6426095.4 
   181     2    2S1 2P2 5D1         (3)2( 7.0)  6426743.4 
   182     2    2S1 2P2 5F1         (3)4(13.0)  6427629.5 
   183     2    2S1 2P2 5G1         (5)3(17.0)  6427714.5 
   184     2    2S1 2P2 5G1         (3)3(10.0)  6427714.5 
   185     2    2S1 2P2 5G1         (5)4(22.0)  6427714.5 
   186     2    2S1 2P2 5G1         (3)4(13.0)  6427714.5 
   187     2    2S1 2P2 5G1         (5)5(27.0)  6427714.5 
   188     2    2S1 2P2 5G1         (3)5(16.0)  6427714.5 
   189     2    2S1 2P2 5F1         (5)3(17.0)  6428220.8 
   190     2    2S1 2P2 5F1         (3)3(10.0)  6431150.0 
   191     1    2S2 2P1 6S1         (3)1( 4.0)  6455953.9 
   192     1    2S2 2P1 6S1         (1)1( 1.0)  6457897.1 
   193     7    2P3 4P1             (1)2( 2.0)  6459325.8 
   194     1    2S2 2P1 6P1         (1)1( 1.0)  6469923.6 
   195     1    2S2 2P1 6P1         (3)2( 7.0)  6471067.4 
   196     1    2S2 2P1 6P1         (3)0( 1.0)  6472782.5 
   197     7    2P3 4D1             (3)3(10.0)  6472989.9 
   198     1    2S2 2P1 6P1         (3)1( 4.0)  6474225.6 
   199     1    2S2 2P1 6P1         (1)2( 2.0)  6477066.2 
   200     1    2S2 2P1 6P1         (1)0( 0.0)  6481527.3 
   201     8    2P3 4S1             (3)1( 4.0)  6481934.4 
   202     7    2P3 4D1             (1)1( 1.0)  6484055.6 
   203     1    2S2 2P1 6D1         (1)2( 2.0)  6485685.1 
   204     1    2S2 2P1 6D1         (3)3(10.0)  6485840.3 
