SEQ='MG'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 142237333.6   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   172539.3 
     3          3D1                 (2)2( 4.5)   415670.3*

   LS RESOLVED TERM INDEXING            BWNR= 143750963.6   NTRM= 243
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   159     2    3P1 6H1             (1)6( 6.0)  1438779.0 
   160     2    3P1 6F1             (1)4( 4.0)  1439847.3 
   161     2    3P1 6F1             (1)2( 2.0)  1440048.6 
   162     2    3P1 7S1             (3)1( 4.0)  1472964.7 
   163     2    3P1 7S1             (1)1( 1.0)  1473774.4 
   164     2    3P1 7P1             (1)1( 1.0)  1481738.4 
   165     2    3P1 7P1             (3)2( 7.0)  1482619.4 
   166     2    3P1 7P1             (3)1( 4.0)  1483259.9 
   167     2    3P1 7P1             (3)0( 1.0)  1483940.8 
   168     2    3P1 7P1             (1)2( 2.0)  1484802.6 
   169     2    3P1 7P1             (1)0( 0.0)  1487116.5 
   170     2    3P1 7D1             (1)2( 2.0)  1496128.1 
   171     2    3P1 7D1             (3)2( 7.0)  1496324.9 
   172     2    3P1 7D1             (3)3(10.0)  1497107.6 
   173     2    3P1 7D1             (3)1( 4.0)  1497870.6 
   174     2    3P1 7D1             (1)3( 3.0)  1497951.5 
   175     2    3P1 7D1             (1)1( 1.0)  1498636.3 
   176     2    3P1 7F1             (1)3( 3.0)  1501916.9 
   177     2    3P1 7F1             (3)3(10.0)  1502360.5 
   178     2    3P1 7F1             (3)4(13.0)  1502723.2 
   179     2    3P1 7F1             (3)2( 7.0)  1503781.6 
   180     2    3P1 7G1             (3)3(10.0)  1504178.7 
   181     2    3P1 7G1             (1)3( 3.0)  1504178.7 
   182     2    3P1 7G1             (3)4(13.0)  1504178.7 
   183     2    3P1 7G1             (1)4( 4.0)  1504178.7 
   184     2    3P1 7G1             (3)5(16.0)  1504178.7 
   185     2    3P1 7G1             (1)5( 5.0)  1504178.7 
   186     2    3P1 7H1             (3)4(13.0)  1504463.7 
   187     2    3P1 7H1             (1)4( 4.0)  1504463.7 
   188     2    3P1 7H1             (3)5(16.0)  1504463.7 
   189     2    3P1 7H1             (1)5( 5.0)  1504463.7 
   190     2    3P1 7H1             (3)6(19.0)  1504463.7 
   191     2    3P1 7H1             (1)6( 6.0)  1504463.7 
   192     2    3P1 7I1             (3)5(16.0)  1504590.8 
   193     2    3P1 7I1             (1)5( 5.0)  1504590.8 
   194     2    3P1 7I1             (3)6(19.0)  1504590.8 
   195     2    3P1 7I1             (1)6( 6.0)  1504590.8 
   196     2    3P1 7I1             (3)7(22.0)  1504590.8 
   197     2    3P1 7I1             (1)7( 7.0)  1504590.8 
   198     2    3P1 7F1             (1)4( 4.0)  1504964.6 
   199     2    3P1 7F1             (1)2( 2.0)  1505099.8 
   200     2    3P1 8S1             (3)1( 4.0)  1526364.2*
   201     2    3P1 8S1             (1)1( 1.0)  1526871.1*
   202     2    3P1 8P1             (1)1( 1.0)  1532125.3*
   203     2    3P1 8P1             (3)2( 7.0)  1532689.9*
   204     2    3P1 8P1             (3)1( 4.0)  1533073.2*
   205     2    3P1 8P1             (3)0( 1.0)  1533537.0*
   206     2    3P1 8P1             (1)2( 2.0)  1534057.8*
   207     2    3P1 8P1             (1)0( 0.0)  1535534.6*
   208     2    3P1 8D1             (1)2( 2.0)  1541534.4*
   209     2    3P1 8D1             (3)2( 7.0)  1541660.5*
   210     2    3P1 8D1             (3)3(10.0)  1542169.8*
   211     2    3P1 8D1             (3)1( 4.0)  1542662.9*
   212     2    3P1 8D1             (1)3( 3.0)  1542713.4*
   213     2    3P1 8D1             (1)1( 1.0)  1543158.2*
   214     2    3P1 8F1             (1)3( 3.0)  1545386.6*
   215     2    3P1 8F1             (3)3(10.0)  1545668.2*
   216     2    3P1 8F1             (3)4(13.0)  1545914.0*
   217     2    3P1 8F1             (3)2( 7.0)  1546591.6*
   218     2    3P1 8G1             (3)3(10.0)  1546889.1*
   219     2    3P1 8G1             (1)3( 3.0)  1546889.1*
   220     2    3P1 8G1             (3)4(13.0)  1546889.1*
   221     2    3P1 8G1             (1)4( 4.0)  1546889.1*
   222     2    3P1 8G1             (3)5(16.0)  1546889.1*
   223     2    3P1 8G1             (1)5( 5.0)  1546889.1*
   224     2    3P1 8H1             (3)4(13.0)  1547079.9*
   225     2    3P1 8H1             (1)4( 4.0)  1547079.9*
   226     2    3P1 8H1             (3)5(16.0)  1547079.9*
   227     2    3P1 8H1             (1)5( 5.0)  1547079.9*
   228     2    3P1 8H1             (3)6(19.0)  1547079.9*
   229     2    3P1 8H1             (1)6( 6.0)  1547079.9*
   230     2    3P1 8I1             (3)5(16.0)  1547165.1*
   231     2    3P1 8I1             (1)5( 5.0)  1547165.1*
   232     2    3P1 8I1             (3)6(19.0)  1547165.1*
