SEQ='AL'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 144375973.8   NPRNTI= 4   NPRNTF=26
   ---------------------
   INDP         CODE                 S L   WI        WNP
   149     4    3S1 3P1 4D1         (2)1( 1.5)   860090.6 
   150  9999    3P1 3D2             (4)3( 2.5)   860265.4 
   151  9999    3P1 3D2             (4)3( 3.5)   860692.1 
   152  9999    3P1 3D2             (4)3( 4.5)   861071.3 
   153     4    3S1 3P1 4D1         (2)1( 0.5)   861542.1 
   154  9999    3P1 3D2             (4)1( 0.5)   864485.6 
   155  9999    3P1 3D2             (2)4( 3.5)   864802.1 
   156  9999    3P1 3D2             (4)1( 1.5)   864823.8 
   157  9999    3P1 3D2             (2)4( 4.5)   865060.0 
   158  9999    3P1 3D2             (4)1( 2.5)   866141.9 
   159  9999    3P1 3D2             (2)5( 4.5)   877145.0 
   160  9999    3P1 3D2             (2)5( 5.5)   880037.9 
   161     2    3S1 3P1 4F1         (4)3( 2.5)   881647.5 
   162     2    3S1 3P1 4F1         (4)3( 3.5)   881810.5 
   163     3    3S1 3P1 4F1         (4)3( 1.5)   881957.5 
   164     3    3S1 3P1 4F1         (4)3( 4.5)   882471.3 
   165     3    3S1 3P1 4F1         (2)3( 2.5)   882903.8 
   166     3    3S1 3P1 4F1         (2)3( 3.5)   883692.1 
   167  9999    3P1 3D2             (4)2( 3.5)   883966.8 
   168  9999    3P1 3D2             (4)2( 2.5)   884253.3 
   169  9999    3P1 3D2             (4)2( 1.5)   884467.9 
   170  9999    3P1 3D2             (4)2( 0.5)   884607.0 
   171     3    3S1 3P1 4F1         (4)4( 2.5)   884785.1 
   172     3    3S1 3P1 4F1         (4)4( 3.5)   885408.5 
   173     4    3S1 3P1 4F1         (4)4( 4.5)   886145.9 
   174     1    3S2 5D1             (2)2( 1.5)   886742.8 
   175     1    3S2 5D1             (2)2( 2.5)   886817.3 
   176     4    3S1 3P1 4F1         (4)4( 5.5)   887067.8 
   177     4    3S1 3P1 4F1         (4)2( 3.5)   891866.8 
   178     6    3P2 4S1             (2)2( 2.5)   892200.7 
   179  9999    3P1 3D2             (2)1( 1.5)   892363.6 
   180     6    3P2 4S1             (2)2( 1.5)   892526.5 
   181     4    3S1 3P1 4F1         (4)2( 2.5)   892860.7 
   182     7    3P2 4S1             (4)1( 0.5)   893108.4 
   183     4    3S1 3P1 4F1         (4)2( 1.5)   893584.3 
   184  9999    3P1 3D2             (2)1( 0.5)   893800.3 
   185     4    3S1 3P1 4F1         (4)2( 0.5)   894012.8 
   186     8    3P2 4S1             (4)1( 1.5)   894920.0 
   187     9    3P2 4S1             (4)1( 2.5)   898018.4 
   188     4    3S1 3P1 4F1         (2)4( 3.5)   898576.3 
   189     4    3S1 3P1 4F1         (2)4( 4.5)   900950.7 
   190     4    3S1 3P1 4F1         (2)2( 2.5)   902062.3 
   191     4    3S1 3P1 4F1         (2)2( 1.5)   903695.6 
   192     8    3P2 4S1             (2)1( 0.5)   905388.4 
   193     1    3S2 5F1             (2)3( 2.5)   905678.7 
   194     1    3S2 5F1             (2)3( 3.5)   905702.5 
   195     9    3P2 4S1             (2)1( 1.5)   908713.7 
   196  9999    3P1 3D2             (4)0( 1.5)   908817.3 
   197     1    3S2 5G1             (1)*( 3.5)   909299.6 
   198     1    3S2 5G1             (1)*( 4.5)   909299.6 
   199  9999    3P1 3D2             (2)3( 2.5)   911477.6 
   200  9999    3P1 3D2             (2)3( 3.5)   911687.5 
   201     5    3S1 3P1 4D1         (2)2( 1.5)   917445.7 
   202     5    3S1 3P1 4D1         (2)2( 2.5)   917614.0 
   203     5    3S1 3P1 4D1         (2)3( 2.5)   921345.9 
   204     5    3S1 3P1 4D1         (2)3( 3.5)   921375.9 
   205  9999    3P1 3D2             (2)2( 1.5)   924632.3 
   206     5    3S1 3P1 4D1         (2)1( 0.5)   925161.8 
   207     5    3S1 3P1 4D1         (2)1( 1.5)   925337.4 
   208  9999    3P1 3D2             (2)2( 2.5)   925861.8 
   209  9999    3P1 3D2             (2)1( 0.5)   926117.0 
   210  9999    3P1 3D2             (2)1( 1.5)   928805.6 
   211     6    3P2 4P1             (2)0( 0.5)   942585.0 
   212  9999    3P1 3D2             (2)3( 3.5)   943570.4 
   213     6    3P2 4P1             (2)2( 1.5)   944002.1 
   214     1    3S2 6S1             (2)0( 0.5)   944647.3 
   215  9999    3P1 3D2             (2)3( 2.5)   944672.0 
   216     6    3P2 4P1             (2)2( 2.5)   945158.8 
   217     7    3P2 4P1             (4)2( 0.5)   948001.2 
   218     6    3P2 4P1             (4)2( 1.5)   949071.8 
   219  9999    3P1 3D2             (2)4( 4.5)   950243.0 
   220     6    3P2 4P1             (4)2( 2.5)   950278.6 
   221     6    3P2 4P1             (2)3( 3.5)   950652.7 
   222  9999    3P1 3D2             (2)4( 3.5)   950799.0 
   223     8    3P2 4P1             (2)3( 2.5)   951820.8 
   224     7    3P2 4P1             (2)1( 1.5)   954544.2 
   225     9    3P2 4P1             (4)2( 3.5)   954651.2 
   226     8    3P2 4P1             (4)1( 0.5)   954867.6 
   227     8    3P2 4P1             (4)1( 1.5)   956519.9 
   228     5    3S1 3P1 4F1         (2)3( 2.5)   956962.4 
   229     5    3S1 3P1 4F1         (2)3( 3.5)   957052.5 
   230     8    3P2 4P1             (2)1( 0.5)   957118.9 
   231     2    3S1 3P1 5S1         (4)1( 0.5)   957751.4 
   232    10    3P2 4S1             (2)0( 0.5)   957960.0 
   233     9    3P2 4P1             (4)1( 2.5)   958071.3 
   234     3    3S1 3P1 5S1         (4)1( 1.5)   959127.0 
   235     1    3S2 6P1             (2)1( 0.5)   960776.2 
   236     1    3S2 6P1             (2)1( 1.5)   961132.3 
