Ne+ 9        10        10      10986873.0(1S)
    1 1S1               (2)0(  .5)               .0     {1}1.000
    2 2S1               (2)0(  .5)        8239096.5     {1}1.000
    3 2P1               (2)1( 2.5)        8241381.9     {1}1.000
    4 3S1               (2)0(  .5)        9766023.4     {1}1.000
    5 3P1               (2)1( 2.5)        9766700.1     {1}1.000
    6 3D1               (2)2( 4.5)        9767278.2     {1}1.000
    7 4S1               (2)0(  .5)       10300310.3     {1}1.000
    8 4P1               (2)1( 2.5)       10300595.7     {1}1.000
    9 4D1               (2)2( 4.5)       10300839.5     {1}1.000
   10 4F1               (2)3( 6.5)       10300943.9     {1}1.000
   11 5S1               (2)0(  .5)       10547547.9     {1}1.000
   12 5P1               (2)1( 2.5)       10547694.0     {1}1.000
   13 5D1               (2)2( 4.5)       10547818.9     {1}1.000
   14 5F1               (2)3( 6.5)       10547872.3     {1}1.000
   15 5G1               (2)4( 8.5)       10547902.0     {1}1.000
   -1
 10.0    3       5.00+04 1.00+05 2.00+05 3.00+05 5.00+05 1.00+06 1.50+06 2.00+06 3.00+06 5.00+06 1.00+07 1.50+07 2.00+07 5.00+07
   8   7 2.23+02 8.92+01 9.77+01 1.06+02 1.11+02 1.16+02 1.24+02 1.29+02 1.32+02 1.36+02 1.42+02 1.50+02 1.54+02 1.57+02 1.68+02
   9   7 3.75-08 2.58+00 3.42+00 4.27+00 4.76+00 5.38+00 6.21+00 6.69+00 7.04+00 7.52+00 8.13+00 8.96+00 9.43+00 9.78+00 1.09+01
  11   7 1.00-30 1.18+00 1.19+00 1.20+00 1.21+00 1.23+00 1.26+00 1.27+00 1.28+00 1.29+00 1.30+00 1.31+00 1.32+00 1.32+00 1.32+00
  12   7 7.37+09 4.28-01 4.70-01 5.51-01 6.30-01 7.76-01 1.09+00 1.36+00 1.58+00 1.96+00 2.52+00 3.44+00 4.04+00 4.49+00 6.04+00
  13   7 5.42+05 9.88-01 1.01+00 1.06+00 1.10+00 1.18+00 1.33+00 1.44+00 1.52+00 1.65+00 1.82+00 2.03+00 2.14+00 2.21+00 2.38+00
  14   7 1.00-30 9.66-01 9.71-01 9.81-01 9.89-01 1.00+00 1.02+00 1.04+00 1.05+00 1.06+00 1.08+00 1.10+00 1.11+00 1.12+00 1.13+00
  15   7 1.00-30 4.40-01 4.40-01 4.40-01 4.43-01 4.49-01 4.64-01 4.77-01 4.87-01 5.03-01 5.24-01 5.51-01 5.64-01 5.72-01 5.93-01
   9   8 1.12+02 2.32+02 2.54+02 2.76+02 2.89+02 3.05+02 3.28+02 3.40+02 3.49+02 3.62+02 3.77+02 3.99+02 4.12+02 4.21+02 4.50+02
  10   8 9.97-09 2.16+00 2.92+00 3.72+00 4.19+00 4.79+00 5.62+00 6.10+00 6.44+00 6.93+00 7.53+00 8.35+00 8.85+00 9.19+00 1.03+01
  11   8 6.45+09 1.69-01 1.78-01 1.97-01 2.16-01 2.54-01 3.40-01 4.14-01 4.78-01 5.86-01 7.50-01 1.02+00 1.19+00 1.33+00 1.78+00
  12   8 4.55+05 4.03+00 4.06+00 4.12+00 4.16+00 4.23+00 4.34+00 4.41+00 4.46+00 4.53+00 4.61+00 4.70+00 4.75+00 4.77+00 4.83+00
  13   8 1.49+10 2.88+00 3.05+00 3.36+00 3.64+00 4.18+00 5.35+00 6.33+00 7.17+00 8.58+00 1.07+01 1.40+01 1.62+01 1.78+01 2.33+01
  14   8 9.40+05 3.81+00 3.89+00 4.03+00 4.16+00 4.39+00 4.83+00 5.16+00 5.41+00 5.80+00 6.30+00 6.95+00 7.29+00 7.51+00 8.05+00
  15   8 1.00-30 2.48+00 2.48+00 2.48+00 2.48+00 2.48+00 2.49+00 2.50+00 2.52+00 2.55+00 2.60+00 2.68+00 2.73+00 2.77+00 2.86+00
  10   9 3.53+00 2.47+02 2.71+02 2.94+02 3.09+02 3.27+02 3.50+02 3.65+02 3.74+02 3.88+02 4.06+02 4.29+02 4.44+02 4.53+02 4.85+02
  11   9 3.26+05 1.61-01 1.61-01 1.63-01 1.66-01 1.70-01 1.81-01 1.91-01 1.98-01 2.10-01 2.27-01 2.49-01 2.61-01 2.68-01 2.87-01
  12   9 1.88+09 5.29-01 5.34-01 5.46-01 5.60-01 5.92-01 6.70-01 7.42-01 8.05-01 9.11-01 1.07+00 1.33+00 1.50+00 1.63+00 2.05+00
  13   9 2.65+05 6.74+00 6.76+00 6.80+00 6.83+00 6.88+00 6.97+00 7.02+00 7.07+00 7.13+00 7.21+00 7.29+00 7.34+00 7.36+00 7.43+00
  14   9 2.58+10 1.09+01 1.14+01 1.21+01 1.28+01 1.42+01 1.71+01 1.96+01 2.17+01 2.52+01 3.05+01 3.90+01 4.45+01 4.86+01 6.22+01
  15   9 1.00+06 7.97+00 8.10+00 8.33+00 8.54+00 8.91+00 9.63+00 1.02+01 1.06+01 1.12+01 1.20+01 1.29+01 1.35+01 1.38+01 1.46+01
  11  10 1.00-30 6.53-02 6.28-02 5.90-02 5.63-02 5.27-02 4.84-02 4.65-02 4.56-02 4.48-02 4.48-02 4.58-02 4.66-02 4.73-02 4.92-02
  12  10 4.73+04 2.85-01 2.74-01 2.60-01 2.49-01 2.36-01 2.21-01 2.16-01 2.14-01 2.13-01 2.16-01 2.24-01 2.29-01 2.32-01 2.42-01
  13  10 5.05+08 7.95-01 7.71-01 7.39-01 7.20-01 7.02-01 6.98-01 7.12-01 7.30-01 7.68-01 8.34-01 9.48-01 1.02+00 1.08+00 1.27+00
  14  10 1.53+05 8.14+00 8.10+00 8.05+00 8.02+00 7.98+00 7.93+00 7.92+00 7.91+00 7.91+00 7.92+00 7.94+00 7.95+00 7.96+00 7.98+00
  15  10 4.25+10 3.75+01 3.85+01 4.03+01 4.19+01 4.48+01 5.11+01 5.64+01 6.09+01 6.85+01 7.99+01 9.80+01 1.10+02 1.18+02 1.47+02
  12  11 7.47+01 2.39+02 2.59+02 2.78+02 2.89+02 3.04+02 3.23+02 3.34+02 3.42+02 3.53+02 3.67+02 3.86+02 3.97+02 4.05+02 4.30+02
  13  11 9.00-09 9.86+00 1.22+01 1.46+01 1.60+01 1.77+01 2.02+01 2.16+01 2.26+01 2.40+01 2.58+01 2.82+01 2.96+01 3.06+01 3.38+01
  13  12 4.14+01 6.81+02 7.38+02 7.95+02 8.29+02 8.71+02 9.28+02 9.62+02 9.85+02 1.02+03 1.06+03 1.12+03 1.15+03 1.17+03 1.25+03
  14  12 3.44-09 1.26+01 1.59+01 1.93+01 2.13+01 2.39+01 2.74+01 2.94+01 3.09+01 3.30+01 3.56+01 3.91+01 4.11+01 4.25+01 4.73+01
