   50    /Mo+32 EMISSIVITY COEFFTS./
 1.61E-11 1.73E-11 1.83E-11 1.90E-11 1.96E-11 2.00E-11 2.01E-11 2.02E-11
 2.00E-11 1.97E-11 1.93E-11
     5.0 A   4  35 /FILMEM = 4.final2/TYPE = EXCIT    /INDM = T/ISEL =    4
 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 1.00E+02 1.15E+02 1.31E+02 1.50E+02 1.72E+02 1.97E+02 2.25E+02 2.58E+02
 2.96E+02 3.38E+02 3.87E+02 4.44E+02 5.08E+02 5.82E+02 6.66E+02 7.63E+02
 8.73E+02 1.00E+03 1.15E+03 1.31E+03 1.50E+03 1.72E+03 1.97E+03 2.25E+03
 2.58E+03 2.96E+03 3.38E+03 3.87E+03 4.44E+03 5.08E+03 5.82E+03 6.66E+03
 7.63E+03 8.73E+03 1.00E+04
 5.17E-22 1.24E-20 1.99E-19 2.24E-18 1.84E-17 1.15E-16 5.70E-16 2.29E-15
 7.66E-15 2.19E-14 5.43E-14 1.20E-13 2.37E-13 4.27E-13 7.10E-13 1.10E-12
 1.60E-12 2.20E-12 2.89E-12 3.64E-12 4.42E-12 5.19E-12 5.93E-12 6.61E-12
 7.22E-12 7.74E-12 8.18E-12 8.51E-12 8.76E-12 8.92E-12 9.00E-12 9.00E-12
 8.94E-12 8.82E-12 8.64E-12
 5.17E-22 1.24E-20 1.99E-19 2.24E-18 1.84E-17 1.15E-16 5.70E-16 2.29E-15
 7.66E-15 2.19E-14 5.43E-14 1.20E-13 2.37E-13 4.27E-13 7.10E-13 1.10E-12
 1.60E-12 2.20E-12 2.89E-12 3.64E-12 4.42E-12 5.19E-12 5.93E-12 6.61E-12
 7.22E-12 7.74E-12 8.18E-12 8.51E-12 8.76E-12 8.92E-12 9.00E-12 9.00E-12
 8.94E-12 8.82E-12 8.64E-12
 5.18E-22 1.25E-20 2.00E-19 2.24E-18 1.84E-17 1.16E-16 5.71E-16 2.29E-15
 7.66E-15 2.19E-14 5.44E-14 1.20E-13 2.37E-13 4.27E-13 7.11E-13 1.10E-12
 1.60E-12 2.21E-12 2.89E-12 3.64E-12 4.42E-12 5.19E-12 5.93E-12 6.62E-12
 7.22E-12 7.75E-12 8.18E-12 8.52E-12 8.76E-12 8.92E-12 9.00E-12 9.01E-12
 8.94E-12 8.82E-12 8.64E-12
 5.22E-22 1.26E-20 2.01E-19 2.26E-18 1.86E-17 1.17E-16 5.76E-16 2.31E-15
 7.74E-15 2.21E-14 5.49E-14 1.21E-13 2.39E-13 4.31E-13 7.16E-13 1.11E-12
 1.61E-12 2.22E-12 2.91E-12 3.66E-12 4.44E-12 5.22E-12 5.96E-12 6.64E-12
 7.25E-12 7.77E-12 8.20E-12 8.54E-12 8.78E-12 8.94E-12 9.02E-12 9.02E-12
 8.96E-12 8.83E-12 8.66E-12
     3.7 A   4  35 /FILMEM = 4.final2/TYPE = EXCIT    /INDM = T/ISEL =    5
 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 1.00E+02 1.15E+02 1.31E+02 1.50E+02 1.72E+02 1.97E+02 2.25E+02 2.58E+02
 2.96E+02 3.38E+02 3.87E+02 4.44E+02 5.08E+02 5.82E+02 6.66E+02 7.63E+02
 8.73E+02 1.00E+03 1.15E+03 1.31E+03 1.50E+03 1.72E+03 1.97E+03 2.25E+03
 2.58E+03 2.96E+03 3.38E+03 3.87E+03 4.44E+03 5.08E+03 5.82E+03 6.66E+03
 7.63E+03 8.73E+03 1.00E+04
 1.90E-25 1.19E-23 4.38E-22 1.01E-20 1.56E-19 1.69E-18 1.35E-17 8.18E-17
 3.93E-16 1.54E-15 5.03E-15 1.41E-14 3.44E-14 7.46E-14 1.46E-13 2.61E-13
 4.32E-13 6.68E-13 9.73E-13 1.35E-12 1.78E-12 2.27E-12 2.79E-12 3.34E-12
 3.90E-12 4.45E-12 4.97E-12 5.47E-12 5.93E-12 6.35E-12 6.72E-12 7.04E-12
 7.31E-12 7.52E-12 7.70E-12
 1.90E-25 1.19E-23 4.38E-22 1.01E-20 1.56E-19 1.69E-18 1.35E-17 8.18E-17
 3.93E-16 1.54E-15 5.03E-15 1.41E-14 3.44E-14 7.46E-14 1.46E-13 2.61E-13
 4.32E-13 6.68E-13 9.73E-13 1.35E-12 1.78E-12 2.27E-12 2.79E-12 3.34E-12
 3.90E-12 4.45E-12 4.97E-12 5.47E-12 5.93E-12 6.35E-12 6.72E-12 7.04E-12
 7.31E-12 7.52E-12 7.70E-12
 1.90E-25 1.19E-23 4.38E-22 1.01E-20 1.56E-19 1.69E-18 1.35E-17 8.18E-17
 3.93E-16 1.54E-15 5.03E-15 1.41E-14 3.44E-14 7.46E-14 1.46E-13 2.61E-13
 4.32E-13 6.68E-13 9.73E-13 1.35E-12 1.78E-12 2.27E-12 2.79E-12 3.34E-12
 3.90E-12 4.44E-12 4.97E-12 5.47E-12 5.93E-12 6.35E-12 6.72E-12 7.04E-12
 7.31E-12 7.52E-12 7.70E-12
 1.90E-25 1.19E-23 4.38E-22 1.01E-20 1.56E-19 1.69E-18 1.35E-17 8.18E-17
 3.93E-16 1.54E-15 5.03E-15 1.41E-14 3.44E-14 7.46E-14 1.46E-13 2.61E-13
 4.32E-13 6.67E-13 9.72E-13 1.35E-12 1.78E-12 2.27E-12 2.79E-12 3.34E-12
 3.90E-12 4.44E-12 4.97E-12 5.47E-12 5.93E-12 6.35E-12 6.72E-12 7.04E-12
 7.30E-12 7.52E-12 7.69E-12
   104.8 A   4  35 /FILMEM = 4.final2/TYPE = EXCIT    /INDM = T/ISEL =    6
 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 1.00E+02 1.15E+02 1.31E+02 1.50E+02 1.72E+02 1.97E+02 2.25E+02 2.58E+02
 2.96E+02 3.38E+02 3.87E+02 4.44E+02 5.08E+02 5.82E+02 6.66E+02 7.63E+02
 8.73E+02 1.00E+03 1.15E+03 1.31E+03 1.50E+03 1.72E+03 1.97E+03 2.25E+03
 2.58E+03 2.96E+03 3.38E+03 3.87E+03 4.44E+03 5.08E+03 5.82E+03 6.66E+03
 7.63E+03 8.73E+03 1.00E+04
 7.50E-22 1.67E-20 2.48E-19 2.59E-18 2.00E-17 1.18E-16 5.52E-16 2.11E-15
 6.73E-15 1.84E-14 4.40E-14 9.33E-14 1.79E-13 3.12E-13 5.06E-13 7.64E-13
