
Ne+10     H + 0 (2) / receiver, donor (donor state n=2)       /        /
    9               / number of energies
    6               / nmin
   15               / nmax
               0.01     0.02     0.05     0.10     0.20     0.50     1.00     2.00     4.20 / energies
              29.12    29.19    29.12    28.56    27.03    22.75    18.92    15.53    10.95 / alphas
           7.66E-14 7.72E-14 7.78E-14 7.91E-14 7.99E-14 8.16E-14 8.20E-14 8.22E-14 8.04E-14 / tot. xsect.(cm2)
  n  l  m                                                                                   / partial xsects.
 13  5     1.18E-16 2.84E-16 2.42E-16 3.51E-16 4.16E-16 2.32E-16 2.24E-16 2.07E-16 1.16E-16
 13  6     9.28E-17 3.13E-16 2.96E-16 3.49E-16 4.87E-16 2.75E-16 2.28E-16 2.60E-16 2.06E-16
 13  7     6.94E-17 3.21E-16 3.19E-16 3.78E-16 5.90E-16 3.49E-16 2.98E-16 3.31E-16 3.57E-16
 13  8     2.52E-17 3.03E-16 3.07E-16 4.16E-16 6.39E-16 5.03E-16 4.47E-16 4.75E-16 4.78E-16
 13  9     9.91E-18 2.23E-16 3.09E-16 5.41E-16 5.95E-16 7.16E-16 5.14E-16 6.35E-16 7.09E-16
 13 10     3.60E-18 9.26E-17 3.01E-16 5.52E-16 4.72E-16 8.60E-16 7.20E-16 8.21E-16 8.22E-16
 13 11     0.00E+00 1.51E-17 2.32E-16 5.10E-16 2.81E-16 8.84E-16 8.22E-16 1.11E-15 1.14E-15
 13 12     0.00E+00 0.00E+00 2.25E-16 2.24E-16 1.53E-16 6.14E-16 5.85E-16 1.37E-15 2.32E-15
 14        3.17E-16 3.42E-16 3.59E-16 6.27E-16 7.25E-16 1.16E-15 1.50E-15 1.08E-15 2.04E-15
 14  0     9.01E-17 5.34E-17 3.41E-17 4.34E-17 1.02E-17 6.81E-18 1.11E-17 1.45E-17 4.26E-18
 14  1     5.14E-17 3.83E-17 2.21E-17 3.58E-17 2.38E-17 1.19E-17 3.58E-17 1.45E-17 2.13E-17
 14  2     3.42E-17 2.49E-17 2.13E-17 2.98E-17 4.51E-17 2.47E-17 4.94E-17 3.07E-17 3.07E-17
 14  3     2.70E-17 1.51E-17 1.36E-17 3.66E-17 4.09E-17 3.83E-17 6.30E-17 4.00E-17 3.49E-17
 14  4     3.24E-17 2.14E-17 1.96E-17 4.34E-17 4.09E-17 4.51E-17 6.05E-17 5.71E-17 5.19E-17
 14  5     2.16E-17 1.87E-17 2.64E-17 4.26E-17 6.81E-17 6.56E-17 7.49E-17 5.88E-17 6.90E-17
 14  6     2.07E-17 2.85E-17 2.13E-17 4.51E-17 7.07E-17 6.39E-17 7.41E-17 7.15E-17 9.79E-17
 14  7     1.17E-17 3.65E-17 2.64E-17 5.19E-17 6.90E-17 5.96E-17 8.09E-17 7.32E-17 1.33E-16
 14  8     1.62E-17 3.12E-17 3.07E-17 5.19E-17 8.18E-17 7.66E-17 1.28E-16 1.09E-16 1.63E-16
 14  9     4.50E-18 2.58E-17 2.81E-17 7.49E-17 1.05E-16 1.11E-16 1.82E-16 1.01E-16 2.19E-16
 14 10     6.31E-18 2.58E-17 2.81E-17 7.15E-17 7.07E-17 1.70E-16 2.13E-16 1.34E-16 2.80E-16
 14 11     9.01E-19 1.87E-17 2.64E-17 4.09E-17 5.62E-17 2.21E-16 2.68E-16 1.30E-16 3.41E-16
 14 12     0.00E+00 3.56E-18 3.66E-17 4.17E-17 2.73E-17 1.86E-16 2.15E-16 1.42E-16 3.76E-16
 14 13     0.00E+00 0.00E+00 2.38E-17 1.79E-17 1.53E-17 7.83E-17 4.00E-17 1.04E-16 2.21E-16
 15        1.42E-16 8.29E-17 5.28E-17 6.48E-17 9.45E-17 2.34E-16 4.91E-16 3.03E-16 8.55E-16
 15  0     3.51E-17 2.14E-17 2.04E-17 1.11E-17 8.52E-18 4.26E-18 8.52E-18 3.41E-18 7.66E-18
 15  1     2.52E-17 1.34E-17 5.96E-18 6.81E-18 4.26E-18 7.66E-18 1.87E-17 1.11E-17 1.11E-17
 15  2     1.35E-17 8.91E-18 2.55E-18 8.52E-19 7.66E-18 6.81E-18 1.36E-17 8.52E-18 1.96E-17
 15  3     1.44E-17 4.45E-18 4.26E-18 1.70E-18 7.66E-18 1.19E-17 1.87E-17 1.45E-17 3.15E-17
 15  4     9.01E-18 5.34E-18 8.52E-19 3.41E-18 6.81E-18 1.28E-17 2.55E-17 2.47E-17 3.32E-17
 15  5     1.17E-17 6.24E-18 1.70E-18 0.00E+00 7.66E-18 1.45E-17 3.58E-17 2.64E-17 3.92E-17
 15  6     7.21E-18 2.67E-18 4.26E-18 3.41E-18 3.41E-18 1.53E-17 4.34E-17 2.38E-17 6.13E-17
 15  7     8.11E-18 5.34E-18 8.52E-19 5.11E-18 8.52E-18 1.62E-17 3.24E-17 2.13E-17 7.83E-17
 15  8     5.41E-18 2.67E-18 8.52E-19 7.66E-18 5.11E-18 1.28E-17 6.05E-17 2.81E-17 8.94E-17
