N + 7     H + 0 (1)  / receiver, donor (donor state index)
    9                / number of energies
    1                / nmin
    9                / nmax
              40.      50.      60.      70.      80.      90.     100.     125.     150.   / energies         (keV/amu)
               1.23     1.28     1.33     1.40     1.46     1.55     1.56     1.71     1.80 / alpha
           1.18D-13 5.09D-14 2.61D-14 1.35D-14 7.95D-15 4.61D-15 3.10D-15 1.20D-15 5.53D-16 / total xsects.    (cm2)
  n  l  m                                                                                   / partial xsects.  (cm2)
  8  2     2.12D-16 1.04D-16 5.46D-17 3.07D-17 1.87D-17 1.24D-17 8.93D-18 4.98D-18 3.27D-18
  8  2  0  1.49D-16 6.86D-17 3.40D-17 1.85D-17 1.13D-17 7.83D-18 5.96D-18 3.76D-18 2.60D-18
  8  2  1  2.77D-17 1.58D-17 9.21D-18 5.43D-18 3.26D-18 2.01D-18 1.28D-18 5.13D-19 2.83D-19
  8  2  2  3.75D-18 1.94D-18 1.10D-18 6.64D-19 4.26D-19 2.87D-19 2.02D-19 9.68D-20 5.38D-20
  8  3     2.15D-16 1.21D-16 7.99D-17 5.78D-17 4.38D-17 3.41D-17 2.68D-17 1.51D-17 8.69D-18
  8  3  0  1.07D-16 6.63D-17 4.75D-17 3.61D-17 2.81D-17 2.19D-17 1.72D-17 9.39D-18 5.22D-18
  8  3  1  3.82D-17 1.89D-17 1.10D-17 7.40D-18 5.52D-18 4.38D-18 3.57D-18 2.22D-18 1.39D-18
  8  3  2  1.39D-17 7.61D-18 4.65D-18 3.06D-18 2.12D-18 1.53D-18 1.13D-18 5.76D-19 3.17D-19
  8  3  3  1.86D-18 9.56D-19 5.54D-19 3.49D-19 2.34D-19 1.65D-19 1.20D-19 6.03D-20 3.32D-20
  8  4     5.03D-16 3.19D-16 2.12D-16 1.45D-16 1.00D-16 7.04D-17 5.01D-17 2.24D-17 1.06D-17
  8  4  0  2.44D-16 1.58D-16 1.04D-16 7.04D-17 4.81D-17 3.33D-17 2.33D-17 1.01D-17 4.66D-18
  8  4  1  7.81D-17 5.15D-17 3.58D-17 2.54D-17 1.82D-17 1.32D-17 9.58D-18 4.47D-18 2.18D-18
  8  4  2  4.07D-17 2.33D-17 1.44D-17 9.32D-18 6.24D-18 4.29D-18 3.01D-18 1.33D-18 6.37D-19
  8  4  3  9.47D-18 5.35D-18 3.27D-18 2.11D-18 1.42D-18 9.75D-19 6.87D-19 3.09D-19 1.51D-19
  8  4  4  1.39D-18 7.30D-19 4.24D-19 2.63D-19 1.71D-19 1.16D-19 8.05D-20 3.60D-20 1.79D-20
  8  5     9.78D-16 5.31D-16 3.03D-16 1.80D-16 1.11D-16 6.97D-17 4.49D-17 1.64D-17 6.60D-18
  8  5  0  3.82D-16 2.04D-16 1.15D-16 6.72D-17 4.07D-17 2.53D-17 1.61D-17 5.71D-18 2.25D-18
  8  5  1  1.86D-16 1.04D-16 6.10D-17 3.69D-17 2.29D-17 1.46D-17 9.45D-18 3.47D-18 1.41D-18
  8  5  2  7.71D-17 4.09D-17 2.32D-17 1.37D-17 8.43D-18 5.32D-18 3.45D-18 1.27D-18 5.18D-19
  8  5  3  2.74D-17 1.42D-17 7.90D-18 4.63D-18 2.83D-18 1.79D-18 1.16D-18 4.36D-19 1.85D-19
  8  5  4  7.08D-18 3.59D-18 1.99D-18 1.18D-18 7.30D-19 4.71D-19 3.14D-19 1.28D-19 5.99D-20
  8  5  5  9.86D-19 4.95D-19 2.74D-19 1.63D-19 1.02D-19 6.70D-20 4.55D-20 1.95D-20 9.57D-21
  8  6     8.78D-16 4.08D-16 2.04D-16 1.08D-16 5.97D-17 3.44D-17 2.05D-17 6.33D-18 2.26D-18
  8  6  0  2.72D-16 1.24D-16 6.12D-17 3.20D-17 1.75D-17 9.94D-18 5.84D-18 1.75D-18 6.00D-19
  8  6  1  1.76D-16 8.23D-17 4.13D-17 2.19D-17 1.21D-17 6.94D-18 4.12D-18 1.25D-18 4.36D-19
  8  6  2  8.17D-17 3.83D-17 1.93D-17 1.03D-17 5.74D-18 3.32D-18 1.99D-18 6.19D-19 2.22D-19
  8  6  3  2.96D-17 1.38D-17 6.89D-18 3.66D-18 2.04D-18 1.18D-18 7.09D-19 2.24D-19 8.24D-20
  8  6  4  1.11D-17 5.18D-18 2.65D-18 1.46D-18 8.48D-19 5.18D-19 3.30D-19 1.23D-19 5.40D-20
  8  6  5  4.12D-18 1.96D-18 1.04D-18 5.92D-19 3.60D-19 2.30D-19 1.53D-19 6.31D-20 3.00D-20
  8  6  6  5.97D-19 2.90D-19 1.58D-19 9.25D-20 5.76D-20 3.76D-20 2.55D-20 1.09D-20 5.37D-21
  8  7     3.39D-16 1.40D-16 6.40D-17 3.14D-17 1.64D-17 9.05D-18 5.22D-18 1.56D-18 5.62D-19
  8  7  0  7.92D-17 3.21D-17 1.43D-17 6.85D-18 3.49D-18 1.87D-18 1.05D-18 2.88D-19 9.55D-20
  8  7  1  6.07D-17 2.48D-17 1.11D-17 5.34D-18 2.72D-18 1.45D-18 8.09D-19 2.19D-19 7.08D-20
  8  7  2  3.53D-17 1.48D-17 6.77D-18 3.34D-18 1.75D-18 9.64D-19 5.56D-19 1.65D-19 5.93D-20
  8  7  3  1.64D-17 6.79D-18 3.10D-18 1.53D-18 8.05D-19 4.47D-19 2.60D-19 7.96D-20 2.97D-20
  8  7  4  9.74D-18 4.20D-18 2.02D-18 1.05D-18 5.80D-19 3.39D-19 2.06D-19 6.95D-20 2.76D-20
  8  7  5  5.66D-18 2.61D-18 1.34D-18 7.49D-19 4.45D-19 2.77D-19 1.80D-19 6.96D-20 3.10D-20
  8  7  6  1.71D-18 8.15D-19 4.37D-19 2.53D-19 1.56D-19 1.01D-19 6.74D-20 2.80D-20 1.33D-20
  8  7  7  1.96D-19 9.51D-20 5.18D-20 3.06D-20 1.92D-20 1.26D-20 8.62D-21 3.73D-21 1.83D-21
  9        2.82D-15 1.47D-15 8.30D-16 4.98D-16 3.14D-16 2.05D-16 1.39D-16 5.82D-17 2.76D-17
  9  0     2.30D-17 1.04D-17 5.79D-18 3.90D-18 2.96D-18 2.36D-18 1.92D-18 1.13D-18 6.41D-19
  9  1     9.68D-17 6.00D-17 3.81D-17 2.44D-17 1.57D-17 1.02D-17 6.64D-18 2.42D-18 1.00D-18
  9  1  0  8.79D-17 5.50D-17 3.49D-17 2.22D-17 1.41D-17 8.99D-18 5.77D-18 2.01D-18 8.05D-19
  9  1  1  4.47D-18 2.49D-18 1.59D-18 1.10D-18 7.95D-19 5.84D-19 4.32D-19 2.05D-19 9.90D-20
