   5000    /W + 44 EMISSIVITY COEFFTS./
 6.24E-12 1.23E-11 1.29E-11 1.14E-11 8.34E-12 6.30E-12 4.67E-12
 6.23E-12 1.22E-11 1.29E-11 1.13E-11 8.31E-12 6.28E-12 4.66E-12
  26.690 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   17
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 1.48E-15 6.75E-13 4.33E-12 9.41E-12 1.22E-11 1.13E-11 9.42E-12
 1.48E-15 6.75E-13 4.33E-12 9.41E-12 1.22E-11 1.13E-11 9.41E-12
 1.47E-15 6.72E-13 4.31E-12 9.37E-12 1.21E-11 1.13E-11 9.39E-12
  49.121 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   18
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 1.24E-14 4.56E-13 2.60E-12 6.25E-12 9.14E-12 9.15E-12 8.14E-12
 1.28E-14 4.57E-13 2.60E-12 6.25E-12 9.14E-12 9.15E-12 8.14E-12
 5.46E-14 5.34E-13 2.67E-12 6.30E-12 9.16E-12 9.16E-12 8.14E-12
  14.377 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   19
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 3.38E-13 3.87E-12 7.41E-12 9.01E-12 8.35E-12 6.96E-12 5.45E-12
 3.38E-13 3.87E-12 7.41E-12 9.00E-12 8.35E-12 6.96E-12 5.45E-12
 3.38E-13 3.85E-12 7.38E-12 8.97E-12 8.32E-12 6.93E-12 5.43E-12
  43.927 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   20
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 3.90E-12 7.68E-12 8.08E-12 7.12E-12 5.21E-12 3.94E-12 2.92E-12
 3.90E-12 7.68E-12 8.08E-12 7.12E-12 5.21E-12 3.94E-12 2.92E-12
 3.90E-12 7.66E-12 8.05E-12 7.09E-12 5.20E-12 3.93E-12 2.92E-12
  17.473 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   21
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 3.21E-16 2.75E-13 2.18E-12 5.26E-12 7.31E-12 6.98E-12 5.94E-12
 3.21E-16 2.75E-13 2.18E-12 5.26E-12 7.31E-12 6.98E-12 5.94E-12
 3.20E-16 2.74E-13 2.17E-12 5.24E-12 7.28E-12 6.95E-12 5.93E-12
   4.679 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   22
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 3.32E-17 7.21E-14 8.63E-13 2.76E-12 5.19E-12 6.30E-12 6.82E-12
 3.32E-17 7.21E-14 8.63E-13 2.76E-12 5.19E-12 6.30E-12 6.82E-12
 3.31E-17 7.19E-14 8.59E-13 2.75E-12 5.17E-12 6.28E-12 6.80E-12
  69.688 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   23
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 2.28E-15 1.86E-13 1.33E-12 3.30E-12 4.78E-12 4.73E-12 4.16E-12
 1.15E-14 2.10E-13 1.36E-12 3.32E-12 4.80E-12 4.74E-12 4.17E-12
 9.85E-13 2.68E-12 4.20E-12 6.02E-12 6.79E-12 6.13E-12 5.06E-12
  19.014 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   24
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 6.93E-16 2.41E-13 1.77E-12 4.33E-12 6.18E-12 6.03E-12 5.21E-12
 6.95E-16 2.41E-13 1.77E-12 4.33E-12 6.18E-12 6.03E-12 5.21E-12
 9.38E-16 2.43E-13 1.77E-12 4.32E-12 6.16E-12 6.01E-12 5.20E-12
  11.863 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   25
 1.00E+12 1.00E+13 1.00E+15
