SEQ='NE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 676174037.2   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)   827428.5 

   IC RESOLVED LEVEL INDEXING           BWNR= 710508777.7   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   118     1    2S2 2P5 6P1         (3)0( 1.0) 30857628.1 
   119     1    2S2 2P5 6P1         (3)2( 2.0) 30859341.7 
   120     1    2S2 2P5 6P1         (3)2( 3.0) 30882094.9 
   121     1    2S2 2P5 6P1         (1)1( 1.0) 30882540.0 
   122     1    2S2 2P5 6P1         (3)1( 2.0) 30886340.6 
   123     1    2S2 2P5 6P1         (1)0( 0.0) 30903510.4 
   124     1    2S2 2P5 6D1         (3)1( 0.0) 30948909.5 
   125     1    2S2 2P5 6D1         (3)1( 1.0) 30951979.9 
   126     1    2S2 2P5 6D1         (3)3( 3.0) 30954632.7 
   127     1    2S2 2P5 6D1         (3)2( 2.0) 30956157.8 
   128     1    2S2 2P5 6D1         (3)3( 4.0) 30959532.6 
   129     1    2S2 2P5 6D1         (1)2( 2.0) 30961692.3 
   130     1    2S2 2P5 6D1         (3)2( 3.0) 30965163.3 
   131     1    2S2 2P5 6D1         (1)1( 1.0) 30976831.5 
   132     1    2S2 2P5 6F1         (3)2( 1.0) 30998642.3 
   133     1    2S2 2P5 6F1         (3)4( 4.0) 31000768.0 
   134     1    2S2 2P5 6F1         (3)2( 2.0) 31000999.2 
   135     1    2S2 2P5 6F1         (3)3( 3.0) 31003153.9 
   136     1    2S2 2P5 6F1         (3)4( 5.0) 31003443.2 
   137     1    2S2 2P5 6F1         (1)3( 3.0) 31005352.7 
   138     1    2S2 2P5 6F1         (1)2( 2.0) 31005605.2 
   139     1    2S2 2P5 6F1         (3)3( 4.0) 31006793.3 
   140     1    2S2 2P5 6G1         (1)*( 2.0) 31011547.9 
   141     1    2S2 2P5 6G1         (1)*( 3.0) 31011547.9 
   142     1    2S2 2P5 6G1         (1)*( 4.0) 31011547.9 
   143     1    2S2 2P5 6G1         (1)*( 5.0) 31011547.9 
   144     1    2S2 2P5 6G1         (1)*( 3.0) 31011547.9 
   145     1    2S2 2P5 6G1         (1)*( 4.0) 31011547.9 
   146     1    2S2 2P5 6G1         (1)*( 5.0) 31011547.9 
   147     1    2S2 2P5 6G1         (1)*( 6.0) 31011547.9 
   148     1    2S2 2P5 6H1         (1)*( 3.0) 31013309.1 
   149     1    2S2 2P5 6H1         (1)*( 4.0) 31013309.1 
   150     1    2S2 2P5 6H1         (1)*( 5.0) 31013309.1 
   151     1    2S2 2P5 6H1         (1)*( 6.0) 31013309.1 
   152     1    2S2 2P5 6H1         (1)*( 4.0) 31013309.1 
   153     1    2S2 2P5 6H1         (1)*( 5.0) 31013309.1 
   154     1    2S2 2P5 6H1         (1)*( 6.0) 31013309.1 
   155     1    2S2 2P5 6H1         (1)*( 7.0) 31013309.1 
   156     2    2S2 2P5 6S1         (3)1( 0.0) 31623480.3 
   157     2    2S2 2P5 6S1         (3)1( 1.0) 31624896.4 
   158     2    2S2 2P5 6P1         (3)2( 1.0) 31685545.9 
   159     2    2S2 2P5 6P1         (3)1( 0.0) 31698024.8 
   160     2    2S2 2P5 6P1         (3)1( 1.0) 31710304.6 
   161     2    2S2 2P5 6P1         (1)2( 2.0) 31711517.9 
   162     1    2S2 2P5 7S1         (3)1( 2.0) 31758771.4 
   163     1    2S2 2P5 7S1         (1)1( 1.0) 31760490.2 
   164     2    2S2 2P5 6D1         (3)3( 2.0) 31781067.9 
   165     2    2S2 2P5 6D1         (3)1( 2.0) 31788336.2 
   166     2    2S2 2P5 6D1         (1)3( 3.0) 31789953.4 
   167     2    2S2 2P5 6D1         (3)2( 1.0) 31790781.6 
   168     1    2S2 2P5 7P1         (3)0( 1.0) 31797191.4 
   169     1    2S2 2P5 7P1         (3)2( 2.0) 31798233.7 
   170     1    2S2 2P5 7P1         (3)2( 3.0) 31812482.9 
   171     1    2S2 2P5 7P1         (1)1( 1.0) 31812754.4 
   172     1    2S2 2P5 7P1         (3)1( 2.0) 31815087.2 
   173     1    2S2 2P5 7P1         (1)0( 0.0) 31825510.3 
   174     2    2S2 2P5 6F1         (3)4( 3.0) 31828649.3 
   175     2    2S2 2P5 6F1         (3)3( 2.0) 31830055.4 
   176     2    2S2 2P5 6F1         (3)2( 3.0) 31831954.1 
   177     2    2S2 2P5 6F1         (1)4( 4.0) 31832327.9 
   178     2    2S2 2P5 6G1         (1)*( 3.0) 31838976.5 
   179     2    2S2 2P5 6G1         (1)*( 4.0) 31838976.5 
   180     2    2S2 2P5 6G1         (1)*( 4.0) 31838976.5 
   181     2    2S2 2P5 6G1         (1)*( 5.0) 31838976.5 
   182     2    2S2 2P5 6H1         (1)*( 4.0) 31840737.6 
   183     2    2S2 2P5 6H1         (1)*( 5.0) 31840737.6 
   184     2    2S2 2P5 6H1         (1)*( 5.0) 31840737.6 
   185     2    2S2 2P5 6H1         (1)*( 6.0) 31840737.6 
   186     1    2S2 2P5 7D1         (3)1( 0.0) 31853921.2 
   187     1    2S2 2P5 7D1         (3)1( 1.0) 31855820.7 
   188     1    2S2 2P5 7D1         (3)3( 3.0) 31857440.7 
   189     1    2S2 2P5 7D1         (3)2( 2.0) 31858379.7 
   190     1    2S2 2P5 7D1         (3)3( 4.0) 31860551.2 
   191     1    2S2 2P5 7D1         (1)2( 2.0) 31861876.1 
   192     1    2S2 2P5 7D1         (3)2( 3.0) 31864011.0 
   193     1    2S2 2P5 7D1         (1)1( 1.0) 31871171.3 
   194     1    2S2 2P5 7F1         (3)2( 1.0) 31884835.7 
   195     1    2S2 2P5 7F1         (3)4( 4.0) 31886176.7 
   196     1    2S2 2P5 7F1         (3)2( 2.0) 31886308.0 
   197     1    2S2 2P5 7F1         (3)3( 3.0) 31887639.5 
   198     1    2S2 2P5 7F1         (3)4( 5.0) 31887848.0 
   199     1    2S2 2P5 7F1         (1)3( 3.0) 31889034.7 
   200     1    2S2 2P5 7F1         (1)2( 2.0) 31889290.7 
   201     1    2S2 2P5 7F1         (3)3( 4.0) 31889938.3 
   202     1    2S2 2P5 7G1         (1)*( 2.0) 31893593.2 
   203     1    2S2 2P5 7G1         (1)*( 3.0) 31893593.2 
   204     1    2S2 2P5 7G1         (1)*( 4.0) 31893593.2 
   205     1    2S2 2P5 7G1         (1)*( 5.0) 31893593.2 
   206     1    2S2 2P5 7G1         (1)*( 3.0) 31893593.2 
   207     1    2S2 2P5 7G1         (1)*( 4.0) 31893593.2 
   208     1    2S2 2P5 7G1         (1)*( 5.0) 31893593.2 
   209     1    2S2 2P5 7G1         (1)*( 6.0) 31893593.2 
   210     1    2S2 2P5 7H1         (1)*( 3.0) 31894702.0 
   211     1    2S2 2P5 7H1         (1)*( 4.0) 31894702.0 
   212     1    2S2 2P5 7H1         (1)*( 5.0) 31894702.0 
   213     1    2S2 2P5 7H1         (1)*( 6.0) 31894702.0 
   214     1    2S2 2P5 7H1         (1)*( 4.0) 31894702.0 
   215     1    2S2 2P5 7H1         (1)*( 5.0) 31894702.0 
   216     1    2S2 2P5 7H1         (1)*( 6.0) 31894702.0 
   217     1    2S2 2P5 7H1         (1)*( 7.0) 31894702.0 
   218     1    2S2 2P5 7I1         (1)*( 4.0) 31895197.3 
   219     1    2S2 2P5 7I1         (1)*( 5.0) 31895197.3 
   220     1    2S2 2P5 7I1         (1)*( 6.0) 31895197.3 
   221     1    2S2 2P5 7I1         (1)*( 7.0) 31895197.3 
   222     1    2S2 2P5 7I1         (1)*( 5.0) 31895197.3 
   223     1    2S2 2P5 7I1         (1)*( 6.0) 31895197.3 
   224     1    2S2 2P5 7I1         (1)*( 7.0) 31895197.3 
   225     1    2S2 2P5 7I1         (1)*( 8.0) 31895197.3 
   226     1    2S2 2P5 8S1         (3)1( 2.0) 32376044.6 
   227     1    2S2 2P5 8S1         (1)1( 1.0) 32377171.8 
   228     1    2S2 2P5 8P1         (3)0( 1.0) 32401597.8 
   229     1    2S2 2P5 8P1         (3)2( 2.0) 32402280.4 
   230     1    2S2 2P5 8P1         (3)2( 3.0) 32411786.4 
   231     1    2S2 2P5 8P1         (1)1( 1.0) 32411964.1 
   232     1    2S2 2P5 8P1         (3)1( 2.0) 32413500.3 
   233     1    2S2 2P5 8P1         (1)0( 0.0) 32420315.6 
   234     1    2S2 2P5 8D1         (3)1( 0.0) 32439260.8 
   235     1    2S2 2P5 8D1         (3)1( 1.0) 32440518.1 
   236     1    2S2 2P5 8D1         (3)3( 3.0) 32441581.9 
   237     1    2S2 2P5 8D1         (3)2( 2.0) 32442201.4 
   238     1    2S2 2P5 8D1         (3)3( 4.0) 32443675.8 
   239     1    2S2 2P5 8D1         (1)2( 2.0) 32444548.0 
   240     1    2S2 2P5 8D1         (3)2( 3.0) 32445956.5 
   241     1    2S2 2P5 8D1         (1)1( 1.0) 32450671.4 
   242     1    2S2 2P5 8F1         (3)2( 1.0) 32459795.5 
   243     1    2S2 2P5 8F1         (3)4( 4.0) 32460694.4 
   244     1    2S2 2P5 8F1         (3)2( 2.0) 32460776.4 
   245     1    2S2 2P5 8F1         (3)3( 3.0) 32461657.4 
   246     1    2S2 2P5 8F1         (3)4( 5.0) 32461808.7 
   247     1    2S2 2P5 8F1         (1)3( 3.0) 32462596.6 
   248     1    2S2 2P5 8F1         (1)2( 2.0) 32462807.7 
   249     1    2S2 2P5 8F1         (3)3( 4.0) 32463200.2 
   250     1    2S2 2P5 8G1         (1)*( 2.0) 32465956.3 
   251     1    2S2 2P5 8G1         (1)*( 3.0) 32465956.3 
   252     1    2S2 2P5 8G1         (1)*( 4.0) 32465956.3 
   253     1    2S2 2P5 8G1         (1)*( 5.0) 32465956.3 
   254     1    2S2 2P5 8G1         (1)*( 3.0) 32465956.3 
   255     1    2S2 2P5 8G1         (1)*( 4.0) 32465956.3 
   256     1    2S2 2P5 8G1         (1)*( 5.0) 32465956.3 
   257     1    2S2 2P5 8G1         (1)*( 6.0) 32465956.3 
   258     1    2S2 2P5 8H1         (1)*( 3.0) 32466699.1 
   259     1    2S2 2P5 8H1         (1)*( 4.0) 32466699.1 
   260     1    2S2 2P5 8H1         (1)*( 5.0) 32466699.1 
   261     1    2S2 2P5 8H1         (1)*( 6.0) 32466699.1 
   262     1    2S2 2P5 8H1         (1)*( 4.0) 32466699.1 
   263     1    2S2 2P5 8H1         (1)*( 5.0) 32466699.1 
   264     1    2S2 2P5 8H1         (1)*( 6.0) 32466699.1 
   265     1    2S2 2P5 8H1         (1)*( 7.0) 32466699.1 
   266     1    2S2 2P5 8I1         (1)*( 4.0) 32467030.8 
   267     1    2S2 2P5 8I1         (1)*( 5.0) 32467030.8 
   268     1    2S2 2P5 8I1         (1)*( 6.0) 32467030.8 
   269     1    2S2 2P5 8I1         (1)*( 7.0) 32467030.8 
   270     1    2S2 2P5 8I1         (1)*( 5.0) 32467030.8 
   271     1    2S2 2P5 8I1         (1)*( 6.0) 32467030.8 
   272     1    2S2 2P5 8I1         (1)*( 7.0) 32467030.8 
   273     1    2S2 2P5 8I1         (1)*( 8.0) 32467030.8 
   274     1    2S2 2P5 8J1         (1)*( 5.0) 32467200.4 
   275     1    2S2 2P5 8J1         (1)*( 6.0) 32467200.4 
   276     1    2S2 2P5 8J1         (1)*( 7.0) 32467200.4 
   277     1    2S2 2P5 8J1         (1)*( 8.0) 32467200.4 
   278     1    2S2 2P5 8J1         (1)*( 6.0) 32467200.4 
   279     1    2S2 2P5 8J1         (1)*( 7.0) 32467200.4 
   280     1    2S2 2P5 8J1         (1)*( 8.0) 32467200.4 
   281     1    2S2 2P5 8J1         (1)*( 9.0) 32467200.4 
   282     2    2S2 2P5 7S1         (3)1( 0.0) 32586199.9 
   283     2    2S2 2P5 7S1         (3)1( 1.0) 32587062.0 
   284     2    2S2 2P5 7P1         (3)2( 1.0) 32624908.0 
   285     2    2S2 2P5 7P1         (3)1( 0.0) 32632439.7 
   286     2    2S2 2P5 7P1         (3)1( 1.0) 32640383.5 
   287     2    2S2 2P5 7P1         (1)2( 2.0) 32641134.0 
   288     2    2S2 2P5 7D1         (3)3( 2.0) 32684251.2 
   289     2    2S2 2P5 7D1         (3)1( 2.0) 32688817.6 
   290     2    2S2 2P5 7D1         (1)3( 3.0) 32689818.2 
   291     2    2S2 2P5 7D1         (3)2( 1.0) 32690172.9 
   292     2    2S2 2P5 7F1         (3)4( 3.0) 32713864.3 
   293     2    2S2 2P5 7F1         (3)3( 2.0) 32714790.8 
   294     2    2S2 2P5 7F1         (3)2( 3.0) 32715946.4 
   295     2    2S2 2P5 7F1         (1)4( 4.0) 32716195.1 
   296     2    2S2 2P5 7G1         (1)*( 3.0) 32721021.7 
   297     2    2S2 2P5 7G1         (1)*( 4.0) 32721021.7 
   298     2    2S2 2P5 7G1         (1)*( 4.0) 32721021.7 
   299     2    2S2 2P5 7G1         (1)*( 5.0) 32721021.7 
   300     2    2S2 2P5 7H1         (1)*( 4.0) 32722130.6 
   301     2    2S2 2P5 7H1         (1)*( 5.0) 32722130.6 
   302     2    2S2 2P5 7H1         (1)*( 5.0) 32722130.6 
   303     2    2S2 2P5 7H1         (1)*( 6.0) 32722130.6 
   304     2    2S2 2P5 7I1         (1)*( 5.0) 32722625.8 
   305     2    2S2 2P5 7I1         (1)*( 6.0) 32722625.8 
   306     2    2S2 2P5 7I1         (1)*( 6.0) 32722625.8 
   307     2    2S2 2P5 7I1         (1)*( 7.0) 32722625.8 
   308     2    2S2 2P5 8S1         (3)1( 0.0) 33203473.2 
   309     2    2S2 2P5 8S1         (3)1( 1.0) 33204037.9 
   310     2    2S2 2P5 8P1         (3)2( 1.0) 33229211.2 
   311     2    2S2 2P5 8P1         (3)1( 0.0) 33234122.7 
   312     2    2S2 2P5 8P1         (3)1( 1.0) 33239522.9 
   313     2    2S2 2P5 8P1         (1)2( 2.0) 33240019.3 
   314     2    2S2 2P5 8D1         (3)3( 2.0) 33268599.9 
   315     2    2S2 2P5 8D1         (3)1( 2.0) 33271654.1 
   316     2    2S2 2P5 8D1         (1)3( 3.0) 33272316.4 
   317     2    2S2 2P5 8D1         (3)2( 1.0) 33272486.5 
   318     2    2S2 2P5 8F1         (3)4( 3.0) 33288285.7 
   319     2    2S2 2P5 8F1         (3)3( 2.0) 33288922.8 
   320     2    2S2 2P5 8F1         (3)2( 3.0) 33289680.9 
   321     2    2S2 2P5 8F1         (1)4( 4.0) 33289852.8 
   322     2    2S2 2P5 8G1         (1)*( 3.0) 33293384.9 
   323     2    2S2 2P5 8G1         (1)*( 4.0) 33293384.9 
   324     2    2S2 2P5 8G1         (1)*( 4.0) 33293384.9 
   325     2    2S2 2P5 8G1         (1)*( 5.0) 33293384.9 
   326     2    2S2 2P5 8H1         (1)*( 4.0) 33294127.6 
   327     2    2S2 2P5 8H1         (1)*( 5.0) 33294127.6 
   328     2    2S2 2P5 8H1         (1)*( 5.0) 33294127.6 
   329     2    2S2 2P5 8H1         (1)*( 6.0) 33294127.6 
   330     2    2S2 2P5 8I1         (1)*( 5.0) 33294459.4 
   331     2    2S2 2P5 8I1         (1)*( 6.0) 33294459.4 
   332     2    2S2 2P5 8I1         (1)*( 6.0) 33294459.4 
   333     2    2S2 2P5 8I1         (1)*( 7.0) 33294459.4 
   334     2    2S2 2P5 8J1         (1)*( 6.0) 33294628.9 
   335     2    2S2 2P5 8J1         (1)*( 7.0) 33294628.9 
   336     2    2S2 2P5 8J1         (1)*( 7.0) 33294628.9 
   337     2    2S2 2P5 8J1         (1)*( 8.0) 33294628.9 

   NL-SHELL INDEXING                     NLREP= 55
   -----------------
   ILREP   N   L
   -----   -   -
     1     1   0
     2     2   0
     3     2   1
     4     3   0
     5     3   1
     6     3   2
     7     4   0
     8     4   1
     9     4   2
    10     4   3
    11     5   0
    12     5   1
    13     5   2
    14     5   3
    15     5   4
    16     6   0
    17     6   1
    18     6   2
    19     6   3
    20     6   4
    21     6   5
    22     7   0
    23     7   1
    24     7   2
    25     7   3
    26     7   4
    27     7   5
    28     7   6
    29     8   0
    30     8   1
    31     8   2
    32     8   3
    33     8   4
    34     8   5
    35     8   6
    36     8   7
    37     9   0
    38     9   1
    39     9   2
    40     9   3
    41     9   4
    42     9   5
    43     9   6
    44     9   7
    45     9   8
    46    10   0
    47    10   1
    48    10   2
    49    10   3
    50    10   4
    51    10   5
    52    10   6
    53    10   7
    54    10   8
    55    10   9

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   INREP   N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
