SEQ='C '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 523528949.8   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   149     8    2S1 2P2 3D1         (3)0( 1.0) 26746386.0 
   150     8    2S1 2P2 3D1         (1)3( 3.0) 26749342.3 
   151    11    2P3 3P1             (3)2( 2.0) 26751526.4 
   152     8    2S1 2P2 3D1         (1)2( 2.0) 26779425.0 
   153    10    2S1 2P2 3P1         (1)1( 1.0) 26812406.0 
   154    11    2P3 3P1             (3)1( 0.0) 26847413.4 
   155     9    2S1 2P2 3D1         (1)1( 1.0) 26982415.9 
   156    11    2P3 3D1             (3)3( 3.0) 27001202.6 
   157     9    2S1 2P2 3D1         (3)3( 3.0) 27029392.6 
   158     9    2S1 2P2 3D1         (3)2( 2.0) 27034470.7 
   159     9    2S1 2P2 3D1         (3)2( 2.0) 27046739.1 
   160    10    2S1 2P2 3D1         (3)3( 4.0) 27051101.6 
   161    10    2S1 2P2 3D1         (3)2( 1.0) 27059481.4 
   162    11    2P3 3D1             (3)3( 4.0) 27066758.9 
   163    10    2S1 2P2 3D1         (3)2( 3.0) 27066827.0 
   164    10    2S1 2P2 3D1         (3)1( 0.0) 27089841.8 
   165    12    2P3 3P1             (5)1( 1.0) 27112890.2 
   166    11    2P3 3D1             (3)2( 2.0) 27113897.5 
   167    10    2S1 2P2 3D1         (1)3( 3.0) 27117362.9 
   168    10    2S1 2P2 3D1         (1)2( 2.0) 27121778.3 
   169    10    2S1 2P2 3D1         (3)1( 1.0) 27139284.2 
   170    12    2P3 3P1             (3)3( 2.0) 27165248.7 
   171    14    2P3 3S1             (3)1( 0.0) 27170436.6 
   172    14    2P3 3S1             (3)1( 1.0) 27187985.0 
   173    11    2P3 3D1             (3)4( 3.0) 27204483.8 
   174    11    2P3 3D1             (3)2( 1.0) 27231971.0 
   175    10    2S1 2P2 3D1         (1)2( 2.0) 27232769.3 
   176    12    2P3 3P1             (3)1( 2.0) 27376386.0 
   177    12    2P3 3P1             (3)1( 0.0) 27387497.2 
   178    13    2P3 3P1             (3)1( 2.0) 27415177.6 
   179    13    2P3 3P1             (3)2( 1.0) 27514274.7 
   180    14    2P3 3P1             (3)1( 1.0) 27615542.9 
   181    14    2P3 3P1             (3)1( 0.0) 27666727.4 
   182    13    2P3 3P1             (1)2( 2.0) 27693919.7 
   183    12    2P3 3D1             (3)3( 2.0) 27730844.9 
   184    12    2P3 3D1             (5)2( 3.0) 27768830.9 
   185    14    2P3 3P1             (3)0( 1.0) 27773641.7 
   186    12    2P3 3D1             (3)2( 3.0) 27800664.7 
   187    13    2P3 3D1             (3)4( 4.0) 27873777.7 
   188    12    2P3 3D1             (3)2( 1.0) 27885663.4 
   189    15    2P3 3S1             (3)1( 2.0) 27930340.1 
   190    13    2P3 3D1             (3)3( 4.0) 27934404.1 
   191    13    2P3 3D1             (3)2( 3.0) 27945079.8 
   192    15    2P3 3S1             (1)1( 1.0) 27960346.5 
   193    13    2P3 3D1             (3)2( 2.0) 27991831.9 
   194    13    2P3 3D1             (1)3( 3.0) 28098306.8 
   195    14    2P3 3D1             (3)3( 2.0) 28138157.9 
   196    14    2P3 3D1             (3)2( 2.0) 28214355.8 
   197    14    2P3 3D1             (3)2( 1.0) 28233688.1 
   198    15    2P3 3P1             (1)1( 1.0) 28484862.5 
   199    15    2P3 3P1             (1)0( 0.0) 28783218.7 
   200    15    2P3 3D1             (1)2( 2.0) 28955303.4 
   201    15    2P3 3D1             (1)1( 1.0) 29135782.2 
   202     1    2S2 2P1 4S1         (3)1( 0.0) 31074413.8 
   203     1    2S2 2P1 4S1         (3)1( 1.0) 31080377.1 
   204     1    2S2 2P1 4P1         (3)2( 1.0) 31212311.6 
   205     1    2S2 2P1 4P1         (3)1( 0.0) 31265271.7 
   206     1    2S2 2P1 4P1         (3)0( 1.0) 31336084.9 
   207     1    2S2 2P1 4P1         (3)2( 2.0) 31340778.6 
   208     1    2S2 2P1 4D1         (3)3( 2.0) 31453955.7 
   209     1    2S2 2P1 4D1         (3)2( 1.0) 31495912.0 
   210     1    2S2 2P1 4D1         (3)2( 2.0) 31509550.3 
   211     1    2S2 2P1 4D1         (3)2( 3.0) 31515528.0 
   212     1    2S2 2P1 4F1         (3)4( 3.0) 31587032.3 
   213     1    2S2 2P1 4F1         (3)2( 2.0) 31591668.3 
   214     1    2S2 2P1 4F1         (3)2( 3.0) 31604966.1 
   215     1    2S2 2P1 4F1         (3)3( 4.0) 31606301.1 
   216     2    2S1 2P2 4S1         (5)1( 1.0) 31952288.3 
   217     3    2S2 2P1 4S1         (3)1( 2.0) 31963036.3 
   218     3    2S2 2P1 4S1         (1)1( 1.0) 31975210.3 
   219     2    2S1 2P2 4S1         (3)1( 0.0) 31998152.8 
   220     2    2S1 2P2 4P1         (5)2( 0.0) 32094838.9 
   221     2    2S1 2P2 4P1         (5)2( 1.0) 32099618.5 
   222     3    2S2 2P1 4P1         (3)1( 1.0) 32120434.8 
   223     3    2S2 2P1 4P1         (1)2( 2.0) 32126307.4 
   224     3    2S2 2P1 4P1         (3)2( 3.0) 32206459.8 
   225     3    2S2 2P1 4P1         (1)1( 1.0) 32207356.1 
   226     2    2S1 2P2 4P1         (5)1( 2.0) 32215902.4 
   227     2    2S1 2P2 4P1         (3)2( 1.0) 32232128.9 
   228     3    2S2 2P1 4P1         (3)1( 2.0) 32245713.4 
   229     3    2S2 2P1 4P1         (1)0( 0.0) 32282132.6 
   230     2    2S1 2P2 4D1         (5)3( 1.0) 32330316.2 
   231     2    2S1 2P2 4D1         (5)2( 2.0) 32340625.6 
   232     3    2S2 2P1 4D1         (1)2( 2.0) 32353607.1 
   233     3    2S2 2P1 4D1         (3)3( 3.0) 32366557.7 
   234     3    2S2 2P1 4D1         (3)1( 1.0) 32373036.3 
   235     3    2S2 2P1 4D1         (3)1( 0.0) 32373403.8 
   236     3    2S2 2P1 4D1         (3)3( 4.0) 32373706.3 
   237     2    2S1 2P2 4D1         (5)1( 3.0) 32384936.1 
   238     3    2S2 2P1 4D1         (3)1( 2.0) 32392576.5 
   239     2    2S1 2P2 4D1         (3)3( 2.0) 32419031.3 
   240     3    2S2 2P1 4D1         (1)3( 3.0) 32421932.5 
   241     3    2S2 2P1 4D1         (1)1( 1.0) 32432570.8 
   242     2    2S1 2P2 4F1         (5)4( 2.0) 32459188.0 
   243     2    2S1 2P2 4F1         (3)2( 3.0) 32461974.8 
   244     3    2S2 2P1 4F1         (3)3( 3.0) 32469073.3 
