SEQ='N '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 564544527.3   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   128    11    2S1 2P3 3P1         (4)1( 0.5) 25037815.7 
   129     8    2S1 2P3 3D1         (4)3( 3.5) 25043473.0 
   130    12    2S1 2P3 3P1         (4)1( 1.5) 25048572.3 
   131    12    2S1 2P3 3P1         (4)1( 2.5) 25053538.6 
   132     8    2S1 2P3 3D1         (4)4( 4.5) 25065199.9 
   133    12    2S1 2P3 3P1         (2)1( 0.5) 25077921.1 
   134    12    2S1 2P3 3P1         (2)2( 1.5) 25084111.4 
   135     8    2S1 2P3 3D1         (2)4( 3.5) 25107631.7 
   136    12    2S1 2P3 3P1         (2)2( 2.5) 25175503.6 
   137    13    2S1 2P3 3P1         (2)0( 0.5) 25191506.5 
   138     8    2S1 2P3 3D1         (2)1( 0.5) 25195082.0 
   139    13    2S1 2P3 3P1         (4)2( 2.5) 25202379.5 
   140    13    2S1 2P3 3P1         (2)1( 1.5) 25209720.5 
   141     8    2S1 2P3 3D1         (4)1( 2.5) 25214919.7 
   142     9    2S1 2P3 3D1         (4)3( 4.5) 25223003.9 
   143     8    2S1 2P3 3D1         (2)2( 1.5) 25237555.0 
   144     9    2S1 2P3 3D1         (4)2( 3.5) 25260450.3 
   145    13    2S1 2P3 3P1         (2)0( 0.5) 25285882.8 
   146     9    2S1 2P3 3D1         (4)2( 2.5) 25288160.9 
   147     9    2S1 2P3 3D1         (2)4( 4.5) 25298422.2 
   148    13    2S1 2P3 3P1         (2)1( 1.5) 25306430.3 
   149     9    2S1 2P3 3D1         (4)1( 1.5) 25310417.7 
   150     9    2S1 2P3 3D1         (2)0( 0.5) 25361343.1 
   151     9    2S1 2P3 3D1         (2)1( 1.5) 25414332.2 
   152    10    2S1 2P3 3D1         (4)3( 1.5) 25427245.7 
   153     9    2S1 2P3 3D1         (2)3( 3.5) 25430787.1 
   154     9    2S1 2P3 3D1         (2)2( 2.5) 25440343.9 
   155    10    2S1 2P3 3D1         (4)3( 2.5) 25491433.5 
   156    11    2S1 2P3 3D1         (4)2( 0.5) 25498142.3 
   157    11    2S1 2P3 3D1         (4)2( 1.5) 25526597.1 
   158    15    2S1 2P3 3S1         (2)1( 1.5) 25526753.7 
   159    11    2S1 2P3 3D1         (4)2( 2.5) 25533818.6 
   160    11    2S1 2P3 3D1         (4)4( 3.5) 25549796.5 
   161    11    2S1 2P3 3D1         (2)2( 1.5) 25587751.0 
   162    11    2S1 2P3 3D1         (2)2( 2.5) 25590887.8 
   163    12    2S1 2P3 3D1         (2)4( 3.5) 25592365.0 
   164    14    2S1 2P3 3P1         (4)1( 1.5) 25628845.0 
   165    12    2S1 2P3 3D1         (4)2( 2.5) 25634889.5 
   166    14    2S1 2P3 3P1         (2)2( 2.5) 25656513.5 
   167    12    2S1 2P3 3D1         (2)1( 0.5) 25678819.1 
   168    12    2S1 2P3 3D1         (2)2( 2.5) 25679410.2 
   169    12    2S1 2P3 3D1         (2)3( 3.5) 25681817.1 
   170    12    2S1 2P3 3D1         (2)1( 1.5) 25690017.4 
   171    16    2P4 3S1             (4)1( 2.5) 25693678.0 
   172    12    2S1 2P3 3D1         (2)2( 1.5) 25696962.9 
   173    13    2S1 2P3 3D1         (4)3( 3.5) 25711016.6 
   174    12    2S1 2P3 3D1         (4)2( 0.5) 25715615.2 
   175    13    2S1 2P3 3D1         (2)0( 0.5) 25726379.4 
   176    13    2S1 2P3 3D1         (2)3( 2.5) 25734225.1 
   177    16    2P4 3S1             (2)1( 1.5) 25741676.6 
   178    13    2S1 2P3 3D1         (2)2( 1.5) 25755015.3 
   179    13    2S1 2P3 3D1         (2)1( 1.5) 25789056.9 
   180    14    2S1 2P3 3P1         (2)1( 1.5) 25815621.3 
   181    13    2S1 2P3 3D1         (2)3( 2.5) 25827349.5 
   182    14    2S1 2P3 3P1         (4)1( 2.5) 25833366.2 
   183    14    2S1 2P3 3P1         (2)1( 0.5) 25922335.4 
