SEQ='BE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 426200573.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   630287.2 

   LS RESOLVED TERM INDEXING            BWNR= 469748931.7   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     3       2.19E-11  1.55E-11  9.79E-12  6.91E-12  4.88E-12  3.06E-12  2.14E-12  1.48E-12  8.78E-13  5.67E-13
             3.46E-13  1.61E-13  8.16E-14  3.82E-14  1.25E-14  5.00E-15  1.92E-15  5.18E-16  1.88E-16
     6       7.20E-13  5.09E-13  3.22E-13  2.28E-13  1.61E-13  1.02E-13  7.21E-14  5.11E-14  3.24E-14  2.28E-14
             1.59E-14  9.46E-15  6.03E-15  3.59E-15  1.62E-15  8.12E-16  3.81E-16  1.28E-16  5.29E-17
     7       7.68E-12  5.43E-12  3.43E-12  2.43E-12  1.72E-12  1.08E-12  7.67E-13  5.41E-13  3.40E-13  2.36E-13
             1.61E-13  9.23E-14  5.70E-14  3.31E-14  1.45E-14  7.15E-15  3.32E-15  1.10E-15  4.55E-16
     8       2.51E-12  1.77E-12  1.12E-12  7.92E-13  5.60E-13  3.54E-13  2.51E-13  1.77E-13  1.11E-13  7.76E-14
             5.31E-14  3.05E-14  1.89E-14  1.10E-14  4.81E-15  2.38E-15  1.10E-15  3.67E-16  1.51E-16
     9       2.45E-11  1.73E-11  1.09E-11  7.71E-12  5.44E-12  3.42E-12  2.39E-12  1.65E-12  9.82E-13  6.34E-13
             3.86E-13  1.78E-13  8.99E-14  4.18E-14  1.36E-14  5.43E-15  2.08E-15  5.60E-16  2.03E-16
    10       8.09E-12  5.72E-12  3.61E-12  2.55E-12  1.80E-12  1.13E-12  7.91E-13  5.47E-13  3.25E-13  2.10E-13
             1.28E-13  5.91E-14  2.99E-14  1.39E-14  4.52E-15  1.81E-15  6.92E-16  1.86E-16  6.75E-17
    11       2.79E-11  1.97E-11  1.24E-11  8.75E-12  6.14E-12  3.80E-12  2.59E-12  1.72E-12  9.23E-13  5.31E-13
             2.79E-13  1.04E-13  4.44E-14  1.78E-14  4.97E-15  1.83E-15  6.59E-16  1.69E-16  6.01E-17
    12       9.12E-12  6.44E-12  4.06E-12  2.86E-12  2.01E-12  1.24E-12  8.48E-13  5.62E-13  3.03E-13  1.74E-13
             9.18E-14  3.41E-14  1.46E-14  5.88E-15  1.64E-15  6.03E-16  2.18E-16  5.58E-17  1.98E-17
    27       3.52E-12  2.49E-12  1.57E-12  1.11E-12  7.87E-13  4.97E-13  3.51E-13  2.47E-13  1.54E-13  1.07E-13
