SEQ='B '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 469748931.9   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   571855.3 
     3          2S1 2P1             (1)1( 1.0)  1096879.4*
     4          2P2                 (3)1( 4.0)  1470156.1*
     5          2P2                 (1)2( 2.0)  1653649.1*
     6          2P2                 (1)0( 0.0)  2036068.3*

   LS RESOLVED TERM INDEXING            BWNR= 511255702.8   NTRM= 289
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   212     2    2S1 2P1 7I1         (4)5(21.5) 38844472.2 
   213     2    2S1 2P1 7I1         (2)5(10.5) 38844472.2 
   214     2    2S1 2P1 7I1         (4)6(25.5) 38844472.2 
   215     2    2S1 2P1 7I1         (2)6(12.5) 38844472.2 
   216     2    2S1 2P1 7I1         (4)7(29.5) 38844472.2 
   217     2    2S1 2P1 7I1         (2)7(14.5) 38844472.2 
   218     2    2S1 2P1 7F1         (2)4( 8.5) 38845530.5 
   219     2    2S1 2P1 7F1         (2)2( 4.5) 38846414.5 
   220     1    2S2 8S1             (2)0( 0.5) 38995019.0 
   221     1    2S2 8P1             (2)1( 2.5) 39010116.4 
   222     1    2S2 8D1             (2)2( 4.5) 39022315.2 
   223     1    2S2 8F1             (2)3( 6.5) 39029052.5 
   224     1    2S2 8G1             (2)4( 8.5) 39030239.3 
   225     1    2S2 8H1             (2)5(10.5) 39030520.8 
   226     1    2S2 8I1             (2)6(12.5) 39030646.6 
   227     1    2S2 8J1             (2)7(14.5) 39030710.9 
   228     3    2S1 2P1 7S1         (2)1( 2.5) 39318135.0 
   229     3    2S1 2P1 7P1         (2)2( 4.5) 39339616.0 
   230     3    2S1 2P1 7P1         (2)1( 2.5) 39340089.1 
   231     3    2S1 2P1 7P1         (2)0( 0.5) 39343555.8 
   232     3    2S1 2P1 7D1         (2)2( 4.5) 39357471.4 
   233     3    2S1 2P1 7D1         (2)3( 6.5) 39357650.3 
   234     3    2S1 2P1 7D1         (2)1( 2.5) 39361454.7 
   235     3    2S1 2P1 7F1         (2)3( 6.5) 39365528.0 
   236     3    2S1 2P1 7F1         (2)4( 8.5) 39368108.3 
   237     2    2S1 2P1 8S1         (4)1( 5.5) 39566704.6 
   238     2    2S1 2P1 8S1         (2)1( 2.5) 39571242.9 
   239     2    2S1 2P1 8P1         (4)2( 9.5) 39580713.3 
   240     2    2S1 2P1 8P1         (2)1( 2.5) 39581678.6 
   241     2    2S1 2P1 8P1         (4)0( 1.5) 39582645.7 
   242     2    2S1 2P1 8P1         (4)1( 5.5) 39583438.9 
   243     2    2S1 2P1 8P1         (2)2( 4.5) 39586281.8 
   244     2    2S1 2P1 8P1         (2)0( 0.5) 39590157.7 
   245     2    2S1 2P1 8D1         (4)3(13.5) 39591683.2 
   246     2    2S1 2P1 8D1         (4)2( 9.5) 39594328.2 
