SEQ='HE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 198122701.0   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 390207216.3   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    10       2.79E-12  1.97E-12  1.25E-12  8.82E-13  6.23E-13  3.94E-13  2.78E-13  1.95E-13  1.22E-13  8.40E-14
             5.67E-14  3.19E-14  1.94E-14  1.11E-14  4.76E-15  2.33E-15  1.07E-15  3.52E-16  1.44E-16
    11       8.81E-12  6.23E-12  3.93E-12  2.78E-12  1.96E-12  1.23E-12  8.57E-13  5.91E-13  3.48E-13  2.23E-13
             1.34E-13  6.09E-14  3.04E-14  1.40E-14  4.50E-15  1.79E-15  6.82E-16  1.83E-16  6.62E-17
    12       1.41E-11  9.95E-12  6.28E-12  4.44E-12  3.13E-12  1.96E-12  1.37E-12  9.47E-13  5.61E-13  3.60E-13
             2.17E-13  9.93E-14  4.98E-14  2.30E-14  7.40E-15  2.94E-15  1.12E-15  3.01E-16  1.09E-16
    13       5.80E-12  4.10E-12  2.59E-12  1.82E-12  1.28E-12  7.90E-13  5.39E-13  3.57E-13  1.91E-13  1.10E-13
             5.74E-14  2.12E-14  9.07E-15  3.63E-15  1.01E-15  3.71E-16  1.34E-16  3.43E-17  1.22E-17
    14       9.67E-12  6.83E-12  4.31E-12  3.04E-12  2.13E-12  1.32E-12  8.98E-13  5.94E-13  3.19E-13  1.83E-13
             9.57E-14  3.54E-14  1.51E-14  6.05E-15  1.68E-15  6.17E-16  2.23E-16  5.71E-17  2.03E-17
    15       8.37E-12  5.92E-12  3.74E-12  2.64E-12  1.86E-12  1.17E-12  8.17E-13  5.64E-13  3.34E-13  2.15E-13
             1.30E-13  5.93E-14  2.97E-14  1.37E-14  4.43E-15  1.76E-15  6.72E-16  1.80E-16  6.53E-17
    16       1.33E-11  9.43E-12  5.94E-12  4.19E-12  2.94E-12  1.82E-12  1.24E-12  8.20E-13  4.40E-13  2.53E-13
             1.33E-13  4.90E-14  2.10E-14  8.41E-15  2.34E-15  8.58E-16  3.10E-16  7.94E-17  2.82E-17
    17       9.52E-12  6.73E-12  4.24E-12  2.99E-12  2.10E-12  1.30E-12  8.85E-13  5.86E-13  3.14E-13  1.80E-13
             9.47E-14  3.50E-14  1.50E-14  6.00E-15  1.67E-15  6.13E-16  2.21E-16  5.67E-17  2.01E-17
    18       3.91E-12  2.76E-12  1.75E-12  1.23E-12  8.72E-13  5.50E-13  3.88E-13  2.72E-13  1.68E-13  1.15E-13
             7.65E-14  4.23E-14  2.54E-14  1.44E-14  6.14E-15  2.99E-15  1.37E-15  4.49E-16  1.84E-16
    19       1.39E-12  9.82E-13  6.20E-13  4.38E-13  3.09E-13  1.94E-13  1.35E-13  9.29E-14  5.45E-14  3.47E-14
             2.08E-14  9.37E-15  4.66E-15  2.13E-15  6.84E-16  2.71E-16  1.03E-16  2.77E-17  1.00E-17
    20       1.29E-12  9.11E-13  5.76E-13  4.07E-13  2.88E-13  1.82E-13  1.28E-13  8.97E-14  5.55E-14  3.80E-14
             2.54E-14  1.40E-14  8.46E-15  4.80E-15  2.04E-15  9.94E-16  4.55E-16  1.49E-16  6.12E-17
    21       4.16E-12  2.94E-12  1.86E-12  1.31E-12  9.24E-13  5.80E-13  4.04E-13  2.78E-13  1.63E-13  1.04E-13
             6.23E-14  2.81E-14  1.40E-14  6.40E-15  2.05E-15  8.13E-16  3.10E-16  8.30E-17  3.00E-17
    22       6.71E-12  4.75E-12  3.00E-12  2.12E-12  1.49E-12  9.37E-13  6.54E-13  4.51E-13  2.66E-13  1.70E-13
             1.02E-13  4.62E-14  2.30E-14  1.06E-14  3.39E-15  1.35E-15  5.13E-16  1.37E-16  4.98E-17
    23       3.63E-12  2.56E-12  1.62E-12  1.14E-12  7.98E-13  4.94E-13  3.37E-13  2.23E-13  1.19E-13  6.83E-14
             3.58E-14  1.32E-14  5.63E-15  2.25E-15  6.24E-16  2.29E-16  8.26E-17  2.12E-17  7.52E-18
