SEQ='MG'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 710995688.1   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   534947.7 
     3          3D1                 (2)2( 4.5)  1276560.9*

   LS RESOLVED TERM INDEXING            BWNR= 724641922.7   NTRM= 267
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   129     2    3P1 6G1             (1)4( 4.0) 11247336.4 
   130     2    3P1 6G1             (3)5(16.0) 11247336.4 
   131     2    3P1 6G1             (1)5( 5.0) 11247336.4 
   132     2    3P1 6H1             (3)4(13.0) 11249500.2 
   133     2    3P1 6H1             (1)4( 4.0) 11249500.2 
   134     2    3P1 6H1             (3)5(16.0) 11249500.2 
   135     2    3P1 6H1             (1)5( 5.0) 11249500.2 
   136     2    3P1 6H1             (3)6(19.0) 11249500.2 
   137     2    3P1 6H1             (1)6( 6.0) 11249500.2 
   138     1    3S1 7S1             (3)0( 1.0) 11359329.2 
   139     1    3S1 7S1             (1)0( 0.0) 11364802.5 
   140     1    3S1 7P1             (3)1( 4.0) 11401351.7 
   141     1    3S1 7P1             (1)1( 1.0) 11403549.9 
   142     1    3S1 7D1             (3)2( 7.0) 11451404.2 
   143     1    3S1 7D1             (1)2( 2.0) 11453627.1 
   144     1    3S1 7F1             (3)3(10.0) 11482016.6 
   145     1    3S1 7F1             (1)3( 3.0) 11484842.4 
   146     1    3S1 7G1             (3)4(13.0) 11491225.2 
   147     1    3S1 7G1             (1)4( 4.0) 11491225.2 
   148     1    3S1 7H1             (3)5(16.0) 11492587.6 
   149     1    3S1 7H1             (1)5( 5.0) 11492587.6 
   150     1    3S1 7I1             (3)6(19.0) 11493195.9 
   151     1    3S1 7I1             (1)6( 6.0) 11493195.9 
   152     3    3D1 6P1             (3)1( 4.0) 11852539.8 
   153     3    3D1 6P1             (1)1( 1.0) 11857351.6 
   154     2    3P1 7S1             (3)1( 4.0) 11896232.8 
   155     2    3P1 7S1             (1)1( 1.0) 11898845.2 
   156     1    3S1 8S1             (3)0( 1.0) 11909030.9 
   157     1    3S1 8S1             (1)0( 0.0) 11912475.3 
   158     3    3D1 6D1             (3)2( 7.0) 11924093.6 
   159     2    3P1 7P1             (1)1( 1.0) 11932201.9 
   160     2    3P1 7P1             (3)2( 7.0) 11935369.4 
   161     2    3P1 7P1             (3)1( 4.0) 11936880.7 
   162     1    3S1 8P1             (3)1( 4.0) 11936897.5 
   163     3    3D1 6D1             (1)2( 2.0) 11937125.0 
   164     1    3S1 8P1             (1)1( 1.0) 11938298.6 
   165     2    3P1 7P1             (3)0( 1.0) 11940120.7 
   166     2    3P1 7P1             (1)2( 2.0) 11942174.3 
   167     2    3P1 7P1             (1)0( 0.0) 11950114.9 
   168     1    3S1 8D1             (3)2( 7.0) 11970024.0 
   169     1    3S1 8D1             (1)2( 2.0) 11971480.9 
   170     3    3D1 6F1             (3)3(10.0) 11972216.9 
   171     2    3P1 7D1             (1)2( 2.0) 11983833.2 
   172     2    3P1 7D1             (3)2( 7.0) 11984876.2 
   173     3    3D1 6F1             (1)3( 3.0) 11985863.2 
   174     2    3P1 7D1             (3)3(10.0) 11987249.9 
   175     2    3P1 7D1             (3)1( 4.0) 11990306.9 
   176     1    3S1 8F1             (3)3(10.0) 11990344.9 
   177     2    3P1 7D1             (1)3( 3.0) 11991033.7 
   178     1    3S1 8F1             (1)3( 3.0) 11992078.9 
   179     2    3P1 7D1             (1)1( 1.0) 11993295.6 
   180     1    3S1 8G1             (3)4(13.0) 11996575.0 
   181     1    3S1 8G1             (1)4( 4.0) 11996575.0 
   182     1    3S1 8H1             (3)5(16.0) 11997487.5 
   183     1    3S1 8H1             (1)5( 5.0) 11997487.5 
   184     1    3S1 8I1             (3)6(19.0) 11997895.0 
   185     1    3S1 8I1             (1)6( 6.0) 11997895.0 
   186     1    3S1 8J1             (3)7(22.0) 11998103.2 
   187     1    3S1 8J1             (1)7( 7.0) 11998103.2 
   188     2    3P1 7F1             (1)3( 3.0) 12013759.6 
   189     2    3P1 7F1             (3)3(10.0) 12014947.9 
   190     2    3P1 7F1             (3)4(13.0) 12017344.7 
   191     2    3P1 7F1             (3)2( 7.0) 12020679.0 
   192     2    3P1 7F1             (1)4( 4.0) 12023692.3 
   193     2    3P1 7F1             (1)2( 2.0) 12024673.4 
   194     2    3P1 7G1             (3)3(10.0) 12026172.9 
   195     2    3P1 7G1             (1)3( 3.0) 12026172.9 
   196     2    3P1 7G1             (3)4(13.0) 12026172.9 
   197     2    3P1 7G1             (1)4( 4.0) 12026172.9 
   198     2    3P1 7G1             (3)5(16.0) 12026172.9 
   199     2    3P1 7G1             (1)5( 5.0) 12026172.9 
   200     2    3P1 7H1             (3)4(13.0) 12027535.3 
   201     2    3P1 7H1             (1)4( 4.0) 12027535.3 
   202     2    3P1 7H1             (3)5(16.0) 12027535.3 
   203     2    3P1 7H1             (1)5( 5.0) 12027535.3 
   204     2    3P1 7H1             (3)6(19.0) 12027535.3 
   205     2    3P1 7H1             (1)6( 6.0) 12027535.3 
   206     2    3P1 7I1             (3)5(16.0) 12028143.6 
   207     2    3P1 7I1             (1)5( 5.0) 12028143.6 
   208     2    3P1 7I1             (3)6(19.0) 12028143.6 
   209     2    3P1 7I1             (1)6( 6.0) 12028143.6 
   210     2    3P1 7I1             (3)7(22.0) 12028143.6 
   211     2    3P1 7I1             (1)7( 7.0) 12028143.6 
   212     2    3P1 8S1             (3)1( 4.0) 12445217.2 
   213     2    3P1 8S1             (1)1( 1.0) 12446874.6 
   214     2    3P1 8P1             (1)1( 1.0) 12469231.4 
   215     2    3P1 8P1             (3)2( 7.0) 12471287.2 
   216     2    3P1 8P1             (3)1( 4.0) 12472173.3 
   217     2    3P1 8P1             (3)0( 1.0) 12474370.8 
   218     2    3P1 8P1             (1)2( 2.0) 12475589.4 
   219     2    3P1 8P1             (1)0( 0.0) 12480713.6 
   220     2    3P1 8D1             (1)2( 2.0) 12503346.7 
   221     2    3P1 8D1             (3)2( 7.0) 12504030.9 
   222     2    3P1 8D1             (3)3(10.0) 12505555.2 
   223     2    3P1 8D1             (3)1( 4.0) 12507542.3 
   224     2    3P1 8D1             (1)3( 3.0) 12508028.8 
   225     2    3P1 8D1             (1)1( 1.0) 12509489.7 
   226     2    3P1 8F1             (1)3( 3.0) 12523226.4 
   227     2    3P1 8F1             (3)3(10.0) 12523947.4 
   228     2    3P1 8F1             (3)4(13.0) 12525593.9 
   229     2    3P1 8F1             (3)2( 7.0) 12527684.3 
   230     2    3P1 8F1             (1)4( 4.0) 12529491.8 
   231     2    3P1 8F1             (1)2( 2.0) 12530170.6 
   232     2    3P1 8G1             (3)3(10.0) 12531522.7 
   233     2    3P1 8G1             (1)3( 3.0) 12531522.7 
   234     2    3P1 8G1             (3)4(13.0) 12531522.7 
   235     2    3P1 8G1             (1)4( 4.0) 12531522.7 
   236     2    3P1 8G1             (3)5(16.0) 12531522.7 
   237     2    3P1 8G1             (1)5( 5.0) 12531522.7 
   238     2    3P1 8H1             (3)4(13.0) 12532435.2 
   239     2    3P1 8H1             (1)4( 4.0) 12532435.2 
   240     2    3P1 8H1             (3)5(16.0) 12532435.2 
   241     2    3P1 8H1             (1)5( 5.0) 12532435.2 
   242     2    3P1 8H1             (3)6(19.0) 12532435.2 
   243     2    3P1 8H1             (1)6( 6.0) 12532435.2 
   244     2    3P1 8I1             (3)5(16.0) 12532842.7 
   245     2    3P1 8I1             (1)5( 5.0) 12532842.7 
   246     2    3P1 8I1             (3)6(19.0) 12532842.7 
   247     2    3P1 8I1             (1)6( 6.0) 12532842.7 
   248     2    3P1 8I1             (3)7(22.0) 12532842.7 
   249     2    3P1 8I1             (1)7( 7.0) 12532842.7 
   250     2    3P1 8J1             (3)6(19.0) 12533050.9 
   251     2    3P1 8J1             (1)6( 6.0) 12533050.9 
   252     2    3P1 8J1             (3)7(22.0) 12533050.9 
   253     2    3P1 8J1             (1)7( 7.0) 12533050.9 
   254     2    3P1 8J1             (3)8(25.0) 12533050.9 
   255     2    3P1 8J1             (1)8( 8.0) 12533050.9 
   256     3    3D1 7P1             (3)1( 4.0) 12682856.2 
   257     3    3D1 7P1             (1)1( 1.0) 12685681.9 
   258     3    3D1 7D1             (3)2( 7.0) 12727506.8 
   259     3    3D1 7D1             (1)2( 2.0) 12734925.9 
   260     3    3D1 7F1             (3)3(10.0) 12757305.2 
   261     3    3D1 7F1             (1)3( 3.0) 12765156.1 
   262     3    3D1 8P1             (3)1( 4.0) 13216672.6 
   263     3    3D1 8P1             (1)1( 1.0) 13218484.5 
   264     3    3D1 8D1             (3)2( 7.0) 13246382.1 
   265     3    3D1 8D1             (1)2( 2.0) 13251051.5 
   266     3    3D1 8F1             (3)3(10.0) 13266131.5 
   267     3    3D1 8F1             (1)3( 3.0) 13271103.9 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2S)  SPNPRT= 2

   INDX TE=  9.61E+03  1.92E+04  4.81E+04  9.61E+04  1.92E+05  4.81E+05  9.61E+05  1.92E+06  4.81E+06  9.61E+06
   ---- ---  1.92E+07  4.81E+07  9.61E+07  1.92E+08  4.80E+08  9.61E+08  1.92E+09  4.81E+09  9.61E+09
     1       4.33E-12  3.06E-12  1.94E-12  1.37E-12  9.69E-13  6.13E-13  4.34E-13  3.08E-13  1.96E-13  1.38E-13
             9.68E-14  5.84E-14  3.79E-14  2.33E-14  1.09E-14  5.68E-15  2.75E-15  9.59E-16  4.06E-16
     2       2.48E-11  1.75E-11  1.11E-11  7.83E-12  5.53E-12  3.48E-12  2.45E-12  1.71E-12  1.04E-12  6.87E-13
             4.34E-13  2.13E-13  1.13E-13  5.48E-14  1.87E-14  7.72E-15  3.02E-15  8.28E-16  3.03E-16
     3       7.75E-12  5.48E-12  3.46E-12  2.45E-12  1.73E-12  1.09E-12  7.66E-13  5.35E-13  3.26E-13  2.17E-13
             1.38E-13  6.79E-14  3.61E-14  1.76E-14  6.05E-15  2.49E-15  9.77E-16  2.68E-16  9.80E-17
     4       1.80E-12  1.27E-12  8.03E-13  5.66E-13  3.97E-13  2.46E-13  1.68E-13  1.12E-13  6.06E-14  3.52E-14
             1.88E-14  7.16E-15  3.13E-15  1.28E-15  3.62E-16  1.34E-16  4.86E-17  1.25E-17  4.45E-18
     6       7.33E-14  5.18E-14  3.28E-14  2.32E-14  1.64E-14  1.04E-14  7.45E-15  5.34E-15  3.48E-15  2.54E-15
             1.84E-15  1.16E-15  7.80E-16  4.90E-16  2.35E-16  1.23E-16  6.02E-17  2.11E-17  8.94E-18
     7       2.89E-11  2.05E-11  1.29E-11  9.09E-12  6.38E-12  3.96E-12  2.71E-12  1.80E-12  9.82E-13  5.73E-13
             3.07E-13  1.18E-13  5.16E-14  2.11E-14  5.98E-15  2.22E-15  8.05E-16  2.07E-16  7.37E-17
     8       7.63E-12  5.39E-12  3.40E-12  2.40E-12  1.68E-12  1.04E-12  7.15E-13  4.77E-13  2.60E-13  1.52E-13
             8.19E-14  3.14E-14  1.38E-14  5.65E-15  1.61E-15  5.95E-16  2.16E-16  5.56E-17  1.98E-17
    12       5.28E-14  3.73E-14  2.36E-14  1.67E-14  1.18E-14  7.48E-15  5.29E-15  3.74E-15  2.34E-15  1.60E-15
             1.05E-15  5.39E-16  2.94E-16  1.46E-16  5.11E-17  2.12E-17  8.36E-18  2.30E-18  8.45E-19
    14       1.24E-13  8.76E-14  5.54E-14  3.92E-14  2.77E-14  1.76E-14  1.24E-14  8.82E-15  5.54E-15  3.81E-15
             2.51E-15  1.29E-15  7.09E-16  3.54E-16  1.24E-16  5.14E-17  2.03E-17  5.59E-18  2.05E-18
    15       2.91E-14  2.05E-14  1.30E-14  9.15E-15  6.44E-15  4.01E-15  2.77E-15  1.87E-15  1.04E-15  6.26E-16
             3.45E-16  1.36E-16  6.10E-17  2.53E-17  7.26E-18  2.70E-18  9.84E-19  2.54E-19  9.03E-20
    17       3.78E-15  2.67E-15  1.69E-15  1.20E-15  8.51E-16  5.45E-16  3.92E-16  2.87E-16  1.95E-16  1.49E-16
             1.15E-16  7.79E-17  5.46E-17  3.54E-17  1.75E-17  9.31E-18  4.58E-18  1.62E-18  6.87E-19
    18       2.84E-12  2.00E-12  1.27E-12  8.97E-13  6.34E-13  4.02E-13  2.84E-13  2.01E-13  1.27E-13  8.96E-14
             6.22E-14  3.70E-14  2.38E-14  1.45E-14  6.77E-15  3.50E-15  1.69E-15  5.88E-16  2.49E-16
    19       9.23E-13  6.53E-13  4.13E-13  2.92E-13  2.07E-13  1.31E-13  9.28E-14  6.58E-14  4.18E-14  2.94E-14
