SEQ='F '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 627005032.4   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)   174974.5 
     3          2S2 2P4             (1)0( 0.0)   369237.5 
     4          2S1 2P5             (3)1( 4.0)  1422111.5*
     5          2S1 2P5             (1)1( 1.0)  1935406.6*
     6          2P6                 (1)0( 0.0)  3334907.6*

   LS RESOLVED TERM INDEXING            BWNR= 662593533.5   NTRM= 342
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   225     2    2S2 2P4 7D1         (2)4( 8.5) 33145699.8 
   226     2    2S2 2P4 7D1         (2)0( 0.5) 33148935.7 
   227     2    2S2 2P4 7D1         (2)3( 6.5) 33149821.0 
   228     2    2S2 2P4 7D1         (2)1( 2.5) 33149943.9 
   229     2    2S2 2P4 7D1         (2)2( 4.5) 33150613.0 
   230     2    2S2 2P4 7F1         (2)1( 2.5) 33167968.9 
   231     2    2S2 2P4 7F1         (2)5(10.5) 33168844.3 
   232     2    2S2 2P4 7F1         (2)2( 4.5) 33170013.8 
   233     2    2S2 2P4 7F1         (2)3( 6.5) 33171833.8 
   234     2    2S2 2P4 7F1         (2)4( 8.5) 33172115.4 
   235     2    2S2 2P4 7G1         (2)2( 4.5) 33172558.7 
   236     2    2S2 2P4 7G1         (2)3( 6.5) 33172558.7 
   237     2    2S2 2P4 7G1         (2)4( 8.5) 33172558.7 
   238     2    2S2 2P4 7G1         (2)5(10.5) 33172558.7 
   239     2    2S2 2P4 7G1         (2)6(12.5) 33172558.7 
   240     2    2S2 2P4 7H1         (2)3( 6.5) 33173532.1 
   241     2    2S2 2P4 7H1         (2)4( 8.5) 33173532.1 
   242     2    2S2 2P4 7H1         (2)5(10.5) 33173532.1 
   243     2    2S2 2P4 7H1         (2)6(12.5) 33173532.1 
   244     2    2S2 2P4 7H1         (2)7(14.5) 33173532.1 
   245     2    2S2 2P4 7I1         (2)4( 8.5) 33173966.9 
