SEQ='NE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 662593533.5   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 696858141.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   135     1    2S2 2P5 8P1         (3)2( 7.0) 32348644.2 
   136     1    2S2 2P5 8P1         (1)2( 2.0) 32350145.9 
   137     1    2S2 2P5 8P1         (3)1( 4.0) 32350462.8 
   138     1    2S2 2P5 8P1         (1)1( 1.0) 32350462.8 
   139     1    2S2 2P5 8P1         (1)0( 0.0) 32360570.6 
   140     1    2S2 2P5 8D1         (3)1( 4.0) 32375608.3 
   141     1    2S2 2P5 8D1         (3)3(10.0) 32376972.0 
   142     1    2S2 2P5 8D1         (1)3( 3.0) 32378967.4 
   143     1    2S2 2P5 8D1         (3)2( 7.0) 32379426.8 
   144     1    2S2 2P5 8D1         (1)2( 2.0) 32379426.8 
   145     1    2S2 2P5 8D1         (1)1( 1.0) 32387203.7 
   146     1    2S2 2P5 8F1         (3)2( 7.0) 32393105.9 
   147     1    2S2 2P5 8F1         (3)4(13.0) 32393724.8 
   148     1    2S2 2P5 8F1         (1)4( 4.0) 32394243.8 
   149     1    2S2 2P5 8F1         (1)2( 2.0) 32395016.4 
   150     1    2S2 2P5 8F1         (3)3(10.0) 32395493.0 
   151     1    2S2 2P5 8F1         (1)3( 3.0) 32395493.0 
   152     1    2S2 2P5 8G1         (3)3(10.0) 32395823.9 
   153     1    2S2 2P5 8G1         (1)3( 3.0) 32395823.9 
   154     1    2S2 2P5 8G1         (3)4(13.0) 32395823.9 
   155     1    2S2 2P5 8G1         (1)4( 4.0) 32395823.9 
   156     1    2S2 2P5 8G1         (3)5(16.0) 32395823.9 
