SEQ='BE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 436244610.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   704485.6 
     3          2P1                 (2)1( 1.5)  1647115.9 

   IC RESOLVED LEVEL INDEXING           BWNR= 480950912.4   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   142     3    2P1 5P1             (1)0( 0.0) 39616473.4 
   143     3    2P1 5D1             (3)2( 2.0) 39617640.7 
   144     3    2P1 5D1             (3)3( 3.0) 39624161.3 
   145     3    2P1 5D1             (3)1( 1.0) 39627205.0 
   146     3    2P1 5D1             (3)1( 0.0) 39627525.8 
   147     3    2P1 5D1             (3)3( 4.0) 39630332.6 
   148     3    2P1 5D1             (3)1( 2.0) 39639190.0 
   149     3    2P1 5F1             (3)3( 3.0) 39649962.9 
   150     3    2P1 5D1             (1)3( 3.0) 39653333.5 
   151     3    2P1 5F1             (3)3( 2.0) 39654697.7 
   152     3    2P1 5F1             (3)4( 4.0) 39655706.2 
   153     3    2P1 5D1             (1)1( 1.0) 39659238.0 
   154     3    2P1 5F1             (3)2( 1.0) 39659983.5 
   155     3    2P1 5F1             (1)3( 3.0) 39662267.3 
   156     3    2P1 5F1             (1)4( 4.0) 39663526.0 
   157     3    2P1 5F1             (3)4( 5.0) 39663849.1 
   158     3    2P1 5F1             (1)2( 2.0) 39671163.9 
   159     3    2P1 5G1             (1)*( 2.0) 39675336.1 
   160     3    2P1 5G1             (1)*( 3.0) 39675336.1 
   161     3    2P1 5G1             (1)*( 4.0) 39675336.1 
   162     3    2P1 5G1             (1)*( 5.0) 39675336.1 
   163     3    2P1 5G1             (1)*( 3.0) 39675336.1 
   164     3    2P1 5G1             (1)*( 4.0) 39675336.1 
   165     3    2P1 5G1             (1)*( 5.0) 39675336.1 
   166     3    2P1 5G1             (1)*( 6.0) 39675336.1 
   167     1    2S1 6S1             (3)0( 1.0) 39947462.4 
   168     1    2S1 6S1             (1)0( 0.0) 39958045.4 
   169     1    2S1 6P1             (3)1( 0.0) 39980268.5 
   170     1    2S1 6P1             (3)1( 1.0) 39981575.2 
   171     1    2S1 6P1             (3)1( 2.0) 40013717.4 
   172     1    2S1 6P1             (1)1( 1.0) 40016677.5 
   173     1    2S1 6D1             (3)2( 1.0) 40032683.6 
   174     1    2S1 6D1             (3)2( 2.0) 40034852.5 
   175     1    2S1 6D1             (3)2( 3.0) 40043514.9 
   176     1    2S1 6D1             (1)2( 2.0) 40050030.1 
   177     1    2S1 6F1             (3)3( 2.0) 40053802.4 
   178     1    2S1 6F1             (3)3( 3.0) 40054780.9 
   179     1    2S1 6F1             (3)3( 4.0) 40059166.4 
   180     1    2S1 6F1             (1)3( 3.0) 40061438.0 
   181     1    2S1 6G1             (1)*( 3.0) 40068936.9 
   182     1    2S1 6G1             (1)*( 4.0) 40068936.9 
   183     1    2S1 6G1             (1)*( 4.0) 40068936.9 
   184     1    2S1 6G1             (1)*( 5.0) 40068936.9 
   185     1    2S1 6H1             (1)*( 4.0) 40069401.5 
   186     1    2S1 6H1             (1)*( 5.0) 40069401.5 
   187     1    2S1 6H1             (1)*( 5.0) 40069401.5 
   188     1    2S1 6H1             (1)*( 6.0) 40069401.5 
   189     2    2P1 6S1             (3)1( 0.0) 40657182.9 
   190     2    2P1 6S1             (3)1( 1.0) 40658809.8 
   191     2    2P1 6P1             (3)2( 1.0) 40683350.9 
   192     2    2P1 6P1             (3)1( 0.0) 40697241.9 
   193     2    2P1 6P1             (3)0( 1.0) 40721948.5 
   194     2    2P1 6P1             (3)2( 2.0) 40723375.5 
   195     2    2P1 6D1             (3)3( 2.0) 40735605.8 
   196     2    2P1 6D1             (3)2( 1.0) 40747000.2 
   197     2    2P1 6D1             (1)2( 2.0) 40752682.0 
   198     2    2P1 6D1             (3)2( 3.0) 40754592.8 
   199     2    2P1 6F1             (3)4( 3.0) 40758608.2 
   200     2    2P1 6F1             (3)2( 2.0) 40760800.4 
   201     2    2P1 6F1             (3)2( 3.0) 40765127.4 
   202     2    2P1 6F1             (3)3( 4.0) 40765728.5 
   203     2    2P1 6G1             (1)*( 3.0) 40773422.5 
   204     2    2P1 6G1             (1)*( 4.0) 40773422.5 
   205     2    2P1 6G1             (1)*( 4.0) 40773422.5 
   206     2    2P1 6G1             (1)*( 5.0) 40773422.5 
   207     2    2P1 6H1             (1)*( 4.0) 40773887.1 
   208     2    2P1 6H1             (1)*( 5.0) 40773887.1 
   209     2    2P1 6H1             (1)*( 5.0) 40773887.1 
   210     2    2P1 6H1             (1)*( 6.0) 40773887.1 
   211     1    2S1 7S1             (3)0( 1.0) 41222463.4 
   212     1    2S1 7S1             (1)0( 0.0) 41228904.4 
   213     1    2S1 7P1             (3)1( 0.0) 41242958.0 
   214     1    2S1 7P1             (3)1( 1.0) 41243763.3 
   215     1    2S1 7P1             (3)1( 2.0) 41264002.4 
   216     1    2S1 7P1             (1)1( 1.0) 41265821.8 
   217     1    2S1 7D1             (3)2( 1.0) 41275891.7 
   218     1    2S1 7D1             (3)2( 2.0) 41277224.4 
   219     1    2S1 7D1             (3)2( 3.0) 41282710.6 
   220     1    2S1 7D1             (1)2( 2.0) 41286619.5 
   221     1    2S1 7F1             (3)3( 2.0) 41289030.8 
   222     1    2S1 7F1             (3)3( 3.0) 41289658.3 
   223     1    2S1 7F1             (3)3( 4.0) 41292409.2 
   224     1    2S1 7F1             (1)3( 3.0) 41293885.8 
   225     1    2S1 7G1             (1)*( 3.0) 41299358.9 
   226     1    2S1 7G1             (1)*( 4.0) 41299358.9 
   227     1    2S1 7G1             (1)*( 4.0) 41299358.9 
   228     1    2S1 7G1             (1)*( 5.0) 41299358.9 
   229     1    2S1 7H1             (1)*( 4.0) 41299651.4 
   230     1    2S1 7H1             (1)*( 5.0) 41299651.4 
   231     1    2S1 7H1             (1)*( 5.0) 41299651.4 
