SEQ='B '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 480950912.6   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   174     1    2S2 5D1             (2)2( 2.5) 36186112.8 
   175     1    2S2 5F1             (2)3( 2.5) 36215399.0 
   176     1    2S2 5F1             (2)3( 3.5) 36224018.5 
   177     1    2S2 5G1             (1)*( 3.5) 36237222.8 
   178     1    2S2 5G1             (1)*( 4.5) 36237222.8 
   179     2    2S1 2P1 5S1         (4)1( 0.5) 36607475.2 
   180     2    2S1 2P1 5P1         (4)2( 0.5) 36669285.9 
   181     3    2S1 2P1 5S1         (4)1( 1.5) 36725718.8 
   182     2    2S1 2P1 5P1         (4)0( 1.5) 36729928.2 
   183     3    2S1 2P1 5S1         (2)1( 0.5) 36739234.6 
   184     2    2S1 2P1 5D1         (4)3( 1.5) 36776398.7 
   185     3    2S1 2P1 5P1         (4)2( 1.5) 36786960.4 
   186     2    2S1 2P1 5D1         (4)1( 2.5) 36800281.9 
   187     3    2S1 2P1 5P1         (4)1( 0.5) 36803804.2 
   188     2    2S1 2P1 5F1         (4)4( 2.5) 36824940.9 
   189     2    2S1 2P1 5F1         (4)2( 3.5) 36834431.6 
   190     2    2S1 2P1 5G1         (1)*( 3.5) 36846341.6 
   191     2    2S1 2P1 5G1         (1)*( 4.5) 36846341.6 
   192     3    2S1 2P1 5P1         (4)2( 2.5) 36850117.1 
   193     3    2S1 2P1 5P1         (2)1( 0.5) 36852388.0 
   194     3    2S1 2P1 5P1         (2)2( 1.5) 36854767.9 
   195     3    2S1 2P1 5D1         (4)3( 2.5) 36893875.0 
   196     3    2S1 2P1 5D1         (4)2( 1.5) 36903186.6 
   197     3    2S1 2P1 5D1         (4)2( 0.5) 36906924.5 
   198     3    2S1 2P1 5D1         (4)2( 3.5) 36918847.3 
   199     3    2S1 2P1 5D1         (2)2( 1.5) 36926779.5 
   200     3    2S1 2P1 5D1         (2)3( 2.5) 36928357.9 
   201     3    2S1 2P1 5F1         (4)4( 3.5) 36945782.2 
   202     3    2S1 2P1 5F1         (4)3( 1.5) 36946013.6 
   203     3    2S1 2P1 5F1         (4)2( 2.5) 36947868.6 
   204     3    2S1 2P1 5F1         (4)3( 4.5) 36954672.1 
   205     3    2S1 2P1 5F1         (2)2( 2.5) 36956682.6 
   206     3    2S1 2P1 5F1         (2)4( 3.5) 36958584.6 
   207     3    2S1 2P1 5G1         (1)*( 2.5) 36968095.8 
   208     3    2S1 2P1 5G1         (1)*( 3.5) 36968095.8 
   209     3    2S1 2P1 5G1         (1)*( 4.5) 36968095.8 
   210     3    2S1 2P1 5G1         (1)*( 3.5) 36968095.8 
   211     3    2S1 2P1 5G1         (1)*( 4.5) 36968095.8 
   212     3    2S1 2P1 5G1         (1)*( 5.5) 36968095.8 
   213     4    2S1 2P1 5S1         (4)1( 2.5) 37523324.4 
   214     4    2S1 2P1 5S1         (2)1( 1.5) 37540522.9 
   215     4    2S1 2P1 5P1         (4)1( 1.5) 37594678.0 
   216     4    2S1 2P1 5P1         (2)2( 2.5) 37598117.1 
   217     4    2S1 2P1 5P1         (4)2( 3.5) 37640478.8 
   218     4    2S1 2P1 5P1         (2)1( 1.5) 37648400.8 
   219     4    2S1 2P1 5P1         (4)1( 2.5) 37658643.1 
   220     4    2S1 2P1 5P1         (2)0( 0.5) 37666817.9 
   221     4    2S1 2P1 5D1         (4)2( 2.5) 37699792.0 
   222     4    2S1 2P1 5D1         (4)3( 3.5) 37702211.3 
   223     4    2S1 2P1 5D1         (4)1( 1.5) 37702664.7 
   224     4    2S1 2P1 5D1         (4)1( 0.5) 37703474.4 
   225     4    2S1 2P1 5D1         (4)3( 4.5) 37705581.3 
   226     4    2S1 2P1 5D1         (2)2( 2.5) 37722735.5 
   227     4    2S1 2P1 5D1         (2)1( 1.5) 37730030.6 
   228     4    2S1 2P1 5D1         (2)3( 3.5) 37732959.9 
   229     4    2S1 2P1 5D1         (2)1( 0.5) 37743204.8 
   230     4    2S1 2P1 5F1         (4)3( 3.5) 37744079.9 
   231     5    2P2 5S1             (4)1( 0.5) 37744535.7 
   232     4    2S1 2P1 5F1         (4)3( 2.5) 37745405.3 
   233     4    2S1 2P1 5F1         (4)4( 4.5) 37747893.8 
   234     4    2S1 2P1 5F1         (4)2( 1.5) 37748634.1 
   235     4    2S1 2P1 5F1         (4)2( 0.5) 37751217.3 
   236     4    2S1 2P1 5F1         (2)3( 3.5) 37754652.6 
   237     4    2S1 2P1 5F1         (4)4( 5.5) 37754697.3 
   238     4    2S1 2P1 5F1         (2)4( 4.5) 37756964.2 
   239     4    2S1 2P1 5F1         (2)3( 2.5) 37758536.5 
   240     4    2S1 2P1 5F1         (2)2( 1.5) 37764352.3 
   241     4    2S1 2P1 5G1         (1)*( 1.5) 37768337.0 
   242     4    2S1 2P1 5G1         (1)*( 2.5) 37768337.0 
   243     4    2S1 2P1 5G1         (1)*( 3.5) 37768337.0 
   244     4    2S1 2P1 5G1         (1)*( 4.5) 37768337.0 
   245     4    2S1 2P1 5G1         (1)*( 5.5) 37768337.0 
   246     4    2S1 2P1 5G1         (1)*( 2.5) 37768337.0 
   247     4    2S1 2P1 5G1         (1)*( 3.5) 37768337.0 
   248     4    2S1 2P1 5G1         (1)*( 4.5) 37768337.0 
   249     4    2S1 2P1 5G1         (1)*( 5.5) 37768337.0 
   250     4    2S1 2P1 5G1         (1)*( 6.5) 37768337.0 
   251     5    2P2 5P1             (4)0( 1.5) 37865856.0 
   252     6    2S1 2P1 5S1         (2)1( 0.5) 37931941.6 
   253     6    2S1 2P1 5S1         (2)1( 1.5) 37934405.1 
   254     5    2P2 5D1             (4)1( 2.5) 37936670.1 
   255     6    2S1 2P1 5P1         (2)1( 0.5) 37999418.3 
   256     6    2S1 2P1 5P1         (2)2( 1.5) 38000449.7 
   257     1    2S2 6S1             (2)0( 0.5) 38033209.6 
   258     6    2S1 2P1 5P1         (2)2( 2.5) 38049700.0 
   259     6    2S1 2P1 5P1         (2)1( 1.5) 38056674.7 
   260     6    2S1 2P1 5P1         (2)0( 0.5) 38059686.4 
   261     1    2S2 6P1             (2)1( 0.5) 38071643.7 
   262     1    2S2 6P1             (2)1( 1.5) 38103614.7 
   263     6    2S1 2P1 5D1         (2)2( 1.5) 38104819.5 
   264     6    2S1 2P1 5D1         (2)3( 2.5) 38107931.2 
   265     6    2S1 2P1 5D1         (2)1( 0.5) 38114189.6 
   266     6    2S1 2P1 5D1         (2)3( 3.5) 38119022.9 
   267     6    2S1 2P1 5D1         (2)2( 2.5) 38125103.2 
   268     6    2S1 2P1 5D1         (2)1( 1.5) 38131066.2 
   269     1    2S2 6D1             (2)2( 1.5) 38133776.7 
   270     1    2S2 6D1             (2)2( 2.5) 38144044.5 
   271     6    2S1 2P1 5F1         (2)3( 2.5) 38146135.0 
   272     6    2S1 2P1 5F1         (2)4( 3.5) 38151808.2 
   273     6    2S1 2P1 5F1         (2)3( 3.5) 38155540.0 
   274     6    2S1 2P1 5F1         (2)2( 1.5) 38155572.8 
   275     6    2S1 2P1 5F1         (2)4( 4.5) 38160144.0 
   276     1    2S2 6F1             (2)3( 2.5) 38160512.9 
   277     6    2S1 2P1 5F1         (2)2( 2.5) 38163689.0 
   278     1    2S2 6F1             (2)3( 3.5) 38165505.1 
   279     1    2S2 6G1             (1)*( 3.5) 38174969.6 
   280     1    2S2 6G1             (1)*( 4.5) 38174969.6 
   281     1    2S2 6H1             (1)*( 4.5) 38175637.1 
   282     1    2S2 6H1             (1)*( 5.5) 38175637.1 
   283     2    2S1 2P1 6S1         (4)1( 0.5) 38645582.6 
   284     2    2S1 2P1 6P1         (4)2( 0.5) 38681241.6 
   285     2    2S1 2P1 6P1         (4)0( 1.5) 38715921.1 
   286     2    2S1 2P1 6D1         (4)3( 1.5) 38742786.7 
   287     2    2S1 2P1 6D1         (4)1( 2.5) 38756256.9 
   288     3    2S1 2P1 6S1         (4)1( 1.5) 38765251.5 
   289     2    2S1 2P1 6F1         (4)4( 2.5) 38769940.8 
   290     3    2S1 2P1 6S1         (2)1( 0.5) 38772431.1 
   291     2    2S1 2P1 6F1         (4)2( 3.5) 38775471.5 
   292     2    2S1 2P1 6G1         (1)*( 3.5) 38784088.5 
   293     2    2S1 2P1 6G1         (1)*( 4.5) 38784088.5 
   294     2    2S1 2P1 6H1         (1)*( 4.5) 38784756.0 
   295     2    2S1 2P1 6H1         (1)*( 5.5) 38784756.0 
   296     3    2S1 2P1 6P1         (4)2( 1.5) 38800453.4 
   297     3    2S1 2P1 6P1         (4)1( 0.5) 38809505.5 
   298     3    2S1 2P1 6P1         (4)2( 2.5) 38836727.6 
   299     3    2S1 2P1 6P1         (2)1( 0.5) 38837938.7 
