SEQ='N '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 551357853.5   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   105     2    2S2 2P2 4F1         (2)5(10.5) 30000115.1 
   106     2    2S2 2P2 4F1         (2)1( 2.5) 30014907.8 
   107     4    2S1 2P3 4P1         (6)1( 8.5) 30032320.7 
   108     3    2S2 2P2 4D1         (2)2( 4.5) 30085466.5 
   109     4    2S1 2P3 4P1         (4)1( 5.5) 30086860.3 
   110     3    2S2 2P2 4F1         (2)3( 6.5) 30182489.4 
   111     4    2S1 2P3 4D1         (6)2(14.5) 30189508.3 
   112     4    2S1 2P3 4D1         (4)2( 9.5) 30270975.2 
   113     4    2S1 2P3 4F1         (6)3(20.5) 30310927.9 
   114     4    2S1 2P3 4F1         (4)3(13.5) 30323700.4 
   115     5    2S1 2P3 4P1         (4)1( 5.5) 30607871.1 
   116     5    2S1 2P3 4D1         (4)2( 9.5) 30742637.7 
   117     6    2S1 2P3 4P1         (4)1( 5.5) 30770233.7 
   118     5    2S1 2P3 4F1         (4)3(13.5) 30841018.0 
   119     7    2S1 2P3 4S1         (4)0( 1.5) 30930295.3 
   120     6    2S1 2P3 4D1         (4)2( 9.5) 30930604.4 
   121     6    2S1 2P3 4F1         (4)3(13.5) 31022967.9 
   122     7    2S1 2P3 4P1         (4)1( 5.5) 31080070.1 
   123     7    2S1 2P3 4D1         (4)2( 9.5) 31245138.8 
   124    10    2P4 4S1             (4)1( 5.5) 31797540.3 
   125    10    2P4 4S1             (2)1( 2.5) 31824184.8 
   126    10    2P4 4P1             (4)2( 9.5) 31949382.8 
   127    10    2P4 4P1             (2)2( 4.5) 31966823.1 
   128    10    2P4 4P1             (2)0( 0.5) 31976819.3 
   129    11    2P4 4S1             (2)2( 4.5) 31985624.7 
   130    10    2P4 4P1             (2)1( 2.5) 31996859.0 
   131    10    2P4 4D1             (4)3(13.5) 32114779.4 
   132    10    2P4 4D1             (2)3( 6.5) 32135470.6 
   133    11    2P4 4P1             (2)2( 4.5) 32149349.5 
   134    10    2P4 4D1             (2)1( 2.5) 32161108.8 
   135    11    2P4 4P1             (2)1( 2.5) 32170203.4 
   136    10    2P4 4D1             (2)2( 4.5) 32174941.3 
   137    11    2P4 4D1             (2)3( 6.5) 32315030.3 
   138    11    2P4 4D1             (2)1( 2.5) 32328582.9 
   139    11    2P4 4D1             (2)2( 4.5) 32329690.8 
   140    12    2P4 4S1             (2)0( 0.5) 32335227.9 
   141    11    2P4 4F1             (2)1( 2.5) 32374972.8 
   142    12    2P4 4P1             (2)1( 2.5) 32489515.3 
   143    12    2P4 4D1             (2)2( 4.5) 32657066.9 
   144     1    2S2 2P2 5S1         (4)1( 5.5) 32800473.5 
   145     1    2S2 2P2 5S1         (2)1( 2.5) 32812915.5 
   146     1    2S2 2P2 5P1         (2)0( 0.5) 32869255.8 
   147     1    2S2 2P2 5P1         (4)2( 9.5) 32876966.1 
   148     1    2S2 2P2 5P1         (4)1( 5.5) 32882104.0 
   149     1    2S2 2P2 5P1         (4)0( 1.5) 32896014.8 
   150     1    2S2 2P2 5P1         (2)2( 4.5) 32897003.3 
   151     1    2S2 2P2 5P1         (2)1( 2.5) 32907634.1 
   152     1    2S2 2P2 5D1         (4)3(13.5) 32956377.0 
   153     1    2S2 2P2 5D1         (4)2( 9.5) 32963440.2 
   154     1    2S2 2P2 5D1         (2)1( 2.5) 32965925.9 
   155     1    2S2 2P2 5D1         (4)1( 5.5) 32973282.4 
   156     1    2S2 2P2 5D1         (2)3( 6.5) 32982623.1 
   157     2    2S2 2P2 5S1         (2)2( 4.5) 32983823.7 
   158     1    2S2 2P2 5D1         (2)2( 4.5) 32999203.6 
   159     1    2S2 2P2 5F1         (4)4(17.5) 33013925.7 
   160     1    2S2 2P2 5F1         (4)2( 9.5) 33013932.1 
   161     1    2S2 2P2 5F1         (2)2( 4.5) 33014352.8 
   162     1    2S2 2P2 5F1         (2)4( 8.5) 33018904.9 
   163     1    2S2 2P2 5F1         (4)3(13.5) 33021564.7 
   164     1    2S2 2P2 5G1         (4)3(13.5) 33022311.5 
   165     1    2S2 2P2 5G1         (2)3( 6.5) 33022311.5 
   166     1    2S2 2P2 5G1         (4)4(17.5) 33022311.5 
   167     1    2S2 2P2 5G1         (2)4( 8.5) 33022311.5 
   168     1    2S2 2P2 5G1         (4)5(21.5) 33022311.5 
   169     1    2S2 2P2 5G1         (2)5(10.5) 33022311.5 
   170     1    2S2 2P2 5F1         (2)3( 6.5) 33028369.3 
   171     2    2S2 2P2 5P1         (2)3( 6.5) 33062383.8 
   172     2    2S2 2P2 5P1         (2)2( 4.5) 33066861.5 
   173     2    2S2 2P2 5P1         (2)1( 2.5) 33077329.5 
   174     2    2S2 2P2 5D1         (2)4( 8.5) 33145187.3 
   175     2    2S2 2P2 5D1         (2)3( 6.5) 33147295.1 
   176     2    2S2 2P2 5D1         (2)2( 4.5) 33152387.5 
   177     2    2S2 2P2 5D1         (2)1( 2.5) 33161798.0 
   178     2    2S2 2P2 5D1         (2)0( 0.5) 33166419.0 
   179     3    2S2 2P2 5S1         (2)0( 0.5) 33171404.9 
   180     2    2S2 2P2 5F1         (2)4( 8.5) 33191392.4 
   181     2    2S2 2P2 5F1         (2)3( 6.5) 33193124.9 
   182     2    2S2 2P2 5F1         (2)5(10.5) 33200011.8 
   183     2    2S2 2P2 5F1         (2)2( 4.5) 33200452.3 
   184     2    2S2 2P2 5G1         (2)2( 4.5) 33201514.4 
   185     2    2S2 2P2 5G1         (2)3( 6.5) 33201514.4 
   186     2    2S2 2P2 5G1         (2)4( 8.5) 33201514.4 
   187     2    2S2 2P2 5G1         (2)5(10.5) 33201514.4 
   188     2    2S2 2P2 5G1         (2)6(12.5) 33201514.4 
   189     2    2S2 2P2 5F1         (2)1( 2.5) 33207581.1 
   190     3    2S2 2P2 5P1         (2)1( 2.5) 33253799.5 
   191     4    2S1 2P3 5S1         (6)0( 2.5) 33300378.9 
   192     4    2S1 2P3 5S1         (4)0( 1.5) 33327259.6 
   193     3    2S2 2P2 5D1         (2)2( 4.5) 33337289.4 
   194     4    2S1 2P3 5P1         (6)1( 8.5) 33380511.1 
   195     3    2S2 2P2 5F1         (2)3( 6.5) 33384820.0 
   196     3    2S2 2P2 5G1         (2)4( 8.5) 33388710.9 
   197     4    2S1 2P3 5P1         (4)1( 5.5) 33406801.1 
   198     4    2S1 2P3 5D1         (6)2(14.5) 33458293.2 
   199     4    2S1 2P3 5D1         (4)2( 9.5) 33497079.4 
   200     4    2S1 2P3 5F1         (6)3(20.5) 33515981.4 
   201     4    2S1 2P3 5G1         (6)4(26.5) 33522770.6 
   202     4    2S1 2P3 5G1         (4)4(17.5) 33522770.6 
   203     4    2S1 2P3 5F1         (4)3(13.5) 33524237.9 
   204     5    2S1 2P3 5P1         (4)1( 5.5) 33929720.7 
   205     5    2S1 2P3 5D1         (4)2( 9.5) 33997593.6 
   206     5    2S1 2P3 5F1         (4)3(13.5) 34045661.9 
