SEQ='O '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 590072887.4   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)   265620.5 
     3          2S2 2P3             (2)1( 2.5)   392182.5 
     4          2S1 2P4             (4)1( 5.5)  1173486.9*
     5          2S1 2P4             (2)2( 4.5)  1608714.1*
     6          2S1 2P4             (2)0( 0.5)  1874334.6*
     7          2S1 2P4             (2)1( 2.5)  1947927.4*
     8          2P5                 (2)1( 2.5)  3080945.1*

   LS RESOLVED TERM INDEXING            BWNR= 627005032.3   NTRM= 526
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   187     3    2S2 2P3 5F1         (1)3( 3.0) 31938302.1 
   188     3    2S2 2P3 5F1         (3)3(10.0) 31938708.6 
   189     3    2S2 2P3 5F1         (1)4( 4.0) 31940859.3 
   190     3    2S2 2P3 5G1         (3)3(10.0) 31942465.1 
   191     3    2S2 2P3 5G1         (1)3( 3.0) 31942465.1 
   192     3    2S2 2P3 5G1         (3)4(13.0) 31942465.1 
   193     3    2S2 2P3 5G1         (1)4( 4.0) 31942465.1 
   194     3    2S2 2P3 5G1         (3)5(16.0) 31942465.1 
   195     3    2S2 2P3 5G1         (1)5( 5.0) 31942465.1 
   196     3    2S2 2P3 5F1         (1)2( 2.0) 31943725.7 
   197     1    2S2 2P3 6S1         (5)0( 2.0) 33049956.0 
   198     1    2S2 2P3 6S1         (3)0( 1.0) 33058876.1 
   199     1    2S2 2P3 6P1         (5)1( 7.0) 33100436.5 
   200     1    2S2 2P3 6P1         (3)1( 4.0) 33112933.3 
   201     1    2S2 2P3 6D1         (5)2(12.0) 33154226.2 
   202     1    2S2 2P3 6D1         (3)2( 7.0) 33170973.7 
   203     1    2S2 2P3 6F1         (5)3(17.0) 33190813.5 
   204     1    2S2 2P3 6F1         (3)3(10.0) 33194325.6 
   205     1    2S2 2P3 6G1         (5)4(22.0) 33195288.2 
   206     1    2S2 2P3 6G1         (3)4(13.0) 33195288.2 
   207     1    2S2 2P3 6H1         (5)5(27.0) 33196613.6 
   208     1    2S2 2P3 6H1         (3)5(16.0) 33196613.6 
   209     2    2S2 2P3 6S1         (3)2( 7.0) 33317806.5 
   210     2    2S2 2P3 6S1         (1)2( 2.0) 33322266.6 
   211     2    2S2 2P3 6P1         (3)2( 7.0) 33366464.6 
   212     2    2S2 2P3 6P1         (1)1( 1.0) 33367110.7 
   213     2    2S2 2P3 6P1         (3)3(10.0) 33368027.9 
   214     2    2S2 2P3 6P1         (1)3( 3.0) 33369998.7 
   215     2    2S2 2P3 6P1         (3)1( 4.0) 33377215.7 
   216     2    2S2 2P3 6P1         (1)2( 2.0) 33388602.1 
   217     2    2S2 2P3 6D1         (1)0( 0.0) 33419846.6 
   218     2    2S2 2P3 6D1         (3)3(10.0) 33420539.0 
   219     2    2S2 2P3 6D1         (3)4(13.0) 33422481.1 
   220     2    2S2 2P3 6D1         (1)4( 4.0) 33424237.4 
   221     2    2S2 2P3 6D1         (3)2( 7.0) 33425711.1 
   222     2    2S2 2P3 6D1         (1)1( 1.0) 33427539.0 
   223     2    2S2 2P3 6D1         (3)1( 4.0) 33431309.5 
   224     2    2S2 2P3 6D1         (3)0( 1.0) 33435181.7 
   225     2    2S2 2P3 6D1         (1)2( 2.0) 33438396.4 
   226     2    2S2 2P3 6D1         (1)3( 3.0) 33442812.2 
   227     3    2S2 2P3 6S1         (3)1( 4.0) 33444493.3 
   228     3    2S2 2P3 6S1         (1)1( 1.0) 33448953.4 
   229     2    2S2 2P3 6F1         (3)4(13.0) 33456541.9 
   230     2    2S2 2P3 6F1         (3)5(16.0) 33457108.2 
   231     2    2S2 2P3 6F1         (3)3(10.0) 33457182.9 
   232     2    2S2 2P3 6F1         (1)1( 1.0) 33457262.9 
   233     2    2S2 2P3 6F1         (1)5( 5.0) 33457445.4 
   234     2    2S2 2P3 6F1         (3)2( 7.0) 33457901.1 
   235     2    2S2 2P3 6F1         (1)2( 2.0) 33458723.4 
   236     2    2S2 2P3 6F1         (3)1( 4.0) 33458920.9 
   237     2    2S2 2P3 6F1         (1)3( 3.0) 33460439.0 
   238     2    2S2 2P3 6F1         (1)4( 4.0) 33460521.9 
   239     2    2S2 2P3 6G1         (3)2( 7.0) 33460908.7 
   240     2    2S2 2P3 6G1         (1)2( 2.0) 33460908.7 
   241     2    2S2 2P3 6G1         (3)3(10.0) 33460908.7 
   242     2    2S2 2P3 6G1         (1)3( 3.0) 33460908.7 
   243     2    2S2 2P3 6G1         (3)4(13.0) 33460908.7 
   244     2    2S2 2P3 6G1         (1)4( 4.0) 33460908.7 
   245     2    2S2 2P3 6G1         (3)5(16.0) 33460908.7 
   246     2    2S2 2P3 6G1         (1)5( 5.0) 33460908.7 
   247     2    2S2 2P3 6G1         (3)6(19.0) 33460908.7 
   248     2    2S2 2P3 6G1         (1)6( 6.0) 33460908.7 
   249     2    2S2 2P3 6H1         (3)3(10.0) 33462234.1 
   250     2    2S2 2P3 6H1         (1)3( 3.0) 33462234.1 
   251     2    2S2 2P3 6H1         (3)4(13.0) 33462234.1 
   252     2    2S2 2P3 6H1         (1)4( 4.0) 33462234.1 
   253     2    2S2 2P3 6H1         (3)5(16.0) 33462234.1 
   254     2    2S2 2P3 6H1         (1)5( 5.0) 33462234.1 
   255     2    2S2 2P3 6H1         (3)6(19.0) 33462234.1 
   256     2    2S2 2P3 6H1         (1)6( 6.0) 33462234.1 
   257     2    2S2 2P3 6H1         (3)7(22.0) 33462234.1 
   258     2    2S2 2P3 6H1         (1)7( 7.0) 33462234.1 
   259     3    2S2 2P3 6P1         (3)0( 1.0) 33492613.6 
   260     3    2S2 2P3 6P1         (3)2( 7.0) 33494284.9 
   261     3    2S2 2P3 6P1         (1)1( 1.0) 33495681.1 
   262     3    2S2 2P3 6P1         (3)1( 4.0) 33500048.9 
   263     3    2S2 2P3 6P1         (1)2( 2.0) 33503058.2 
   264     3    2S2 2P3 6P1         (1)0( 0.0) 33521823.0 
   265     3    2S2 2P3 6D1         (3)3(10.0) 33548443.7 
   266     3    2S2 2P3 6D1         (3)1( 4.0) 33550266.9 
   267     3    2S2 2P3 6D1         (1)2( 2.0) 33552039.7 
   268     3    2S2 2P3 6D1         (3)2( 7.0) 33554751.3 
   269     3    2S2 2P3 6D1         (1)3( 3.0) 33560321.2 
   270     3    2S2 2P3 6D1         (1)1( 1.0) 33571412.2 
   271     3    2S2 2P3 6F1         (3)4(13.0) 33583567.1 
   272     3    2S2 2P3 6F1         (3)2( 7.0) 33583981.1 
