SEQ='C '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 511255702.8   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   532842.4 
     3          2S1 2P2             (2)2( 4.5)   975263.0*
     4          2S1 2P2             (2)0( 0.5)  1247274.2*
     5          2S1 2P2             (2)1( 2.5)  1316081.8*
     6          2P3                 (4)0( 1.5)  1694161.8*
     7          2P3                 (2)2( 4.5)  1966173.0*
     8          2P3                 (2)1( 2.5)  2210994.3*

   LS RESOLVED TERM INDEXING            BWNR= 551357853.5   NTRM= 520
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   103     2    2S1 2P2 4P1         (3)2( 7.0) 31049997.6 
   104     2    2S1 2P2 4P1         (3)1( 4.0) 31071199.0 
   105     2    2S1 2P2 4D1         (5)3(17.0) 31122535.6 
   106     2    2S1 2P2 4D1         (5)2(12.0) 31138491.7 
   107     2    2S1 2P2 4D1         (5)1( 7.0) 31160718.9 
   108     2    2S1 2P2 4D1         (3)1( 4.0) 31167660.0 
   109     2    2S1 2P2 4D1         (3)3(10.0) 31197807.8 
   110     2    2S1 2P2 4F1         (5)2(12.0) 31225056.6 
   111     2    2S1 2P2 4F1         (5)4(22.0) 31226620.1 
   112     2    2S1 2P2 4F1         (3)2( 7.0) 31230368.8 
   113     2    2S1 2P2 4D1         (3)2( 7.0) 31231203.4 
   114     2    2S1 2P2 4F1         (3)4(13.0) 31238893.3 
   115     2    2S1 2P2 4F1         (5)3(17.0) 31244139.6 
   116     2    2S1 2P2 4F1         (3)3(10.0) 31259020.9 
   117     3    2S1 2P2 4P1         (3)2( 7.0) 31465795.3 
   118     3    2S1 2P2 4P1         (3)1( 4.0) 31487478.9 
   119     3    2S1 2P2 4D1         (3)3(10.0) 31589753.2 
   120     3    2S1 2P2 4D1         (3)2( 7.0) 31602228.0 
   121     3    2S1 2P2 4D1         (3)1( 4.0) 31622822.5 
   122     3    2S1 2P2 4F1         (3)4(13.0) 31663769.1 
   123     5    2S1 2P2 4S1         (3)1( 4.0) 31666435.5 
   124     3    2S1 2P2 4F1         (3)2( 7.0) 31683900.9 
   125     4    2S1 2P2 4P1         (3)1( 4.0) 31736281.1 
